Health.Sentences,Health.Translation,Sight.Sentences,Sight.Translation,Travel.Sentences,Travel.Translation,Dining.Sentences,Dining.Translation
早くお医者さんを呼んで下さい。,Please call a doctor quickly.,観光案内所はどこですか。,"Where’s the Tourist Information center, please?",この搭乗券の席はどちらにありますか。,Where are the seats on this boarding pass?,何名様ですか。,How many people?
早くお医者さんを連れてきて 下さい。,Please bring the doctor quickly.,町の地図ありますか。,Do you have a city map?,搭乗券を拝見してもよろしいでしょうか。,"May I see your boarding pass, please?",2人です。,"Two, person"
お医者さんの診察時間はいつですか。,When are the doctor's office hours?,京都の有名なところについて教えて下さい。 ,Please tell us about the famous places in Kyoto. ,荷物を棚に入れてくれませんか。,Could you please put my luggage on the shelf?,申し訳ございません。只今、満席です。,We're sorry. We are full right now
お医者さんはいつ来れますか。,When can the doctor come?,主にどこが面白いですか。,What do you find interesting mainly?,すみません、ここは私の席です。,"Excuse me, this is my seat.",待ち時間はどのくらいですか。,How long is the wait time?
お医者さんの予約をして下さい。,I’d like to make an appointment to see the doctor.,地図で指して下さい。,Please point to it on the map.,他の席に移ってもいいですか。,May I move to another seat?,どのくらい待ちますか。,How long will I have to wait?
私は五時半にお医者さんに会う約束が あります。,I have an appointment with a doctor at 5:30.,何かおすすめは,Do you have any recommendations?,すみません、毛布もう一枚もらえますか。,"Excuse me, can I have another blanket?",ご予約はされていますか。,Do you have a reservation?
どの医者が夜勤ですか。,Which doctor works the night shift?,古い神社に興味がありますが。,"I am interested in the old shrine, though.",新聞がありますか。,Do you have a newspaper?,7時に予約している田中です。,I am Tanaka with a reservation at 7:00.
どの薬局が夜勤ですか。,Which pharmacy works the night shift?,市内観光ありますか。,Is there a scenic walk around the city?,どうやってシートを倒すのですか。,How do I fold down the seat?,いいえ、予約はしていないです。,"No, I don't have a reservation"
どの医者が週末勤務ですか。,Which doctor works weekends?,どのぐらい時間がかかりますか。,How long does it take?,リモコンの使い方を知りたいのですが。,I'd like to know how to use the remote control.,ご案内いたします。,"Follow me, please"
どの薬局が週末勤務ですか。,Which pharmacy works weekends?,出発点はどこですか。,Where does it starts?,イヤホンの調子が悪いのですが。,What's wrong with my earphones?,お好きな席どうぞ。,Please have a seat anywhere you like
具合が悪いんです。,I'm not feeling well.,終点はどこですか。,Where does it end?,違うものと交換していただけませんか。,Can you replace the earphone with a different one?,お好きな席お座りください。,Please have a seat anywhere you like
めまいがします。,I’m dizzy.,遊覧船がありますか。,Are there any boat cruises here?,すみません、お水もらえますか。,"Excuse me, can I have some water?",メニューもらえますか。,Can I have a menu?
病気です。,I’m sick.,どこで船に乗れますか。,Where can we board the ship?,はい、すぐにお持ちいたします。,"Yes, I'll bring it right away.",ご注文はお決まりですか。,Are you ready to order?
気分が悪いんです。,I don't feel well.,観光バスがありますか。,Are there sightseeing buses available?,入国カードの書き方を教えてもらえますか。,Can you teach me how to fill out the immigration card?,いいえ、まだ決まってないです。,"No, I haven't decided yet"
風邪です。,I’ve got a cold.,どこでバスに乗れますか。,Where can I catch a bus?,税関申告書の用紙をください。,Can I have a customs declaration form?,また後で言います。,I'll tell you later
ここが痛いんです。,It hurts here.,英語のガイドがいますか。,Is there a guide who speaks English?,ペンをお借りできますか。,Can I borrow a pen?,では、また後でお伺いいたします。,Then I'll ask you again later
もどしてしまった んです。,I’ve been throwing up,どこか楽しい小旅行はありますか。,What trips can we take around the area?,お食事は何なさいますか。,What kind of meal will you have?,天ぷら定食ください。,"Tempura set meal, please"
三九度の熱があります。,He has a fever of thirty-nine degrees.,観光ツアーがありますか。,Are there sightseeing tours available?,日本の食事は和食と洋食のご用意があります。,Japanese food is available in Japanese and Western style.,チーズハンバーグで。,"Cheese hamburger, please"
スズメバチに刺されました。 ,I’ve been stung by a hornet.,どこへ行きますか。,Where do they go to?,和食のメインは魚、洋食のメインは通り肉です。,"The main course of Japanese cuisine is fish, while the main course of Western cuisine is street meat.",チーズハンバーグとコーヒー。,Cheese hamburger and coffee
虫に刺されました。 ,I’ve been stung by an insect.,金閣寺へ行きたいんですが。,I would like to go to Kinkakuji temple.,お食事はお済みでしょうか。,Have you eaten yet?,これをください。,"I'll have this one, please"
クラゲに刺されました。 ,I was stung by a jellyfish. ,ツアーは何時間かかりますか。,How long does the tour take?,お飲み物はいかがですか。,Would you like a drink?,何がおすすめですか。,What do you recommend?
犬に噛まれました。,I was bitten by a dog.,北海道にはどのくらい滞在しますか。,How long will you stay in Hokkaido?,紅茶はいかがですか。,Would you like a cup of tea?,お飲み物は何なさいますか。,What would you like to drink?
蛇に噛まれました。,I was bitten by a snake.,ガイド付きツアーがありますか。,Are there guided tours available?,どんなジュースがありますか。,What kind of juice do you have?,コーヒーください。,"Coffee, please"
動物に噛まれました。,I was bitten by an animal.,どのぐらい自由時間がありますか。,How much free time will we have there?,ジュースはオレンジジュース、アップルジュースとトマトジュースがあります。,"We have orange juice, apple juice and tomato juice.",いいえ、大丈夫。,"No, I'm fine"
切り傷をつけました。,I’ve cut myself.,ガイドをたのめますか。,Can we hire a guide?,コーラをください。,"Can I have a Coke, please?",この料理に卵は入っていますか。,Do you have any eggs in this dish?
やけどをしました。,I’ve burned myself.,山小屋が予約出来ますか。,Can I reserve a cabin?,赤ワインをお願いします。,"Can I have a glass of red wine, please?",アレルギーなので、卵抜きで作ってもらえますか。,"I'm allergic to eggs, can you make it"
肌をすりむきました。, I’ve grazed myself.,何時に清水寺が開きますか。,At what time does Kiyomizu-dera Temple open?,いいえ、結構です。,"No, thank you.",お飲み物はいつお待ちしましょうか。,When would you like your drinks?
ころびました。,I fell down.,何時に伏見稲荷が閉まりますか。,At what time does Fushimi Inari close?,コーヒーをいただけますか。,"Can I have a cup of coffee, please?",先にお願いします。,"Before the meal, please"
足首をくじきました。,I sprained my ankle.,何曜日に東京博物館が開いていますか。,On what days of the week is the Tokyo Museum open?,砂糖とミルク入りますか。,Can I have sugar and milk?,一緒にお願いします。,"With the meal, please"
足首を挫きました。,I sprained my ankle.,何曜日に大阪水族館が閉まっていますか。,On what days of the week is the Osaka Aquarium closed?,はい、両方お願いします。,"Yes, both please.",食後にお願いします。,"After the meal, please"
症状は何ですか。,What are your symptoms?,入場料はいくらですか。,How much is the admission fee?,お暑いのでお気をつけください。,"Please be careful, it's very hot.",以上です。,That's all
この症状はどのぐらい続いていますか。,How long have these symptoms been present?,子供の割引切符ありますか。,Is there a discount ticket for children?,パスポーととチケットを見せてください。,Please show me your passport and ticket.,とりあえずこれで大丈夫です。,That would be all for now
この症状は初めてですか。,Is this the first time you have had this symptom?,グル ープの割引切符ありますか。,Is there a discount ticket for groups?,はい、これです。,"Yes, here you go.",すみません。注文したものがまだ来ないんですが。,Excuse me. My order hasn't come yet
熱は何度ですか。,What is your temperature?,撮影してもいいですか。,Can I take a picture here?,観光ですか。,Are you sightseeing?,すみません。これ注文したものと違います。,Excuse me. This is not what I ordered
脱いで下さい。,Please take off your clothes.,写真を撮ってもいいですか。,May I take a picture?,はい、観光です。,"Yes, sightseeing.",これ注文していないです。,I didn't order this
上着を取って下さい。,Please take your jacket.,英語のカタログありますか。,Do you have a catalog in English?,どのぐらい滞在しますか。,How long will you be staying?,取り皿もらえますか。,Can I have some small plates?
あそこで脱いでください。,Please take off your clothes there.,英語のパ ン フ レ ットありますか。,Do you have a brochure in English?,２ヶ月です。,Two months.,お水もらえますか。,Can I have a glass of water?
左腕をまくって下さい。,Roll up your left arm.,英語のプログラムありますか。,Is there an English program?,どこに宿泊の予定ですか。,Where do you plan to stay?,おしぼりもらえますか。,Can I have a wet towel?
右腕をまくって下さい。,Please roll your right arm.,今月のプログラムありますか。,Do you have a program for this month?,富士旅館です。,Fuji Ryokan.,お手洗いはどこですか。,Where is the restroom?
ここに横になって下さい。,Please lie down here.,今晩のプログラムはどうですか。,How is the program this evening?,切符はどこで買えますか。,Where can I buy a ticket?,タバコはどこで吸えますか。,Where can I smoke?
ここが痛いですか。,Does it hurt here?,コンサートに行きたいんですが。,I would like to go to the concert.,どこで予約出来ますか。,Where can I make a reservation?,こちらのお皿、お下げしてもよろしいですか。,May I take your plates?
深呼吸してください。,Take a deep breath.,どのような映画ですか。,What kind of film is it?,飛行機の切符はどこで買えますか。,Where can I buy a plane ticket?,はい、お願いします。,"Yes, please"
口を開けて下さい,Please open your mouth.,今回はオリジナル版での上映となる。,"This time, the film will be shown in its original version.",片道お願いします。,One way please.,まだ食べています。,I'm still eating
糖尿病です。,I’m a diabetic.,日本語字幕付きで上映されます。,The film will be shown with Japanese subtitles.,往復お願いします。,"Round trip, please.",お会計お願いします。,Can I have the bill please
心臓病です。,I have a heart condition.,一昨日は吹替版で見ました。,The day before yesterday I saw it in a dubbed version.,一等車お願いします。,First class car please.,カード使えますか。,Do you accept credit cards?
喘息病です。,I have asthma.,繰り返し上演しますか。,Is it a continuous showing?,二等車お願いします。,Second class car please.,お会計、別々にできますか。,Can we pay separately?
 魚介類に対してアレルギ ーです。,I’m allergic to seafood.,何かいいコンサートホールはありますか。,Are there any good concert halls?,エコノミークラスお願いします。,"Economy class, please.",領収書もらえますか。,Can I get a receipt?
三何ヶ月の妊娠です。,I am three months pregnant.,この辺にいいナイトクラブはありますか。,Are there any good nightclubs around here?,ビジネスクラスお願いします。,"Business class, please.",,
食事制限をしています。,I am on a dietary restrictions.,正装は必要ですか。,Do I need to wear formal attire?,座席を予約したいんですが。,I'd like to reserve a seat.,,
薬を使っています。,I’m on medication.,ショーは何時からですか。,What time is the show?,寝台車を予約したいんですが。,I'd like to book a sleeper car.,,
心臓麻痺をおこしたことがあります。,I have had a heart attack once before.,チケットは予約出来ますか。,Could you reserve tickets?,通路側の席お願いします。,"Aisle seat, please.",,
腕の手術を受けました。,I had surgery on my arm.,一階席で予約出来ますか。,Can I make a seat reservation in the orchestra?,船室を予約したいんですが。,I'd like to reserve a cabin.,,
最近まで病気でした。,I’ve been ill recently.,二階席で予約出来ますか。,Can I make a seat reservation in the balcony?,定期券もありますか。,Do you also offer commuter passes?,,
潰瘍があります。,I’ve got an ulcer.,ボックス席で予約出来ますか。,Can I make a seat reservation in the box seats?,ちょっと、すみません。,Excuse me.,,
生理中です。,I’ve got my period.,前方で予約出来ますか。,Can I make a reservation at the table up front?,道に迷ってしまったんですが。,I've lost my way.,,
何かに対してアレルギー がありますか。,Are you allergic to anything?,中ごろで予約出来ますか。,Can I make a reservation the middle?,この辺にコンビニがありますか。,Is there a convenience store around here?,,
薬を使っていますか。,Are you using medication?,後方で予約出来ますか。,Can I make a reservation at the back?,この道は嵐山へ行くのか。,Is this road going to Arashiyama?,,
食事制限をしていますか。,Do you have a restricted diet?,四時の上演の切符を二枚予約出来ますか。,Can I reserve two tickets for the 4:00 p.m. performance?,銀座へどう行くか教えて下さいませんか。,Can you please tell me how to get to Ginza?,,
妊娠中ですか。,Are you pregnant?,今晩の切符はまだありますか。,Are there still tickets available for this evening?,秋葉原への一番近道はどれですか。,Which is the shortest way to Akihabara?,,
破傷風の予防接種をしましたか。,Have you had a tetanus injection?,一 枚いくらですか。,How much is a ticket?,青森まで何キロぐらいですか。,How many kilometers is it to Aomori?,,
深刻なものではありません。,It is nothing serious.,切符はいつもらえますか。,When can I get my ticket?,この地図で教えてもらえませんか。,Can you tell me on this map?,,
足が骨折しています。 ,Your leg is broken. ,予約しました。,I’ve got a reservation.,道が違います。,You’re going the wrong way.,,
左腕に痣があります。,You have got some bruised on you left arm.,どの上演に予約したいんですか。,Which performance do you want to reserve for?,終点まで戻って下さい。,I've lost my way.,,
右足をくじいています。,You have got a sprained right leg. ,どんな座席がほしいんですか。,What kind of seating would you like?,最後の交差点にお戻りください。,Please return to the last stop,,
 炎症を起こしています。,You’ve got an inflammation.,すみませんが、売切れです。,"Sorry, everything is sold out.",おぢあばですか。山手線で新橋まで行って。,Please go back to the last intersection,,
虫垂炎を起こしています。,You’ve got an appendicitis.,立ち見席だけ残っています。,Standing room only remains.,銀座への行き方を教えてください。,Can you please tell me how to get to Ginza?,,
気管支炎を起こしています。,You’ve got bronchitis.,二階席だけ残っています。,We’ve only got balcony seats left.,,,,
性病です。,You’ve got a venereal disease.,一階席だけ残っています。,We’ve only got orchestra seats left.,,,,
流行性感冒です。,You’ve got the flu.,前の座席が残っています。,We’ve only got seats left at the front.,,,,
心臓麻痺でした。,You’ve had a heart attack.,後の座席が残っています。,We’ve only got seats left at the back.,,,,
