Kanji,NR,KR,Meaning,W1,R1,M1,W2,R2,M2,W3,R3,M3
軍,GUN,.,"army, troops",軍隊,ぐんたい,"army, armed forces, troops",軍事,ぐんじ,military affairs,軍備,ぐんび,armaments
兵,"HEI, HYOU",.,soldier,兵,へい,soldier,兵器,へいき ,"arms, weapon",兵士,へいし,soldier​
島,TOU,shima,island,島,しま,island,島国,しまぐに ,island country​,半島,はんとう,peninsula
村,SON,mura,village,農村,のうそん,farm village​,村人,むらびと,villager,漁村,ぎょそん,fishing village​
門,MON,kado,gate,正門,せいもん,main gate,専門家,せんもんか,"specialist, expert",部門,ぶもん,"division, branch, field"
戸,KO,to,door,戸籍,こせき,family register,瀬戸物,せともの,"earthenware, porcelain",戸棚,とだな,"cupboard, locker"
武,"BU, MU",.,military,武器,ぶき,"weapon, arms",武士,ぶし,"warrior, samurai",武装,ぶそう,"arms, armament"
城 ,JOU,shiro,castle,城内,じょうない,inside of a castle,古城,こじょう,old castle,城壁,じょうへき,castle wall
総 ,SOU,.,"general, whole",総会,そうかい,general meeting,総合,そうごう,"synthesis, combination",総額,そうがく,sum total
団,DAN,.,group,布団,ふとん,futon,集団,しゅうだん,"group, mass",団体,だんたい,"group, party"
線,SEN,.,line,直線,ちょくせん,straight line​,光線,こうせん,"beam, light ray",線路,せんろ,railway track
設,SETSU,mou,"establish, prepare",設計,せっけい,"plan, design",設立,せつりつ,"establishment, founding",設ける,もうける,"to prepare, provide, set-up"
勢,SEI,ikio,vigor,勢い,いきおい,"force, vigor, energy",勢力,せいりょく,"influence, power",姿勢,しせい,posture
党,TOU,.,"party, faction",政党,せいとう,political party,与党,よとう,ruling party,野党,やとう,opposition party
史,SHI,.,history,歴史,れきし,history,史上,しじょう,historical,史学,しがく,study of history
営,EI,itona,occupation,営業,えいぎょう,"business, trade",経営,けいえい,management,営む,いとなむ,"run a business, operate"
府,FU,.,"borough, govt office",府県,ふけん,"prefectures (Tokyo, Hokkaido)",府庁,ふちょう,"prefectural office (Osaka, Kyoto)",府立,ふりつ,"prefectural (Osaka, Kyoto)"
巻,KAN,"ma, maki","scroll, roll up, wind up",巻く,まく,"to wind, coil, roll, wear",巻末,かんまつ,end of a book,寝巻き,ねまき,"nightclothes, nightwear"
介,KAI,.,"shellfish, mediate",紹介,しょうかい,introduction,介入,かいにゅう,intervention,介抱,かいほう,"nursing, looking after"
蔵,ZOU,kura,storehouse,冷蔵庫,れいぞうこ,refrigerator,貯蔵,ちょぞう,"storage, preservation",大蔵,おおくら,Ministry of Finance
造,ZOU,tsuku,"produce, build, make",造園,ぞうえん,landscape gardening,造船,ぞうせん,shipbuilding,造成,ぞうせい,"development of land, preparation of ground"
根,KON,ne,root,屋根,やね,roof,垣根,かきね,"hedge, fence",根源,こんげん,"root, source, origin"
寺,JI,tera,temple,寺院,じいん,buddhist temple,寺,てら,temple,禅寺,ぜんでら,zen temple
査,SA,.,investigate,調査,ちょうさ,investigation,検査,けんさ,inspection,査定,さてい,assessment
将,SHOU,.,"leader, commander",将来,しょうらい,future,将軍,しょうぐん,general,将校,しょうこう,commissioned officer
改,KAI,arata,"reform, examine",改札,かいさつ,examination of tickets,改める,あらためる,"to change, alter, reform",改装,かいそう,remodelling
県,KEN,.,prefecture,県庁,けんちょう,prefectural office,県知事,けんちじ,prefectural governor​,県道,けんどう,prefectural road
泉,SEN,izumi,"spring, fountain",温泉,おんせん,hot spring,源泉,げんせん,source of a spring,間欠泉,かんけつせん,geyser
像,ZOU,.,"statue, picture, image",映像,えいぞう,"image, picture (screen, tv)",現像,げんぞう,"film development, photo processing",想像,そうぞう,"imagination, supposition"
細,SAI,"hoso, koma","narrow, slender, thin",細い,ほそい,"thin, slender",細かい,こまかい,"small, fine, minute",細胞,さいぼう,cell
谷,KOKU,tani,valley,谷,たに,valley,谷間,たにま,"valley, ravine, gorge",谷川,たにがわ,mountain stream
奥,OU,oku,interior,奥,おく,"inner part, inside, interior",奥行き,おくゆき,"depth, length",奥様,おくさま,"wife, your wife"
再,"SAI, SA",futata,"once more, again",再び,ふたたび,"again, once more",再建,さいけん,"rebuilding , reconstruction",再来週,さらいしゅう,week after next
血,KETSU,chi,blood,血液,けつえき,blood,血圧,けつあつ,blood pressure,混血,こんけつ,mixed race
算,SAN,.,calculate,計算,けいさん,"calculation, forecast",予算,よさん,"estimate of cost, budget",清算,せいさん,financial settlement
象,"SHOU, ZOU",.,"pattern, image, elephant",対象,たいしょう,"target, object, subject",現象,げんしょう,phenomenon,気象,きしょう,"weather, climate​"
清,SEI,kiyo,"pure, clean",清潔,せいけつ,"clean, hygienic, sanitary",清掃,せいそう,"cleaning, clean-up",清い,きよい,"clean, clear, pure"
技,GI,waza,"skill, art, technique",技術,ぎじゅ,"technology, engineering, technique",技師,ぎし,"engineer, technician​",技巧,ぎこう,"technique, finesse"
州,SHUU,su,"state, province",九州,きゅうしゅう,Kyūshū,州都,しゅうと,state capital,州政府,しゅうせいふ,state government
領,RYOU,.,"jurisdiction, govern, reign",領域,りょういき,"area, domain, territory",占領,せんりょう,occupying,要領,ようりょう,"point, gist, essentials"
橋,KYOU,hashi,bridge,橋,はし,bridge,鉄橋,てっきょう,"railway bridge, iron bridge",桟橋,さんばし,"wharf, bridge, jetty, pier"
芸,GEI,.,"technique, art",芸術,げいじゅつ,"art, the arts",園芸,えんげい,"horticulture, gardening",工芸,こうげい,"industrial arts, craft​"
型,KEI,kata,"type, model",模型,もけい,"model, dummy",典型,てんけい,"type, pattern, model",血液型,けつえきがた,blood type
香,KOU,"kao, ka","incense, smell, perfume",香り,かおり,"aroma, fragrance, scent, smell",香水,こうすい,"perfume, scent",香辛料,こうしんりょう,"spice, spices, condiment"
量,RYOU,haka,"quantity, measure, weight",量,りょう,"quantity, amount, volume, capacity",測量,そくりょう,"measurement, surveying",量る,はかる,"to measure, weigh, to time"
久,KYUU,hisa,long time,久しぶり,ひさしぶり,first in a long time​,永久,えいきゅう,eternity,耐久性,たいきゅうせい,durability
境,KYOU,sakai,boundary,国境,こっきょう,national border,環境,かんきょう,"environment, circumstance",境界,きょうかい,"boundary, border, limit"
階,KAI,.,"storey, stair",階段,かいだん,stairs,階級,かいきゅう,social class,階層,かいそう,"class, level, layer"
区,KU,.,ward,区別,くべつ,"distinction, differentiation, classification",地区,ちく,"district, section, sector​",区域,くいき,"limits, boundary, domain, zone, area"
波,HA,nami,wave,津波,つなみ,"tsunami, tidal wave",電波,でんぱ,"radio wave, reception, signal",波長,はちょう,wavelength
