Question,A,B,C,D
すぐに出かけるから、＿＿しなさい。,🅰 そうだん,🅱 ようじ,🅲 ようい,🅳 しゅっせき
ちゅうしゃじょうに車を＿＿。,🅰 来る,🅱 とめる,🅲 とまる,🅳 行く
今日はこどもの＿＿をしなければなりません。,🅰 あいさつ,🅱 せわ,🅲 わけ,🅳 ようじ
子供たちは先生にサッカーを教えて＿＿。,🅰 くれた,🅱 もらった,🅲 あげた,🅳 やった
何が＿＿か言わないとわかりません。,🅰 ほしく,🅱 ほしい,🅲 ほしくて,🅳 ほし
あなたが子供の＿＿元気に歌いはじめた。,🅰 ほどに,🅱 ぐらいに,🅲 ように,🅳 そうに
いつも＿＿あとで、お茶を飲む。,🅰 会議で,🅱 会議から,🅲 会議を,🅳 会議の
君はもう晩ご飯を＿＿んだね。,🅰 食べって,🅱 食べった,🅲 食べた,🅳 食べて
妹は母＿＿車を買ってもらった。,🅰 へ,🅱 で,🅲 を,🅳 に
ナイフとフォークがテーブルの上にならんで＿＿。,🅰 います,🅱 します,🅲 あります,🅳 おきます
昨日、工場長にビールを＿＿。おいしかった。,🅰 くれた,🅱 もらった,🅲 あげた,🅳 やった
たくさんありますね。どれ＿＿一つもらってもいいですか。,🅰 か,🅱 と,🅲 は,🅳 が
もう春になったのに＿＿。,🅰 もう寒くない,🅱 まだ寒い,🅲 もう暖かくなった,🅳 まだ暖かい
この夏は、山に＿＿登ってみたい。,🅰 ぐらい,🅱 かな,🅲 でも,🅳 よね
強い地震で＿＿ばかりの家が倒れました。,🅰 建てる,🅱 建てた,🅲 建てるはず,🅳 建てたとか
答えは次の三つの中＿＿一つ選びなさい。,🅰 でも,🅱 とか,🅲 から,🅳 もが
友達の紹介＿＿新しい仕事が見つかった。,🅰 で,🅱 も,🅲 は,🅳 が
テレビを付けて＿＿、友達が番組に出ていた。,🅰 見るなら,🅱 見たら,🅲 見れば,🅳 見ては
この音楽を＿＿、気持ちがとてもよくなる。,🅰 聞くのに,🅱 聞くと,🅲 聞きたり,🅳 聞くなど
機械はもうもう何台＿＿故障しました。,🅰 しか,🅱 か,🅲 は,🅳 ずつ
カラオケに＿＿ます。,🅰 行く,🅱 行か,🅲 行き,🅳 行こ
牛乳を＿＿ます。パンも食べます。,🅰 飲み,🅱 飲む,🅲 飲も,🅳 飲め
明日友達は行きますが、私は＿＿。,🅰 行きます,🅱 行きません,🅲 行きました,🅳 行きますか
昨日の夜、あまりねません＿＿。,🅰 した,🅱ます,🅲 でした,🅳 ました
日本料理はあまり＿＿。,🅰 作ります,🅱 作りません,🅲 作りました,🅳 作りませんでした
くつに【石】が入っていました。,🅰 いし,🅱 すな,🅲 くさ,🅳 えだ
にほんでいろいろな【経験】しました。,🅰 けいけん,🅱 けいげん,🅲 けけん,🅳 けげん
【店員】にトイレがどこにあるか聞きました。,🅰 てにん,🅱 てんにん,🅲 ていん,🅳 てんいん
