Word,Reading,Meaning,Expression,Translation
上手く,うまく,"skilfully, well",うまく喋れない,I don't speak well
安く,やすく,cheaply,少し安くなります,I'll give you a little discount
深く    ,ふかく,deeply       ,深く愛し合ってた,We were deeply in love
早く,はやく,quickly        ,早く泳げた,We swam fast
すごく,すごく,very,すごく盛り上がりました,It was very exciting
短く,みじかく,cut shortly         ,短くしてくれない,They don't make it short
詳しく,くわしく,detailed,詳しくお書きください,Please describe in detail
綺麗に,きれいに,"carefully, neatly",きれいに取り扱う,Beautifully handled.
特別に,とくべつに,specially,特別に許可されます,Special permission granted
大切に,たいせつに,carefully,大切に取り扱ってください,Please handle with care
ちゃんと,ちゃんと,properly ,ちゃんと理解してくれません,They don't understand me properly
恐らく,おそらく,"probably, likely",恐らく動作が鈍くなる,It will probably slow down
すっかり,すっかり,completely,すっかり見入っている,I'm totally looking at it
ゆっくり,ゆっくり,slowly     ,ゆっくり進める必要がある,We need to proceed slowly
ピカピカ,ピカピカ,sparkly,ピカピカ光る,Shining brightly
ふらふら,ふらふら,unsteadily,ふらふらと歩き,Walking unsteadily
初めて,はじめて,first time,はじめて聞かれる,Heard for the first time
極めて,きわめて,extremely,きわめて多様化した,Extremely diversified
優れて,すぐれて,exceedingly,すぐれて公共的性格,Very public nature
きれいに,きれいに,neatly,きれいに拭き取れます,Wipes clean
すっかり,すっかり,completely,すっかり商売に打ち込んでいる,He's totally into business
ゆっくり,ゆっくり,"leisurely, well",ゆっくりドアを開けなさい,Open the door slowly
まっすぐ,まっすぐ,straightly,まっすぐ部屋に戻る,Straight back to the room
ちょうど,ちょうど,exactly ,ちょうど定刻に始まった,It started right on time
はっきり,はっきり,clearly ,はっきり示される,Clearly shown
まったく,まったく,"really, completely",道路はまったく通れません,Roads are totally impassable
ちゃんと,ちゃんと,properly,ちゃんと考えて下さい,Please think about it properly
きちんと,きちんと,accurately,きちんと片づけておきなさい,Put it away properly
無事に,ぶじに,safely,無事に帰ってきて,Come home safely
早速,さっそく,immediately,コードをさっそく読みましょう,Let's read the code quickly
もっと,もっと,more,あなたをもっと助けるべきだった,I should have helped you more
もっとも,もっとも,"extremely, most",もっとも一般的なデータ型です,The most common data type
いちばん,いちばん,most,いちばん珍しいお茶にしよう,Let's try the rarest tea
だいぶ,だいぶ,"pretty, considerably",だいぶ勢いは落ちてきた,Momentum has slowed considerably
非常に,ひじょうに,very,非常に高価な絵,Very expensive painting
ほとんど,ほとんど,almost,生活のほとんどを地中で過ごす,Spend most of their lives underground
一切,いっさい,"absolutely, all, not at all",一切必要がありません,There is no need for any of that
実に,じつに,"really, truly",あれは実につらい経験だった,That was a very painful experience
かなり,かなり,"considerably, fairly",かなり印象的です,Quite impressive
結構,けっこう,"quite, reasonably",彼女の髪の毛は結構短い,Her hair is pretty short
極めて,きわめて,extremely,構成と管理が極めて容易です,Extremely easy to configure and manage
すっかり,すっかり,completely,雪がすっかり消えた,The snow has completely disappeared
大変,たいへん,very,通勤できることを大変喜んでいます,Very happy to be able to commute to work
とても,とても,very,この道具はちゃんと使えば,If you use this tool properly
すごく,すごく,very,すごく楽しくて面白い話でした,It was a very fun and interesting talk
たくさん,たくさん,a lot,たくさん収納できます,Lots of storage space
大いに,おおいに,"a lot, greatly",彼女は仕事を大いに楽しむ,She enjoys her job a lot
わずかに,わずかに,slightly,わずかに内側へ移動した,Moved slightly inward
ずいぶん,ずいぶん,"very, extremely",タイプのサービスずいぶん変わる,The type of service changes a lot
少し,すこし,a little,少し歩くと駅に出ます,A short walk takes you to the station
あまり,あまり,(not) very,あまり隠れ家のように見えない,Doesn't look like much of a hideout
ぜんぜん,ぜんぜん,not at all,今夜はぜんぜん勉強する気にならない,I don't feel like studying at all tonight
なかなか,なかなか,"pretty, fairly",彼女はなかなか賢い少女です,She's quite a clever girl
まあまあ,まあまあ,so-so,まあまあの給料をもらっている,I get paid so-so
あらかじめ,あらかじめ,"beforehand, previously",あらかじめお電話にて,Call us in advance
初めに,はじめに,first to,一番初めに覚えたことさ,It's the first thing I learned
今,いま,now ,彼女は今入院中である,She is in the hospital now
まだ,まだ,"(not) yet, still",しかし諦めるのはまだはやい,However it is still too early to give up
まもなく,まもなく,soon,まもなく公式確証がある,Soon we will have official confirmation
まれに,まれに,rarely ,彼女はまれにみる美しい女性だ,She's a rare beautiful woman
また,また,again,また飲み始めて,Start drinking again
もう,もう,already,もう寝る時間ですよ,It's time to go to bed
昔,むかし,in the past,この町は昔きれいでした,This town used to be beautiful
最後,さいご,finally ,最後に考えることは,The last thing to think about is
最近,さいきん,recently ,最近彼女に全然会ってない,I haven't seen her at all lately
最初,さいしょ,first ,最初それが続いたので,At first it went on and on
先に,さきに,ahead,学校は２キロ先にある,The school is two kilometers ahead
先ほど,さきほど,a while ago ,先ほど説明したように,As explained earlier
さっき,さっき,just now,さっき言ったことは,What I just said
すぐに,すぐに,immediately,すぐに戻らなかったら,If I don't come back soon
少し,すこし,a bit,,
たびたび,たびたび,often,,
しばしば,しばしば,frequently,,
しょっちゅう,しょっちゅう,always,,
すでに,すでに,already,,
次に,つぎに,next,,
よく,よく,oftent,,
やがて,やがて,shortly,,
ずっと,ずっと,along,,
そう,そう,"in that way, thus, such​",,
どう,どう,"how, in what way, how about​",,
もう,もう,"already, yet, by now, anymore​",,
こう,こう,"in this way, thus, such​",,
良く,よく,"nicely, well, skilfully, often ",,
未だ,まだ,"still, as yet, only​, (not) yet, more",,
少し,すこし,"small quantity, little, few, little while",,
余り,あまり,"(not) very, (not) much, too much",,
直ぐ,直ぐ,"immediately, at once, shortly, easily",,
唯,ただ,"only, merely, just, simply​",,
矢張り,やはり,"as expected, sure enough, after all",,
何故,なぜ,"why, how",,
先ず,まず,"first (of all), firstly, to begin with",,
例えば,たとえば,"for example, for instance",,
詰まり,つまり,"that is to say, in other words, in short",,
全く,まったく,"really, truly, entirely, completely, indeed ",,
一寸,ちょっと,"a little, a bit, slightly",,
