Sentences,Translation
あなたは凄い事をやった。,You have done a terrific job.
テニスの腕は凄い。,He is a great tennis player.
電車は凄い混みようだった。,The train was very crowded.
難しい手続き。,Difficult procedures.
難しい病気。,Difficult disease.
これよりそっちの問題のほうが難しそうだ。,That problem seems more difficult than this one.
彼は酷い目にあった。,He had a terrible experience.
大雨の後で酷い道だ。,The road is terrible after heavy rain.
お供できれば嬉しいのですが。,I would be happy to accompany you.
彼が帰ってきたという嬉しい便りがあった。,There was happy news that he had returned.
問題の正しい答。,Correct answer to the question.
彼は正しい人間だ。,He is the right person.
君の判断は正しい。,Your judgment is correct.
詳しいことは知りません。,I do not know the details.
彼は銀座に詳しい。,He knows Ginza well.
激しい痛み。,Severe pain.
このあたりは交通が激しい。,Traffic is heavy in this area.
彼は政界で怖いもの無しだ。,He has nothing to fear in politics.
厳しい訓練。,Rigorous training.
厳しい規則。,Strict rules.
厳しい表情。,A stern look.
厳しい取り締まり。,Tough controls.
今日は暑さが厳しい。,The heat is intense today.
最高の料理辛いメキシコ風の魚。,Best dish spicy Mexican style fish.
こちらもうまくて辛いつけ麺です。,These are also good and spicy tsukemen.
彼女は目が優しい。,She has kind eyes.
気立ての優しい少女。,She is a kind and gentle girl.
彼の責任は軽い。,His responsibility is light.
軽い夏服。,Light summer clothing.
実に手早いものだね。,That's really quick.
次にするのは手早い試作です。,The next step is to make a quick prototype.
体が怠い。,I feel sluggish.
足が怠い。,Lazy feet.
彼はだらし無い生活をしてきた。,He has lived a sloppy life.
彼は卑しい振舞いをした。,He behaved in a despicable manner.
卑しいことは絶対にしない。,I would never do anything lowly.
煩わしい問題。,Complicated issue.
煩わしい手続きが必要だ。,It's a complicated process.
手のこんだ料理は煩わしい。,Elaborate cooking is annoying.
突然彼女は甲高い声で叫び出した。,Suddenly she started screaming in a high-pitched voice.
甲高い声で話す。,Speaks in a high-pitched voice.
みっともない格好をする。,Dressing in a disgraceful manner.
彼は全くみっともなかった。,He was utterly disgraceful.
みっともないからそんなことやめなさい。,"Don't do that, it's disgraceful."
これはすべて誇らしい考えである。,These are all arrogant thoughts.
我々としては非常に誇らしいです。,"For our part, we are very proud."
女性が主となって担ってきた誇らしい職業なのだ。,It is a proud profession that has been carried out predominantly by women.
彼は荒々しいサッカーの試合。,He is a rough soccer game.
荒々しい刺が野生感を醸し出します。,The rough sting creates a sense of wildness.
彼女の振る舞いは荒々しい。,Her behavior is rough.
電子機器の目覚ましい改良。,Remarkable improvements in electronics.
目覚ましい発展を遂げる。,Remarkable development.
各プロジェクトの目覚ましい進展を評価した。,The committee commended the remarkable progress of each project.
潔いデザイン。,Graceful design.
潔い敗北演説を行った。,He gave a gracious speech of defeat.
冬の空でその日は更に鬱陶しいものになるでしょう。,Winter skies will make the day even more depressing.
いつも鬱陶しい感じがするのです。,It always feels depressing.
その弱々しい患者は胃癌に苦しんでいる。,The frail patient is suffering from stomach cancer.
彼女は弱々しい声で話した。,She spoke in a weak voice.
弱々しい体つき。,Weak body.
腹立たしい態度。,An infuriating attitude.
腹立たしいことも起こった。,Some infuriating things happened.
愛しい作品を手に入れ。,Get the work you love.
愛しい家族に電話します。,I call my dear family.
渋いお茶。,Strong bitter tea.
和風寄りの渋い味わいがお好きな方におすすめです。,Recommended for those who like an austere flavor that leans toward the Japanese style.
四角い箱で表されます。,It is represented by a square box.
こちらは上品な四角い化粧箱。,This is an elegant square cosmetic box.
それは容易いご用だ。,That's easy for you to say.
その解決策を見出すのは容易いことではない。,Finding a solution to this problem is not an easy task.
彼の仕事は完成には程遠い。,His work is far from finished.
自分の理想にはまだ程遠い。,I am still far from my ideal.
それがどんなに気まずい会話になる。,How awkward a conversation that would be.
気まずい雰囲気になるでしょうね。,It would be an awkward situation.
気まずい瞬間と呼んでいるものの結果になる。,It results in what I call an awkward moment.
木の葉がないと庭は寂しい。,The garden is lonely without the leaves of the trees.
寂しい旅路になることもあるだろう。,It can be a lonely journey.
恐ろしい速度で運転する。,Driving at a frightening speed.
恐ろしい出来事。,Terrible event.
恐ろしい光景。,A frightening sight.
恐ろしい数の参加者。,A frightening number of participants.
私の部屋は恥ずかしいほど散らかっていた。,My room was an embarrassing mess.
恥ずかしい思いをしないように。,Don't be embarrassed.
この場所では喫煙しても宜しい。,Smoking is allowed in this location.
こういうやり方で宜しいのですか。,Is this the right way to do it?
息が苦しい。,I have trouble breathing.
胸が苦しい。,My chest is painful.
食べすぎておなかが苦しい。,I ate too much and my stomach is in pain.
このシチューは味付けが濃い。,This stew is strongly seasoned.
濃いスープ。,Thick soup.
彼は自分で偉いと思っている。,He thinks he is great.
偉い暑さだ。,It's awfully hot.
彼はど偉いことをやりとげた。,He has done great things.
物覚えが速い。,Quick to remember things.
回復が速かった。,Recovery was fast.
左足に鋭い痛みを覚えた。,I felt a sharp pain in my left leg.
あの子は鋭い頭をしている。,That boy has a sharp mind.
来てくれて有り難い。,Thank you for coming.
ここで会えるなんて有り難い。,I am grateful to see you here.
一人住まいに相応しい家。,A house suitable for a single person.
最も相応しいデザインについての議論が再び始まった。,The discussion about the most appropriate design began again.
彼の考えはとても幼い。,His way of thinking is very childish.
"体は大きくなったが, 考え方は幼い。","He has grown up, but his way of thinking is still young."
著しい貿易不均衡が起こった。,A significant trade imbalance occurred.
著しい進歩。,Significant progress.
著しい相違。,Significant differences.
著しい類似。,Significant similarities.
著しい経済成長を遂げた。,Significant economic growth was achieved.
著しい特色。,Striking feature.
温度変化の著しい環境。,Environments with significant temperature fluctuations.
