Sentences,Translation
一言を言わずにおいた。,I didn't say a word.
言うとおりにしよう。,I will do as you say.
職業の人から成っていた。,It consisted of a man of profession.
何でも言いなさい。,Say whatever you want.
実に興味深いと思います。,I think it's really interesting.
素晴らしいと思います。,I think it's wonderful.
知らないと思ってた。,I thought you didn't know.
現場で会うと思ってた。,I thought I would see you on site.
信じないと思ってた。,I thought you wouldn't believe me.
見つけたいと思っています。,I'm hoping to find out.
暗算得意なのかと思って。,I thought you were good at mental arithmetic.
行こうと思っている。,I'm thinking of going.
本当に理解するかしらと思った。,I wondered if you would really understand.
正しく動作していると思われる。,It seems to be working correctly.
たき火を堪能してからいただきます。,I will enjoy the bonfire and then eat.
教職に就くつもりだ。,I'm going to take a teaching position.
必ずバックアップを取ってください。,Be sure to make backups.
多くのテナントに喜んで頂いていると考えます。,We believe that many of our tenants are pleased with the results.
お客様からはどんな声を頂いているの？,What kind of feedback have you received from customers?
持続的に支援を頂いているので。,We have received sustained support.
休暇から戻ってきた。,I just got back from vacation.
図書館から戻ってきた。,I came back from the library.
何人かこちらに戻って欲しい。,I would like some of them to come back here.
倉庫に戻って来るんだ。,Come back to the warehouse.
部屋に戻ってください。,Please go back to your room.
ロビーに戻ってみましょう。,Let's go back to the lobby.
判決に従うほかない。,We have no choice but to comply with the ruling.
従うべき基準があるのです。,There are standards to follow.
食事療法にきちんと従うように。,Be sure to follow the diet properly.
ルールには従う以外仕方ない。,There is no other way but to follow the rules.
従うべき規則があります。,There are rules to follow.
指示に注意深く従うなら。,If you follow the instructions carefully.
最終承認を求めている。,Final approval is being sought.
専門的なガイダンスを求めている。,Seeking professional guidance.
市長に発言許可を求めた。,He asked the Mayor for permission to speak.
冒険を求めて旅に出た。,I set out in search of adventure.
公職への任命を求めて運動した。,He campaigned for appointment to public office.
我々の支援を求めてます。,They want our support.
みな幸せを求めていい。,Everyone can seek happiness.
昔いつも求めてたのに。,I used to always ask for it.
集会への参加も求められた。,They were also asked to attend the rally.
その救済策も求められた。,A remedy for this was also requested.
治療法間に差は認めなかった。,No differences were found between treatments.
間違いを認めなかった。,He did not admit to making a mistake.
自分の誤りを認めます。,I admit my error.
国際的に認められた。,Internationally recognized.
重要な役割は特に認められた。,An important role was specifically recognized.
欠点を認めているでしょうか。,Do they admit their shortcomings?
簡単に述べる。,Brief description.
より正確な定義は後に述べる。,A more precise definition will be given later.
常に何かを述べる有する。,Always have something to state.
本規則の目的を述べている。,The purpose of this rule is stated.
しげしげと眺めた。,I looked at it sullenly.
一点をじっと眺める。,Stare at a point.
私達が子供を預かるってのはどう？,How about we take care of the kids?
このお金を預かっておいてください。,Please keep this money.
事前に荷物を預かって頂くことはできますか？,Can I have my luggage checked in beforehand?
この荷物を午後３時まで預かっていただけますか。,Can you please keep this luggage until 3:00 PM?
明日までその犬を預かっておきましょう。,Let's keep that dog until tomorrow.
貴重品を預かってもらえますか。,Can you take care of my valuables?
チェックインまで荷物を預かってもらえますか。,Can you keep my luggage until check-in?
貴重品や荷物を預ける所はありますか？,Is there a place to leave valuables and luggage?
目立たずに銀行に預けることは出来なかった。,I could not discreetly deposit the money in the bank.
携帯とカメラを預けて下さい。,Please leave your cell phone and camera with us.
銀行にそのお金を預けてください。,Deposit that money in the bank.
私は子どもを彼女に預けて買い物に行った。,I left my child with her and went shopping.
貴重品は安全のために銀行に預けていた。,Valuables were deposited in the bank for safety.
あいにく店は閉まっていた。,"Unfortunately, the store was closed."
あいにく、宿題を家に忘れてきた。,"Unfortunately, I left my homework at home."
あいにく万能の答えはありません。,"Unfortunately, there is no universal answer."
あいにくその映画を見逃してしまった。,"Unfortunately, I missed that movie."
あいにく朝の通勤ラッシュにぶつかった。,"Unfortunately, I ran into the morning commuter rush."
