Words,Meaning,Sentence,Translation
音楽家,musician,私は家族の中で初めての音楽家なのです。,I am the first musician in my family.
専門家,"specialist, expert, professional",彼はこういったトラブルを解決する専門家だ。,He is an expert in solving these problems.
資本家,"capitalist, financier",外国資本家は現地の政情不安が理由で手を引きました。,Foreign capitalists backed out because of local political unrest.
今週限り,limited to this week,商品が今週限りの大特価。,Great specials on products this week only.
一度限り,only once,こちらの一度限りのイベントに是非足を運んでいただきたい。,We hope you will come to this one-time event.
読み方,"way of reading, how to read",書物の貸し借りや読み方にこだわりがあった。,He was particular about lending and reading books.
あなた方,you (plural),あなた方を救う方法があります。,There is a way to save you all.
先生方,the teachers,この部屋は先生方に使われています。,This room is used by teachers.
卵形,"oval, egg-shaped",とりわけ人目をひいたのは、彼女の卵型の顔立ちだった。,What particularly caught the eye was her egg-shaped face.
三日月形,crescent shape,枝は少し三日月形で、アーチ型です。,Branches are slightly crescent-shaped and arched.
箱型,"box, box-shape, cube-type",車両は実質的に窓を側面に備えた大きな箱型である。,The vehicle is essentially a large box with windows on the sides.
忘れがち,tend to forget,人々は彼らの予約購読を忘れがちである。,People tend to forget their subscriptions.
病気がち,"prone to be ill, often get ill",病気がちな方が使えるサービス。,Services available for those who tend to be ill.
太りぎみ,verging on obesity,彼は少々太りぎみです。,He is somewhat overweight.
風邪ぎみ,have a slight cold,私は風邪気味のようです。,I seem to have a cold.
