Sentence,Translation
パスポートと チケットを 見み せていただけますか。,Can I see your passport and ticket?
 東京を案内していただけますか。, Can you show us around Tokyo?
この本を貸していただけますか。,Can you lend me this book?
パスポートとチケットを見せてください。,Please show your passport and ticket.
パスポートとチケットを見せてもらえますか。,"May I see your passport and ticket, please?"
パスポートとチケットを見せてくださいませんか。,Can I see your passport and ticket?
肉と野菜とどちらが好きですか。,Do you prefer meat or vegetables?
ご注文は以上でよろしいですか。,Is that all I have to order?
お席はエコノミークラスでよろしいですか。,Is your seat in economy class?
お席は窓側と通路側とどちらがよろしいですか。,Would you prefer a window or aisle seat?
窓側でお願いします。,"Window side, please."
それでお願いします。,So please do.
大盛りでお願いします。,"Large serving, please."
鉛筆で書いてください。,Please write in pencil.
学校で勉強します。,Study at school.
駅まで30分で行けますか。,Can you get to the station in 30 minutes?
お泊とまりになるところはございますか。,Do you have a place to stay?
社長はもうお帰りになりました。,The president has already left.
この本は先生がお書きになりました。,This book was written by teacher.
必要なものはございますか。,Do you have what you need?
私 が担当の田中でございます。,I am Tanaka and I am in charge.
ここから 新宿まで どう行ったらいいですか。,How do I get to Shinjuku from here?
どこで買ったらいいですか。,Where can I buy one?
どう使ったらいいですか。,How should I use it?
どう行けばいいですか。,How can I go about it?
どう使えばいいですか。,How can I use it?
どこでカメラを買えばいいですか。,Where can I buy a camera?
地下鉄よりリムジンバスに乗った方がいいです。,It is better to take the limousine bus than the subway.
彼と別れた方がいいです。,You should leave him.
彼と別れない方がいいです。,You should not leave him.
富士山は登るより見る方がいい。,Fuji is better to see than to climb.
バス乗り場があそこにありますのでそこから乗ればいいですよ。,"There is a bus stop over there, so you can take it from there."
違うバスに乗ったみたいですね。,It looks like you took a different bus.
赤ちゃんはまるで天使みたいです。,Babies are like angels.
子供は眠いみたいです。,The child seems sleepy.
おじいさんは元気みたいです。,Grandpa seems to be doing well.
彼はまだ寝ているみたいです。,He seems to still be sleeping.
授業はもう終わったみたいです。,It looks like the class is over.
田中さんは忙しいみたいです。,Mr. Tanaka seems to be busy.
田中さんは忙しそうです。, Mr. Tanaka seems to be busy.
