Kanji,NR,KR,Meaning,W1,R1,M1
郎,ROU,.,"man, guy",野郎,やろう,"guy, fellow, buddy​"
郎,ROU,.,"man, guy",新郎,しんろう,bridegroom
結,KETSU,"musu, yu","tie, bond, conclude",結婚,けっこん ,marriage
結,KETSU,"musu, yu","tie, bond, conclude",結果,けっか,"result, consequence"
結,KETSU,"musu, yu","tie, bond, conclude",結構,けっこう,"splendid, wonderful"
結,KETSU,"musu, yu","tie, bond, conclude",結晶,けっしょう,"crystal, crystallization"
結,KETSU,"musu, yu","tie, bond, conclude",結核,けっかく,tuberculosis
結,KETSU,"musu, yu","tie, bond, conclude",結局,けっきょく,"after all the, at the end"
結,KETSU,"musu, yu","tie, bond, conclude",結論,けつろん,conclusion
結,KETSU,"musu, yu","tie, bond, conclude",結ぶ,むすぶ,"tie, bind, link"
結,KETSU,"musu, yu","tie, bond, conclude",団結,だんけつ,"unity, union, solidarity"
結,KETSU,"musu, yu","tie, bond, conclude",結合,けつごう,"combination, joining"
結,KETSU,"musu, yu","tie, bond, conclude",結成,けっせい,"formation, combination"
氏,SHI,.,family name,氏名,しめい,fullname
衛,EI,.,"defense, protect",衛星,えいせい,satellite
第,DAI,.,"number, ordinal",次第,しだい,depending on
保,HO,tamo,"protect, guarantee, keep",保証,ほしょう,"guarantee, assurance"
義,GI,.,"justice, honor",義務,ぎむ,"duty, obligation"
吉,"KICHI, KITSU",.,good luck,不吉,ふきつ,unlucky
士,SHI,.,"gentlemen, samurai",士気,しき,morale
藤,TOU,fuji,wisteria,葛藤,かっとう,"conflict, complication"
井,"SEI, JOU",i,well,井戸,いど,water well
江,KOU,e,"inlet, bay, creek",江戸,えど,edo
張,CHOU,haru,lengthen,張る,はる,"to stick, paste, stretch"
松,SHOU,matsu,pine tree,松,まつ,pine tree
応,OU,kota,answer,応える,こたえる,"to respond, answer"
視,SHI,mi,"see, inspect",視野,しや,"field of vision, view"
態,TAI,.,"attitude, condition",態度,たいど,"attitude, manner, behaviour"
姿,SHI,sugata,"figure, form",姿,すがた,"figure, appearance, state"
皇,"KOU, OU",.,emperor,天皇,てんのう,emperor of japan
宮,"KYUU, GUU",miya,"palace, shrine",宮殿,きゅうでん,palace
離,RI,hana,separate,離れる,はなれる,to be separated
基,KI,moto,"basis, foundation",基準,きじゅん,"standard, basis, criterion"
隊,TAI,.,"party, squad",軍隊,ぐんたい,armed forces
素,"SO, SU",.,"element, naked, uncovered",酸素,さんそ,oxygen
価,KA,atai,"price, value",物価,ぶっか,prices of commodities
撃,GEKI,u,"beat, attack, assault",攻撃,こうげき,"attack, assault"
振,SHIN,fu,"shake, wave, swing",振る,ふる,"to wave, shake, swing"
証,SHOU,.,"proof, evidence",証明,しょうめい,"proof, testimony"
派,HA,.,"group, faction",派手,はで,showy
僕,BOKU,.,"me, i",僕,ぼく,"me, i"
佐,SA,.,"help, assistance",補佐,ほさ,"aid, help, assistance, assistant"
紀,KI,.,"narrative, chronicle",世紀,せいき,century
統,TOU,su,"rule, govern",統べる,すべる,"to rule over, govern"
器,KI,utsuwa,"utensil, vessel",楽器,がっき,musical instrument
異,I,koto,"different, uncommon",異常,いじょう,"strangeness, abnormality, disorder​"
護,GO,.,"defend, protect",保護,ほご,"protection, safeguard"
条,JOU,.,"article, clause",条約,じょうやく,"treaty, pact, convention"
独,DOKU,hito,"single, alone",独立,どくりつ,"independence, self-reliance"
源,GEN,minamoto,"source, origin",資源,しげん,resources
影,EI,kage,shadow,影,かげ,"shadow, silhouette, figure"
眼,GAN,"me, manako",eyeball,眼鏡,めがね,eyeglasses
企,KI,"kuwada, takura","undertake, scheme, plan",企てる,くわだてる,"to plan, plot, propose, design"
津,SHIN,tsu,"haven, port, harbour, inlet",津波,つなみ,tsunami
案,AN,.,"plan, proposal",案内,あんない,"guidance, leading"
策,SAKU,.,"scheme, plan, policy, means",政策,せいさく,"political measures, policy"
宗,"SHUU, SOU",.,"religion, sect",宗教,しゅうきょう,religion
提,TEI,sa,"submit, propose, take along",前提,ぜんてい,"condition, prerequisite, premise"
昭,SHOU,.,"shining, bright",昭和,しょうわ,Shōwa era
密,MITSU,.,secrecy,秘密,ひみつ,"secret, secrecy, confidentiality"
司,SHI,tsukasado,administer,司会,しかい,leading a meeting
検,KEN,.,"investigate, examination",探検,たんけん,"exploration, expedition"
康,KOU,.,"ease, peace",健康,けんこう,health
沢,TAKU,sawa,"swamp, marsh, brilliance",光沢,こうたく,"brilliance, polish, glossy"
秀,SHUU,his,"excel, excellence",優秀,ゆうしゅう,"superior, excellent"
興,"KOU, KYOU",oko,"entertain, interest",興味,きょうみ,interest
率,"RITSU, SOTSU",hiki,"ratio, rate, proportion, lead",確率,かくりつ,probability
評,HYOU,.,"evaluate, criticism, comment",評価,ひょうか,"valuation, appraisal, evaluation"
監,KAN,.,oversee,監督,かんとく,"supervision, control"
崎,.,saki,cape,崎,さき,"small peninsula, cape"
鮮,ZEN,aza,"fresh, vivid, clear",新鮮,しんせん,fresh
激,GEKI,hage,"violent, get excited",激しい,はげ,"violent, furious, intense"
徳,TOKU,.,"benevolence, virtue",道徳,どうとく,morals
挙,KYO,a,"raise, plan, actions",挙げる,あげる,to raise
志,SHI,kokoroza,"intention, plan",意志,いし,"will, volition, intention"
敷,FU,shi,spread,敷く,しく,"to spread out, lay out​"
系,KEI,.,"lineage, system",体系,たいけい,"system, organization"
織,"SHOKU, SHIKI",o,"weave, fabric",織物,おりもの,"textile, fabric"
製,SEI,.,"produce, manufacture, made in",製品,せいひん,manufactured goods
