Expression,Translation
かわいそうに,"poor thing, what a pity"
ナイスオン,"nice one, nice shot"
チョリース,"hi, hello, gotcha understood"
ええっ,"eh?, what?, come on"
あれっ,"hey, huh, eh?"
いってき,"bye, see ya, have fun, get going"
何それ,"what the?, what’s that?, what’s going on?"
何これ,"what the?, what’s this?, what’s going on?"
ほらほら,"look, look!"
やりー,"yay, hooray, awesome"
座布団一枚,"that was a good one!, what a stinger"
よくいらっしゃいました,"it was very good of you to come, glad to see you"
ようそろ,"keep it steady, understood, alright "
そうです,"that is so, that is right, it looks to me, that’s my impression, it us said that"
ほいきた,"all right, very well, okay, i got it"
よしきた,"all right, very well, okay, i got it"
何だと,"what did you say?, what’s that?"
へいへい,"yes, sure, gotcha"
よせやい,"stop it!, enough!, cut it out!"
してやったり,"got you!, tricked you!"
恥を知れ,shame on you
それゆけ,"go, go go, get to it"
ちぇすと,"do it, cheers"
いやん,"oh, no, don’t"
くっそ,"bullshit, shit, damn"
ごちそうさん,"thank you for the meal, that was a delicious meal"
さんきゅう,thank you
最近どう,"how are you?, what’s up?"
いや,"no, stop, quit it!"
よくやった,"well done, good job"
バッチこい,bring it on!
したっけ,"goodbye, see you later, bye bye, then, and then, if so"
いやいや,"no, no no, not at all"
いかにも,"indeed, really, truly, very, extremely, absolutely, certainly, for sure"
いざ,"now, come (now), well"
いらっしゃい,welcone
うん,yes
ええ,"yes, that is correct, right"
えっと,"let me see, well"
おやおや,"my goodness, oh my!, oh dear!"
お帰りなさい,welcome home
おしまい,"that’s it, that’s all"
おはようございます,good morning
げろげろ,"that’s gross, digusting!"
こう,"in this way, thus such, uh"
こんにちは,good afternoon
さあ,"come, come now, cone along, well, who knows, well now, let’s see"
さてさて,"well, now then, well then"
しまった,"darn it!, darn!, oh no!, oops!"
じゃあ,"then, well, so, well then"
そうそう,"oh yes!, that’s it, that’s right, quite, indeed"
そうだ,"that is so, that us right, it looks to me, that is my impression, it is said that"
では,"then, well, so, well then"
どうも,thanks
どういたしまして,"you’re welcome, don’t mention it, not at all, my pkwasure"
まあまあ,so-so
まさか,"by no means, never"
全く,"entirely, completely, indeed, good grief"
お見事,"well done, bravo, wonderful"
いいとも,"sounds good, sure thing, no problem"
やった,"yay, yes, finally done"
がんばって,do your best
