Words,Reading,Meaning,Sentences,Translation
来る,くる,to come,雨天の後には晴天が来る。,After rain comes fair weather.
見る,みる,"to see, look, watch, view, observe, look over",映画でも見ていこうか。,Let's stop off and see a movie.
居る,いる,"to be, to exist",彼は昨年北海道にいましたか。,Was he in Hokkaido last year?
くれる,くれる,"to give, let some have",彼女は私たちに食べるものをくれた。,She gave us something to eat.
要る,いる,"to be needed, to be wanted",この家は家賃がいらない。,This house is free of rent.
それ,それ,that,誰がそれを知ろうか。,Who'd know that?
時,とき,"time,, hour, moment, a point in time, occasion, case",私の家に来れる時は、まず電話をして下さい。,"When you can come to my house, please call me first."
される,される,"to be dine (to someone), to be doing",奨学金が交付された。,I got a grant for my tuition.
から,から,"from, because, since",ここから歩いて２時間もの距離だ。,It is no less than two hours' walk from here.
僕,ぼく,"I, me",僕の声は届いていますか。,Can you hear I'm calling?
板,いた,"board, plank, sheet of meta, plate, pane, slab, cutting board, chef, stage",私はその板をインチで計った。,I measured the board in inches.
前,まえ,"ago, before, in front of",駅に着く前に列車は発車していた。,The train started before we got to the station.
ではない,ではない,"is not, am not, are not",能力がすべてではない。,Ability alone is not enough.
よう,よう,"appearing, looking, way to, method of, form, style, like",こういう機器では買いたくなるような値段です。,"It's an attractive price, for this sort of device."
中,なか,"in, inside, middle, center, among, with in, during, while",なぜ森の中で道に迷ったのか。,Why did you get lost in the woods?
言う,いう,"to say, to utter, to declare, to name, to call",私に一回だけ言わせてくれ。,Let me say it once for all.
先生,せんせい,"teacher, master, doctor",彼は駅で英語の先生にばったり会った。,He met his English teacher at the station by accident.
見える,みえる,"to be seen, to be in sight, to be visible",あちらに富士山が見えます。,We can see Mt. Fuji over there.
私,わたし,"I, me",正確に言うと私は大学講師です。,"Specifically, I'm a university lecturer."
べき,べき,"should, must, ought to, to be done",君は彼に本当のことを言うべきだった。,You should have told him the truth.
積もり,つもり,"intention, plan",私は外国へ行くつもりだったが。,I intended to have gone abroad.
年,ねん,"year, counter for years",私がここへ来てから二年になる。,It is two years since I came here.
という,という,"called, named, said, to say, to be said, to be called",それは何という動物だ。,What an animal it is!
有る,ある,"to be, to exist (in animate), to have, to be located, to be quipped with, to happen, to come about",私たちの学校には１０の学級がある。,Our school has ten classes.
男,おとこ,"man, male, fellow, guy",農場で一人の男が働いている。,There is a man working on the farm.
この,この,this,このスカーフはすべすべする。,This scarf feels soft.
行けない,いけない,"wrong, not good of no use, must not do",あなたはこの部屋で眠ったらいけません。,You are not to sleep in this room.
思う,おもう,"to think, to consider",彼は彼女をとても魅力的だと思います。,He thought her very charming.
には,には,"for (in regard to), in (in regard to), in order to",この国には外国人の観光客が大勢いる。,Foreign tourists in this country are numerous.
んです,んです,"the expectation is that, the reason is that, the fact is that, it is that",あの、本当は、ちょっと具合が悪いんです。,"Well... actually, I'm sick."
させる,させる,"to make (someone) do, to allow (someone) to",医者は少女に抗生物質を服用させた。,The doctor dosed the girl with antibiotics.
方,かた,"direction, way, side, area, type, method, means",どっちの方に行くとよいかな。,Which way shall we go now?
悪い,わるい,"bad, poor, undesirable",彼女はいつも体の具合が悪いと不平を言っている。,She is always complaining of her poor health.
にも,にも,"also, too, as well, even, be also, to/in.. also (inclusive)",この規則はいくとおりにも解釈できる。,This rule reads several ways.
ので,ので,"because of, since, the reason is, that being the case, given that, so",私は非常に早く起きたのでその列車に間に合った。,"Because I got up so early, I caught the train."
鳴る,なる,"to sound, to ring, to resound, to echo, to roar, to rumble",突然ベルが鳴った。,The bell rang suddenly.
学生,がくせい,student (esp. a university student),ここの本は学生が誰でも利用できます。,These books are accessible to all students.
立つ,たつ,"to stand, to rise, to stand up",あの建物の前に立っている人は誰ですか。,Who is the man standing in front of the building?
よりも,よりも,"in comparison to, rather than, than (inclusive comparison)",彼女は彼よりも優れた指導者だ。,She is a more proficient leader than he is.
や,や,"such things as, and",賃金や給料は定期的に受け取る給与のことです。,Wages and salary are pay received at regular times.
考え,かんがえ,"thinking, thought, view, opinion, concept, idea, notion, intention, consideration",彼の考えは私の考えと一致しない。,His ideas do not fit in with mine.
自分,じぶん,"myself, yourself, oneself, himself, herself, I, me",自分のすらっとした姿を得意に思っています。,She is vain about her slender figure.
って,って,"you said, he said, she said, they said, says that,as for the term, as for",楽しい時って、あっと言う間に時間過ぎちゃうんだよね。,"When you're enjoying yourself, the time seems to fly by."
である,である,"be is, (formal, literary)",それらの街の交通法は同じである。,Those cities have uniform traffic laws.
酔う,よう,"to get drunk, to become intoxicated, to feel sick, to become nauseated, to be elated",彼は多かれ少なかれ酔っていた。,He was more or less drunk.
あの,あの,that,あのお店ではおいしいリンゴが販売中です。,There are some nice apples on sale in that shop.
他,ほか,"other (place, thing, person), the rest",彼は他の事に気を取られている。,He is preoccupied with something else.
無い,ない,"nonexistent, not being (there)",私は忙しいし、それには興味もない。,"I am busy, and I'm not interested in that, either."
決して,けっして,"never, by no means, not in the least, in no way",あなたのご親切を私はけっして忘れません。,I shall never forget your kindness.
積極的,せっきょくてき,"positive, assertive, active, proactive, aggressiv",何事にも積極的な態度を取るようにしなさい。,Try to have a positive attitude about everything.
凍結,とうけつ,"freezing (e.g. water), freezing (prices, wages, assets, etc.)",冬は道路を凍結するのでよく滑って転びます。,It is easy to slip and fall during icy winters.
