Sentence,Translation
日本語がペラペラになるぞ。  ,You will become fluent in Japanese.
漢字がすらすら読めた。,I can read kanji easily.
どんどん日本語で話してみるよ。  ,I'll try to speak more and more in Japanese.  
いやいや勉強しても、仕方がない。 ,You can't help it if you study it reluctantly.
 厳しい先生が、ビシビシ教えてくれるよ。   , A strict teacher will teach you the lesson.   
学校の中はガヤガヤうるさかった。,The school was buzzing with noise.
だんだん上手になるからね。,I'm getting better and better at it.
少しずつコツコツ勉強したからね。,I've learned a little bit of a tricky thing.
胸をドキドキさせながら彼女はドアを開けた。,"With her heart pounding in her chest, she opened the door."
私たちはその試合を見てわくわくした。,We were thrilled to see that match.
見ていてハラハラさせられた。,Just seeing it made me nervous.
彼は彼女のことをかんかんに怒っている。,He is very angry with her.
イライラした気分で無能さを感じながら帰ります。,I leave feeling frustrated and incompetent.
胸がムカムカして吐きそう。,I feel sick to my chest and want to throw up.
彼には本当にはっとさせられた。,He was a real eye-opener.
彼はその爆発にぎょっとした。,He was perplexed by the explosion.
彼の話は私を恐怖でぞっとさせた。,His story thrilled me with horror.
雷がごろごろ鳴っている。,Thunder is rumbling.
出来事が彼の記憶を通してぴかっと光る。,Events flash through his memory.
ざあざあ雨が降った。,It rained roughly.
館内に画廊がぽつぽつと目につき始めたのは90年代ごろから。,Art galleries began to pop up in the museum around the 1990s.
雨がぱらぱら降り出しました。,Rain began to sprinkle.
秋の雨に、どんよりとした週末だった。,The weather was a wet and overcast this weekend.
湿気が多い日、からっと晴れた日でも、音質が変わる。,The sound quality varies even on humid and dry sunny days.
彼らは夏のじめじめした気候に慣れている。,They are used to the humid climate of the summer.
肌のうるおいを守って洗い上げつるつるの肌へ。,Protects the skin's moisture and washes it clean for smooth skin.
びしょびしょに濡ぬれていた。,It was soaking wet.
滑走面の下からぱりぱりといい音が起こった。,A nice crisp sound occurred under the runway surface.
林檎をさくさくと音をたてて食べた。,I ate the apple with a crunching sound.
独特な酸味としゃきしゃきした食感を持つ食品として食べられる。,It is eaten as a food with a unique sour taste and crunchy texture.
とろっとした味わいが楽しめる。,"Enjoy a thicker, more mellow taste."
ふんわり優雅な風をお楽しみください。,"Enjoy the soft, elegant breeze."
"こんなかちかちのパン, 食べられないよ","Such a hard bread, I can't eat it."
餅がこちこちになった。,The rice cake has dried up and gone hard.
ちょっとぱさぱさ感があって軽いので、いくらでも食べられます。,"It is a little crispy and light, so you can eat as much as you like."
露にしっとり濡れる。,Moist and wet with dew.
私がぴりっとする食糧を好むことを知っている。,They know I prefer spicy foods.
そのこってりラーメンを爽やかなビールで流し込む。,Pour the heavy rich ramen with refreshing beer.
長浜ラーメンはあっさりしたスープと細麺が特徴です。,Nagahama ramen is characterised by its light soup and thin noodles.
間違えても、くよくよしないで。  ,Don't worry if you make a mistake.
いやいや勉強しても、仕方がない,You can't help it if you study it reluctantly.
厳しい先生が、ビシビシ教えてくれるよ。,A strict teacher will teach you hard.
みんな、ペチャクチャしゃべっていたし。   ,Everyone was chattering.
先生が来たら、シーンと静かになった。,"When the teacher arrived, the scene became quiet."
ソワソワして落ち着かないね。, I'm so nervous and restless.
デートなんだ。ドキドキするなあ。," It's a date. I'm so excited,"
それでウキウキしてるんだ。 ,That's why I'm so thrilled.
もう行かなきゃ。バタバタだぁ。, I have to go. I'm in a flurry.
危ない。あ～、ハラハラする。,"Dangerous. Oh, I'm on edge."
そんなにガミガミ言わないで。,Don't be so nagging.
グズグズしてるから、時間が無くなるんだよ。   ,"You're goofing off, and you're running out of time."
ふんわりと優しい雰囲気に仕上げます。,It creates a soft and gentle atmosphere.
ふんわりもっちり、食感がやみつきに。,"Soft and fluffy, with an addictive texture."
英語をペラペラにしゃべりたい。,I want to speak English fluently.
私の夢は中国語をペラペラ話せるようになることだ。,My dream is to be able to speak Chinese fluently.
母語話者のようにすらすらと話せるようになることは理想だ。,"Ideally, they should be able to speak as fluently as a native speaker."
