W1,W2,W3,W4
"<b>シンプル</b> <br>シンプル <br>simple <br>シンプルな考え","<b>重大</b> <br>じゅうだい <br>serious・important・significant <br>重大な欠点","<b>下品</b> <br>げひん <br>vulgar・coarse・crude <br>下品な宣伝看板 ","<b>露</b> <br>あらわ <br>exposed・bare <br>露な判断 "
"<b>窮屈</b> <br>きゅうくつ <br>narrow・tight・cramped <br>窮屈な場所","<b>真摯</b> <br>しんし <br>sincere・earnest・serious <br>真摯な協議","<b>周到</b> <br>しゅうとう <br>careful・thorough・meticulous <br>周到な研究 ","<b>不潔</b> <br>ふけつ <br>unclean・dirty・filthy・impure <br>不潔な環境"
"<b>知的</b> <br>ちてき <br>intellectual <br>知的な役割 ","<b>稀</b> <br>まれ <br>rare・seldom <br>稀な副作用","<b>真っ直ぐ</b> <br>まっすぐ <br>straight・direct <br>真っ直ぐな運河","<b>真っ赤</b> <br>まっか <br>deep red <br>真っ赤な紅葉"
"<b>主要</b> <br>しゅよう <br>chief・main・principal <br>主要な管理","<b>勇敢</b> <br>ゆうかん <br>brave・heroic・gallant <br>勇敢な冒険者","<b>暢気</b> <br>のんき <br>carefree・optimistic・careless <br>暢気な生活","<b>良質</b> <br>りょうしつ <br>good quality <br>良質な素材"
"<b>性的</b> <br>せいてき <br>gender・sex <br>性的な挙動","<b>気の毒</b> <br>きのどく <br>pitiful・unfortunate <br>気の毒な結果","<b>同一</b> <br>どういつ <br>identical・same・fair <br>同一な記述","<b>可能</b> <br>かのう <br>possible・potential <br>可能な構成"
"<b>外的</b> <br>がいてき <br>external・outside <br>外的な差異","<b>大雑把</b> <br>おおざっぱ <br>rough・not precise・broad <br>大雑把な推定","<b>虚ろ</b> <br>うつろ <br>cavity・hollow・void <br>虚ろな想像","<b>曖昧</b> <br>あいまい <br>vague・ambiguous・unclear​ <br>曖昧な仮説"
"<b>自在</b> <br>じざい <br>doing at will​ <br>自在な運用","<b>様々</b> <br>さまざま <br>various・diverse・all sorts of​ <br>様々な方法","<b>粗末</b> <br>そまつ <br>crude・rough・plain・humble <br>粗末な社宅","<b>尋常</b> <br>じんじょう <br>common, usual <br>尋常な修行"
"<b>大変</b> <br>たいへん <br>immense・enormous​・serious <br>大変な過程","<b>気楽</b> <br>きらく <br>carefree・comfortable <br>気楽な規制","<b>淫ら</b> <br>みだら <br>indecent・obscene・improper <br>淫らな関係","<b>単一</b> <br>たんいつ <br>single・simple・sole・individual <br>単一な解釈"
"<b>微妙</b> <br>びみょう <br>subtle・delicate・complex <br>微妙な技術","<b>希薄</b> <br>きはく <br>thin・diluted・lacking <br>希薄な溶液","<b>如何</b> <br>いかが <br>questionable・how <br>如何な予算配分","<b>安楽</b> <br>あんらく <br>ease・comfort・carefree・cozy <br>安楽な暮らし"
"<b>可哀想</b> <br>かわいそう <br>poor・pitiable・pathetic <br>可哀想な被害者","<b>スムーズ</b> <br>スムーズ <br>smooth <br>スムーズな旅行管理","<b>最適</b> <br>さいてき <br>most suitable <br>最適な季節","<b>切</b> <br>せつ <br>eager・earnest <br>切な治療"
