Words,Reading,Meaning
市場,いちば・しじょう,market
拡大,かくだい,"expansion, extension"
図る,はかる,"to plan, devise, plot"
同様,どうよう,"same, similar"
境遇,きょうぐう,one's circumstances
究極,きゅうきょく,"ultimate, final"
我が社,わがしゃ,our company
出し合う,だしあう,to contribute jointly
浅からぬ,あさからぬ,deep emotion or connection or etc.
夕刻,ゆうこく,evening hour
恐らく,おそらく,"perhaps, probably"
寝台,しんだい,"bed, couch"
組み立てる,くみたてる,"to assemble, set up"
交付された,こうふされた,got delivered or issued
収容する,しゅうようする,to accomodate
外気,がいき,open air
摂氏,せっし,"celcius, centigrade"
費やす,ついやす,"to spend, consume"
託する,たくする,to entrust
水生生物,すいせいせいぶつ,"aquatic life, water creatures"
鳥類,ちょうるい,birds
植物,しょくぶつ,"plant, vegetation"
生息,せいそく,"inhabiting, living"
中等教育,ちゅうとうきょういく,secondary education
依然として,いぜんとして,"still, as yet, as of old"
思考力,しこうりょく,ability to think
低下してきた,ていかしてきた,getting lower
組織,そしき,organization
業医,かいぎょうい,private clinician
主体,しゅたい,main constituent
国際化する,こくさいかする,Internationalize
打ってもらう,うってもらう,get hit
再編成する,さいへんせい,reorganize
近ごろ,ちかごろ,"lately, recently"
輸送,ゆそう,transport
御馳走,ごちそう,"treat, feast"
沿線,えんせん,alongside a railway line
現象,げんしょう,phenomenon
背後,はいご,"back, background, behind the scenes

















"
本質,ほんしつ,"essence, true nature, substance"
捕らえる,とらえる,"to capture, catch"
芸術作品,げいじゅつさくひん,work of art
せざるを得なかった,せざるをえなかった,"can’t avoid to be done, had to do"
駅舎,えきしゃ,station building
元素,げんそ,chemical element
分解する,ぶんかいする,"disassemble, decompose"
材料,ざいりょう,"ingredients, material"
不足してきた,ふそくしてきた,getting insufficient
少なくとも,すくなくとも,at least
捜しています,さがしています,searching
わざと,わざと,on purpose
伴奏,ばんそう,accompaniment
購買,こうばい,"buy, purchase, procure"
意欲,いよく,"will, desire"
唆る,そそる,"to excite, incite, tempt, stir up"
配置,はいち,"arrangement, deployment"
工夫する,くふうする,devising a way
政府,せいふ,"government, administration"
振興,しんこう,"promotion, encouragement"
上手くいく,うまくいく,to go smoothly
所帯,しょたい,"home, family"
務める,つとめる,to work
政界,せいかい,political world
財界,ざいかい,financial world
極めて,きわめて,"exceedingly, extremely, decisively"
参会者,さんかいしゃ,attendee
少数,しょうすう,"minority, few"
最終的,さいしゅうてき,"final, eventual"
間柄,あいだがら,"relationship relation, terms"
資料,しりょう,"materials, data, document"
類似点,るいじてん,points of similarity
