Words,Expression,Translation
無い,商業中心の無い郡,Counties without commercial centers
良い,一番良い例,Best example
多い,多い人気エリア,Most popular areas
高い,高い接続,Highly connected
大きい,大きい図面,Large drawings
悪い,悪い組み合わせ,Bad combinations
強い,強い相互作用,Strong interactions
少ない,少ない危険,Less risk
長い,長い準備期間,Long preparation time
新しい,新しい研修生,New trainees
早い,非常に早い成熟,Very early maturation
甘い,甘い香りがする,Sweet smelling
若い,若い身体,Young body
欲しい,欲しい情報を持ってる,Has the information they want
深い,深い信頼と協力の感覚,Deep sense of trust and cooperation
近い,最も近い空港,Closest airport
小さい,小さい組織図,Small organization chart
難しい,難しい処理,Difficult to process
凄い,凄いチャンスを掴もう,Seize great opportunities
面白い,面白い性質,Interesting properties
広い,広い用途で用いられる,Used in a wide range of applications
美しい,美しい環境を守って,Protecting a beautiful environment
白い,白い霧の山腹,White misty mountainside
低い,低い温度,Low temperatures
楽しい,楽しい経験,Pleasant experience
嬉しい,嬉しい出来事,Happy event
酷い,酷い選択肢,Terrible choices
古い,古い観念,Old notions
安い,安いエネルギー価格,Cheap energy prices
美味しい,美味しい焼きそば,Delicious fried noodles
正しい,正しい答えを選びなさい,Choose the correct answer
詳しい,詳しい知識,Detailed knowledge
激しい,激しい運動体制,Intense exercise regime
怖い,怖い場所,Scary places
厳しい,厳しい条件,Harsh conditions
辛い,辛い食べ物,Spicy food
軽い,軽い設定,Light setting
優しい,優しい雰囲気,Gentle atmosphere
可愛い,可愛い女の子,Cute girls
重い,重い荷物,Heavy baggage
可笑しい,可笑しい表札,Hilarious nameplate
明るい,明るい見通し,Bright outlook
痛い,痛い注射,Painful injection
赤い,赤い星,Red star
短い,短い説明,A short description
暗い,暗い部屋の片隅,A dark corner of the room
遅い,遅い書き込み速度,Slow writing speed
弱い,弱い体系,Weak system
黒い,黒い髪,Black hair
遠い,遠い過去,Distant past
薄い,薄い空気,Thin air
狭い,狭い隙間,Narrow Gap
素晴らしい,素晴らしい都市,Wonderful cities
珍しい,珍しい種類の魚,A rare kind of fish
寂しい,少し寂しい少し寒さを感じる,Feeling a little lonely a little cold
冷たい,冷たい飲料,Cold beverages
寒い,寒い気候で特に重要,Especially important in cold climates
恐ろしい,恐ろしい光景,Terrible sight
忙しい,一番忙しい時間帯,Busiest time of day
細い,細い砂利道,Narrow gravel road
恥ずかしい,恥ずかしいユーザ名,Embarrassing username
悲しい,悲しい知らせ,Sad news
宜しい,開けても宜しい,May I open it
濃い,濃い日焼けした肌,Dark tanned skin
苦しい,苦しい過去を抱えた,With a painful past
熱い,熱いコメント,Hot comment
細かい,細かい作業,Fine work
太い,美しい太い配列,Beautiful bold array
偉い,偉い外科医,Great surgeon
速い,速い足取り,Fast on his feet
鋭い,方向感覚が鋭い,Great sense of direction
青い,青い背景,Blue background
仕方無い,危なくてしかたない,Dangerous but not too dangerous
厚い,厚い雲に隠されている,Hidden by thick clouds
親しい,親しい間柄にある,In close proximity
暑い,年で一番暑い季節,The hottest season of the year
幼い,幼い子供,A young child
相応しい,相応しい報奨である,Is a well-deserved reward
久しい,久しい以前から,From long ago
有り難い,有り難いことと思っています,I am thankful for
固い,固い盟約関係,A tight alliance
物凄い,物凄い批評,A tremendous critique
懐かしい,懐かしい鉄道構内風景である,A nostalgic view of a railroad yard
丸い,銀色の丸い気球,A silvery round balloon
貧しい,貧しい工業生産地域,A poor industrial area
硬い,硬い銀白色の金属,Hard silvery-white metal
著しい,著しい体重減少,Significant weight loss
きつい,きつい保護設定,Tight protective settings
怪しい,怪しい気配を感じている,Suspicious presence
煩い,煩い多き人の世,A world of many troublesome people
不味い,不味い寿司,Bad sushi
温かい,温かいミルクを持ってくる,Bringing warm milk
汚い,一番汚い河川がある,The dirtiest river there is
素早い,素早い高電圧放電,Quick high voltage discharge
望ましい,望ましい解決策ではない,Not a desirable solution
危ない,危ない天候,Dangerous weather
悔しい,悔しい思い出と言えば,Speaking of frustrating memories
柔らかい,柔らかい素材のため,Due to the soft material
等しい,どんな場合でも次数と等しい,Equal to the order in any case
大人しい,大人しい性格で,With a quiet disposition
暖かい,暖かい保育園で,In a warm nursery
堅い,堅い得られた現金,Tightly earned cash
めでたい,めでたい機会に,On auspicious occasions
軟らかい,軟らかい試料に適しています,Suitable for soft samples
浅い,浅い被写界深度,Shallow depth of field
凄まじい,凄まじい加速力,Tremendous acceleration
黄色い,黄色い点線,Yellow dotted line
情けない,情けない思い,Shameful thoughts
手堅い,手堅い計画,Solid plan
疑わしい,疑わしい取引の届出,Notification of suspicious transactions
幅広い,幅広い活動を展開,Wide range of activities
輝かしい,輝かしい仲間の旅行者,Brilliant fellow travelers
生々しい,生々しい映像と共に,With graphic images
危うい,危うい局面に直面する,Facing dangerous situations
乏しい,酸素の乏しい環境,Oxygen-poor environment
しつこい,しつこい風邪が抜けない,A persistent cold that won't go away
羨ましい,羨ましい感情,Enviable feelings
空しい,空しい希望でした,It was an empty hope.
でかい,でかい才能を持ってた,I had a big talent
涼しい,涼しい気候,Cool climate
力強い,力強い利益の構成要素,Components of powerful gains
淡い,淡い明り,Pale light
幅広い,幅広い知識,Extensive knowledge
荒い,荒い表面,Rough surface
賢い,賢い賭博師,Clever gamblers
易しい,易しい質問,Easy questions
詰らない,詰らない概念,Uncluttered concepts
涼しい,涼しい気候,Cooler Climate
苦い,苦い経験,Bitter experiences
眠い,眠い目,Sleepy eyes
堪らない,堪らない体験,Unbearable experience
臭い,臭いごみ捨て場,Smelly dumps
とんでも無い,とんでも無い値段,Ridiculous prices
粗い,粗い処理が目立たないので,The rough treatment is so inconspicuous
