Kanji,NR,KR,Meaning,W1,R1,M1
合,"GOU, GA","a, ai","fit, match",合図,あいず,"sign, signal, cue"
合,"GOU, GA","a, ai","fit, match",組合,くみあい,"association, union, guild"
合,"GOU, GA","a, ai","fit, match",集合,しゅうごう,"meeting up, gathering, assembly"
合,"GOU, GA","a, ai","fit, match",待合室,まちあいしつ,waiting room
合,"GOU, GA","a, ai","fit, match",試合,しあい,"match, game"
合,"GOU, GA","a, ai","fit, match",場合,ばあい,"case, situation"
合,"GOU, GA","a, ai","fit, match",具合,ぐあい,"condition, state, state of health"
合,"GOU, GA","a, ai","fit, match",都合,つごう,"circumstances; condition, to arrange, manage"
合,"GOU, GA","a, ai","fit, match",割合,わりあい,"rate, ratio, percentage, proportion"
合,"GOU, GA","a, ai","fit, match",合格,ごうかく,"passing an exam, pass, success"
部,BU,.,"part, section, copy of",部品,ぶひん,"parts, accessories, components"
部,BU,.,"part, section, copy of",部門,ぶもん,"division, branch, field, class"
部,BU,.,"part, section, copy of",部隊,ぶたい,"force, unit, corps, squad"
部,BU,.,"part, section, copy of",部数,ぶすう,"number of copies, circulation"
部,BU,.,"part, section, copy of",部署,ぶしょ,"one's post, one's station, department"
部,BU,.,"part, section, copy of",細部,さいぶ,"detail,  particulars"
部,BU,.,"part, section, copy of",支部,しぶ,"branch, subdivision"
部,BU,.,"part, section, copy of",警部,けいぶ,police inspector
部,BU,.,"part, section, copy of",部活,ぶかつ,"club activities, extracurricular activities"
部,BU,.,"part, section, copy of",外部,がいぶ,"outside, exterior"
彼,HI,"kare, kano","he, him",彼女,かのじょ,"she, her​"
彼,HI,"kare, kano","he, him",彼ら,かれら,"they, them​"
彼,HI,"kare, kano","he, him",彼方,あちら,"that way, that direction, over there"
彼,HI,"kare, kano","he, him",彼岸,ひがん,equinoctial week
彼,HI,"kare, kano","he, him",彼是,あれこれ,"this and that, this or that"
彼,HI,"kare, kano","he, him",彼奴,あいつ,"he, she, that guy​"
彼,HI,"kare, kano","he, him",彼氏,かれし,boyfriend
彼,HI,"kare, kano","he, him",彼,かれ,"he, him​"
内,NAI,uchi,"inside, within​",以内,いない,"within, inside of, less than"
内,NAI,uchi,"inside, within​",案内,あんない,"guidance, leading"
内,NAI,uchi,"inside, within​",内閣,ないかく,"cabinet, ministry"
内,NAI,uchi,"inside, within​",内容,ないよう,contents
内,NAI,uchi,"inside, within​",内科,ないか,internal medicine
内,NAI,uchi,"inside, within​",内臓,ないぞう,internal organs
内,NAI,uchi,"inside, within​",内訳,うちわけ,"itemization, the items, breakdown"
内,NAI,uchi,"inside, within​",家内,かない,my wife
内,NAI,uchi,"inside, within​",構内,こうない,"premises, grounds, campus"
内,NAI,uchi,"inside, within​",屋内,おくない,indoor
内,NAI,uchi,"inside, within​",内輪,うちわ,"family circle, one's circle "
内,NAI,uchi,"inside, within​",内装,ないそう,"interior design, interior, upholstery"
実,JITSU,"mi, mino","truth, reality",事実,じじつ,fact
当,TOU,a,"hit, right",適当,てきとう,"suitable, proper, appropriate"
戦,SEN,"ikusa, tataka","war, battle",戦争,せんそう,war
性,"SEI, SHOU",.,"sex, gender",女性,じょせい,"woman, female"
対,"TAI, TSUI",.,opposite,対象,たいしょう,"target, object"
関 ,KAN,"seki, kaka","gateway, connection",関わる,かかわる,"to be affected, be influenced"
感,KAN,.,feelings,感情,かんじょう,emotion
定,"TEI, JOU",sada,"determine, fix",定める,さだめる,"to decide, determine"
政,SEI,matsurigoto,government,政治,せいじ,"politics, government"
取,SHU,to,take,取る,とる,"to take, pick up, get"
所,SHO,tokoro,place,所,ところ,place
現,GEN,arawa,"present, appear",現状,げんじょう,present condition
最,SAI,motto,"most, utmost",最近,さいきん,"recently, lately"
化,"KA, KE",ba,"change, take form",化ける,ばける,"to transform, disguise"
民,MIN,tami,"people, subjects",市民,しみん,citizen
相,"SOU, SHOU",ai,"inter, mutual, minister",相手,あいて,"companion, partner, other party"
法,HOU,nori,"method, law, rule",法律,ほうりつ,law
全,ZEN,"matta, sube","whole, entire, all",全部,ぜんぶ,"all, entire"
情,JOU,nasa,emotion,情報,じょうほう,"information, news"
向,KOU,mu,"facing, beyond",向く,むく,"to turn toward, to face"
平,"HEI, BYOU","tai, hira","flat, even, peace",平等,びょうどう,equality
成,SEI,na,become,成る,なる,to become
経,"KEI, KYOU","he, ta","pass, elapse",経験,けいけん,experience
信,SHIN,.,"trust, faith",信じる,しんじる,to believe
