W1,T1,W2,T2,W3,T3,W4,T4,W5,T5,W6,T6
継続,continuation,緑,green,嘆く,to lament,止める,to stop,筋肉,muscle,非常識,insane
私,i,狙う,to aim at,誠に,"indeed, really",辺り,"around, vicinity",売り切れ,sold out,幼児,infant
支える,to support,乗り込む,to board,飲み物,beverage,一人,one person,当局,authorities,付き合う,to associate with
緩める,to loosen,続く,to continue,出世,success in life,用いる,to use,川,river,大魚,large fish
侵す,"to infringe, to invade",講師,lecturer,催す,"to hold (event), to feel",ひな祭り,doll's festival,積む,to pile up,海鳥,sea bird
資源,resources,真剣,serious,従う,to obey,当てる,"to hit, to guess",力,power,理系,science
生死,life and death,連日,every day,対比,contrast,見晴らし,"view, prospect",たばこ屋,tobacco shop,四角,a square
退学,withdrawal from school,植物,"plants, vegetation",引き取る,to take over,強力,powerful,市場,market,定価,list price
作家,writer,食う,to eat,金曜日,friday,月,moon,発明,invention,毎月,monthly
志す,to aspire to,腕,arm,物体,object,農家,farmer,借金,debt,無関係,unrelated
教える,to teach,医学,medical science,お母さん,mother,集合,"gathering, set",上がる,to rise,敗れる,defeat
次女,second daughter,水準,"level, standard",送金,to send money,豊富,abundance,新聞,newspaper,半ば,half
滅びる,to perish,経歴,"career, personal history",詩,poem,口,mouth,勝ち,win,脚注,footnote
伝わる,to convey,観察,observation,対象,target,旗,flag,翌日,next day,停車,stopping of vehicle
高い,"high, expensive",番地,address,資金,"funds, capital",同一,identical,両者,both,立ち寄る,to stop over
風景,"landscape, scene",疲労,fatigue,行進,"march, parade",三つ,three,種類,"type, variety",停船,stopping a ship
追い越す,overtaking,低い,low,無言,silence,左,left,面積,area,墓,tomb
批判,criticize,見せる,to show,不満,dissatisfaction,七つ,seven,記入,entry,雛鳥,chick
防止,prevention,組み込む,to include,一致,agreement,二日,two days,俳優,actor,大通り,a main street
作る,to make,隠そうとして,trying to hide it,到底,(not) at all,四日,four days,自衛隊,self-defense forces,牛肉,beef
言語,language,元気,energy,変える,to change,駅,station,短気,short temper,被保険者,to be insured
短大,junior college,防火,fire prevention,痛い,painful,接着剤,adhesive,互助,mutual aid,鉄道駅,a railway station
相互,mutual,火災保険,fire insurance,要注意,need for caution,六,six,呼吸,breathing,決める,decide
眠くてたまらない,so sleepy,女子,"woman, girl",お腹,stomach,祭りの後,after the festival,笑い,laughter,復習,review
波,wave,青年,youth,両方,both,弟,brother,大通り,the main street,急速,rapid
西日,west day,苦労,hardship,売り上げ,sales,検討する,to consider,ガレージ,a garage,亡くす,to lose through death
明後日,day after tomorrow,天候に応おうじた,according to weather,参謀,participation,建設地,construction site,周囲,surroundings,授業に加えて,In addition to classes
二日酔い,hangover,探す,searching,参入,entering,買い上げて,done buying,昨年,last year,駅,a train station
今日,today,恥,shame,進化,"evolution, progress",微か,faint,利く,smart,縦,vertical
全部,all,サイクロン,a cyclone,そう言えば,speaking of which,割引,a discount,日記,diary,片付け,tidying up
適切,appropriate,意味において,in the sense of,刑事,detective,払い戻し,a refund,ブロック,a block,大人しい,quiet
偽物,counterfeit,起こる,happening,済む,the place,建設中,under construction,悪くなる一方だ,It's only getting worse,本当,TRUE
津波,a tsunami,破壊する,to ravage,注意力,attentiveness,約束,an appointment,典型,typical,子供の遊び場,a children’s playground
凍結する,to freeze,重い,heavy,バランスシート,a balance sheet,作曲,compose,使役,employment,解く,solve
学説,theory,作者,author,泊まる,overnight,九日,nine days,枯葉,dead leaf,手荷物,a baggage
霧雨,a drizzle,主任,chief,店主,a shopkeeper,請求書,a bill (accounting),薬,medicine,子犬,puppy
受取り,"receiving, receipt",所得税,the income tax,調査,survey,結節,"knot, node",戦後,post war,ハイライト,a highlight
曇り,cloudy,黒字,black figures,丸め込む,"to coax, to cajole",乾杯,cheers,大国,great power,小魚,small fish
股,crotch,火付け役,fire starter,加わる,to be added to,劇,play,不要,unnecessary,猟犬,hound
母の日,mother's day,歯科,dental,無用,useless,解説者,commentator,千葉県,chiba prefecture,注ぐ,to pour (into a vessel)
輝く,to shine,信念,belief,華やか,glamorous,計画を立てる,to plan,歴史的,historical,渡り鳥,migratory bird
日本中,all of japan,浴びる,exposed,電池,batteries,封,sealed,代役,substitute (actor),火力,firepower
乾季,the dry season,破壊する,to destroy,輸送,transport,研究者,researcher,小石,pebble,乗り出す,embark on
論文,papers,漢字,kanji,参る,participate,及ぼす,to exert (influence),落石,falling rocks,原文と比べて,compared to original
日増しに,day by day,議題,agenda,多忙,busy,眠たい,sleepy,墓地,a cemetery,パスポート,a passport
何日も,many days,宣伝,advertising,永久歯,permanent tooth,来年,next year,日程,schedule,寿司,sushi
好き,like,主題,subject,添える,accompany,労働組合,a trade union,可愛い,pretty,回数,times
九日,"9 days, 9th day",新月,new moon,好意,favor,培養,cultivation,亜鉛,zinc,発行する一方で,while issuing
読む,read,敬意,respect,小売業者,a retailer,初期設定,default settings,交通,the traffic,降る,falling
家,house,災害,a disaster,優先するあまり,too much of a priority,普及,"spread, diffusion",熱心,enthusiasm,国旗,flag
日ごろ,"normally, habitually",強まる,strengthen,固有,unique,軽率,thoughtless,前年,previous year,聞かす,listen to
寒いです,it’s cold,議題,an agenda,費用,costs,育児,childcare,外務省,ministry of foreign affairs,味付け,seasoning
日本酒,japanese sake,禁じる,forbid,丸顔,round face,見るにつけ,whenever (one) sees (it),石炭,coal,衝突,collide
外付,external drive,協力,cooperation,付加価値税,value added tax,牛乳,(cow's) milk,葉書,postcard,ストリート,a street
生命,life,医科,medical science,売上高,the turnover,節句,seasonal festival,大量,mass,苦情,a complaint
学校,school,干ばつに耐える,to endure a drought,殺意,intent to kill,損害,damage,長年,many years,心配,worry
日焼け,sunburn,がれき,the rubble,売上高,sales figures,厚生施設,welfare facilities,掃除,clean,連れてくる,bringing
分類,classification,不在,absence,未知,unknown,加わる,add,疑い,doubt,工学部,school of engineering
雲,the clouds,月末,end of month,並べる,to line up,手本,model,血液,blood,睡眠,sleep
特殊,special,科する,"to inflict, to impose",両天秤,two alternatives,頑丈,sturdy,注意にほかならない,nothing but caution,旅行の書類,travel documents
物質,material,診断,diagnosis,不用意,unprepared,体調いかんで,depending on one's health,乾物,dry provisions,流行る,going viral
現像,developing,意義,"meaning, significance",両日,both days,徒歩で,on foot,経由,via,寝付く,to go to bed
観光客,a tourist,自然災害,a natural disaster,到着,arrival,残念でしょうがない,so shameful,終結とともに,with the end,外国人,a foreigner
祭日,holidays,競争,the competition,持参人,bearer,読んだ上で,after reading,彫像,the statue,軍隊,army
漏らす,divulge,食べる,eat,爆発,explosion,鈍感,insensitivity,売り言葉,inflammatory words,焦点,focus
小児科,pediatrics,解決しなさい,solve it,首相,prime minister,同じる,to approve,生まれつき,by birth,風邪薬,cold medicine
言う,say,火山活動,volcanic activity,屡々,often,小節,"bar, measure",純粋,pure,明日,tomorrow
当人,the person,慈善団体,a charity,定期,periodic,お手洗い,bathroom,鉄橋,railway bridge,基付く,to be based (on)
持つ,have,世間,world,態勢,attitude,既設,established,相互交流,mutual exchange,コンパス,a compass
子供,child,行方不明になる,to be missing,設備,equipment,手数料,a commission,生き方,way of life,安全,safety
定休日,regular holiday,うれしさのあまり,with great joy,組む,assemble,進歩,progress,割り込む,fall below,臨時,temporary
日食,solar eclipse,電光石火,lightning,雨,rain,研修,training,上,up,半月,half month
霧,the fog,無知,ignorance,未定,undecided,建設,construction,井戸,water well,注意,"attention, caution"
雪が降っています,it is snowing,色,color,晩,evening,接見,"audience, reception",花嫁,bride,停滞,stagnation
内陸,inland,科学技術,science and technology,巨視的,macroscopic,知らないうちに,before one knew it,保健センター,a health centre,引き付ける,to attract
食事の後で,after the meal,領土,territory,注意書き,"notes, instructions",免許,license,収穫,harvesting,数百,several hundreds
財産,property,震源地,the epicenter,値下げ,a price reduction,路面標識,road markings,ラウンドアバウト,a roundabout,開店,open
面する,face,進行方向と逆に,against to travel direction,密か,secret,約束,an appointment,同時,simultaneous,野牛,buffalo
飛ぶ,fly,満月,full moon,叫ぶ,shout,乱用,"abuse, misuse",試合終了,end of a match,鑑賞,appreciation
雪が降る,to snow,賛成,for,費用,cost,乱暴,"violence, assault",青い,blue,前期,early period
承知,understanding,酒,alcohol,丸々,"chubby, entirely",昨年に比べて,compared to last year,石器時代,stone age,心臓,heart
次,next,花火大会,fireworks display,混乱,confusion,乾かす,"to dry up, to desiccate",配役,casting,停泊,anchorage
起こす,wake,年月日,year month day,補給,supply,散乱,"dispersion, scattering",病院,hospital,不愉快,unpleasantness
開ける,open,非常口,an emergency exit,突く,poke,接客,serving customers,些事,something small,行き止まり,a dead end
学習する上で,in learning,創業,establishment,洪水,flood,田んぼ,rice paddy,キリスト教,christianity,順調,good
日替わり,changing every day,養う,nurture,横串,crossing boundaries,接続,"connection, attachment",汚染,contamination,都会,city
売り出す,sell,程度,the extent,曜日,day of the week,彼,he,買い物,shopping,沼地,a swamp
真夏日,midsummer day,追跡,tracking,居並ぶ,to be arrayed,広告,an advertising,争議,"dispute, quarrel",海,an ocean
吹雪,a snowstorm,騒動,disturbance,定食,regular meal,使節,envoy,通路,the passage,国立公園,a national park
曜日,day of the week,姉,sister,触る,touch,水洗,washing with water,私用,personal use,国,a country
高まるとともに,with the rise of,経費,expenses,容易,easy,百,hundred,環境において,in an environment,盆,a tray
昔日,old days,意志,will,売り上げ,sales,時差ぼけ,jetlag,映る,show,絶壁,a precipice
高速,high speed,生年月日,date of birth,幸い,happiness,配達する,to deliver,地下鉄,subway,峡谷,a ravine
受領書,receipt,溶岩流,a lava flow,焼き串,skewer,研修生,trainee,政策,policy,岩,a rock
古い,old,耳,ear,渇く,thirsty,雨につけ,whenever it rains,レストラン,a restaurant,川,a stream
霧雨,the drizzle,右,right,勇気,courage,人工乳,formula (milk),受け身,passive,地震,an earthquake
何日,what day,宿泊施設,an accommodation,届けるべき,should deliver,学部,faculty,映画館,a cinema,堤防,an embankment
学者,scholars,胸,chest,クーポン,a coupon,月謝,monthly payment,生活,life,雪崩,an avalanche
