Concept,Meaning,Info,Remarks,Structure,S.Remarks,Sentences,T1,S2,T2,S3,T3,S4,T4,S5,T5
は,topic marker,particle,emphasize the information to be delivered,N + wa,,彼女は歌手です。,She is a singer.,彼は学生です。,I am a student.,天気は晴れだ。,The weather is sunny.,宿題はもう済んだ。,"As for homework, I finished it already.",野菜は食べていません。,"As for vegetables, I don’t eat it."
が,subject marker,particle,emphasize the subject of the sentence,N + ga,,今朝雨が降りました。,It rained this morning.,紅葉がきれいです。,The color of the leaves are beautiful.,私は車があります。,I have a car.,東京は地下鉄が便利です。,The subway in Tokyo is convenient.,昨日友達が来ました。,My friend came yesterday.
が,subject marker,particle,"express desire, need, ability or option",N + ga + desire・need・ability・option,suki・kirai・hoshii・dekiru・wakaru・Vtai・Vpot,車がほしい。,I want a car.,コーヒーが好きです。,I like coffee.,たこ焼きが食べたい。,I want to eat takoyaki.,韓国語が話せます。,I can speak Korean.,意味が分かりますか。,Do you understand the meaning?
が,subject marker,particle,follows an interrogative pronoun,QW + ga,"dare, dore, nani, doko",誰が本ですか。,Whose book is this?,誰が来ましたか。,Who came?,どれがいいですか。,Which is better?,誰が作ったの？,Who made it?,背景には何があるのか。,What is in the background? 
を,object marker,particle,indicates the object,N + wo + .. + trans.verb,,コーヒーを飲みましょう。,Let’s drink coffee.,日本語の本をたくさん読みます。,I read a lot of Japanese books.,あの人を知っていますか。,Do you know that person?,もっと野菜を食べなさい。,Eat more vegetables.,,
を,place of departure marker,particle,indicates a place of departure,N + wo,,家を出ます。,I go out of the house.,新宿で電車を降ります。,I alight off the train at Shinjuku.,仕事終わって会社を出ました。,"After finishing my work, I left the office.",,,,
を,place of passage marker,particle,indicates a place of passage,N + wo,,橋を渡ります。,I cross the bridge.,空を飛びます。,I fly through the sky.,この道をまっすぐ行ってください。,Please go straight along this street.,公園を通っていきましょうか。,Shall we go through the park?,この道を歩いて学校へ行きます。,I walk along this road on the way to school.
に,place marker,particle,indicates existence,N + ni,,駅の前にデパートがあります。,There is a department store in front of the station,,,,,,,,
に,place marker,particle,indicates the location of a thing or situation,N + ni,,私の家族は香港にいます。,My family is in Hongkong.,,,,,,,,
に,"destination, termination point marker",particle,indicates the destination or termination point,N + ni,,渋谷に行きます。,I'm going to Shibuya.,,,,,,,,
