W1,W2,W3,W4,W5,W6,W7,W8
者,勉強,同調,無理,議題,話題,無知,大通り
少年,自身,少し,下手な,知事,一言,主要,社交
題,手伝う,理想,文学,使い道,無理,自由,八百屋
屋,社会,境界,交通,主語,自動車,政界,文章
強い,筆者,普通,主権,興味,多少,切手,自習
知しる,少女,信者,自国,社説,社長,表題,減少
朝,使用,家屋,同志,患者,医者,入社,歯医者
文,知しらせる,無限,強制,強力,味覚,同様,強気
言う,言い出す,題材,代理,作文,お手洗い,通訳,宿題
無料,文法,朝食,今朝,通学,使用人,言葉,無言
神社,題名,会社,世界観,世界的,業界,理由,承知
使う,同情,文化,屋上,少々,部屋,味方,主義
手,理解,趣味,後者,混同,無くなる,少しも,同僚
通る,意味,上手な,知恵,手紙,共同,無知,無口
自分,朝ご飯,強化,少ない,原理,論文,朝夕,朝方
同じ,主食,言い訳する,使命,無効,朝霧,著者,使い捨て
主人,限界,自体,言いつける,言語,通勤,文明,全世界
世界,無くす,主体,味噌,屋外,強調,強引,手本
味,通す,使い,問題,自転車,主張,小屋,理論
料理,本屋,知識,商社,朝日,知能,使い方,気味
会社,重力,方言,原始的,利口,蒸発,道徳,中身
家族,上着,持参,自身,発電,別に,尊重,地方
始まる,思考,消極的,意思,仕舞う,早口,別荘,持てる
制度,夕方,道具,中京,思い出す,失業,思わず,執着
特別,事故,中世,不足,世帯,良心,品種,始末する
着る,不味い,切手,大切,不思議,帝京,口実,発作
足,切符,最終,足す,足る,知的,下着,思い出
目的,集合,重要,無口,品質,作る,心配,不満
東京,速度,原始,肌着,会う,貴重,知事,発作
仕事,発見,奉仕,別れる,正方形,更新,会計,足首
仕事,世紀,思想,最終的,京阪,宴会,家屋,裏切る
切る,会議,帰京,品物,もう一度,世の中,作戦,返事
思う,差別,作家,食事,記事,足し算,先天的,海洋
心臓,心,温度,職業,家事,全身,不自由,別々
商品,足跡,食品,爆発,海水浴,仕方,終身,新手
独身,家庭,事実,道路,比較的,食料品,両方,終日
世界,始める,足りる,重大,企業,始発,反発,回り道
道,仕方,着く,丁度,持ち上げる,歩道,新入,全集
発音,作品,不便,家具,集まる,集中,小切手,営業
方向,蛇口,性別,海運,切り,家事,京形,製品
持つ,終える,新しい,受け持つ,身長,終点,足元,会議室
重い,海岸,口紅,中心,始終,航海,開始する,仕掛ける
新聞,刺身,卒業,世代,終戦,親切,支持,決心
終わる,京都,会話,展覧会,鉄道,仕様がない,湿度,裏口
作文,作家,心得る,的確,着物,気持ち,集会,世論
