V1,R1,M1,V2,R2,M2,V3,R3,M3,V4,R4,M4
為る,する,do,残す,のこす,leave,焼く,やく,bake,絶える,たえる,cease
居る,いる,"be, exist, have",探す,さがす,find,伸ばす,のばす,extend,覆う,おおう,cover
有る,ある,"be, exist, have",至る,いたる,arrive,出会う,であう,encounter,務める,つとめる,serve
言う,いう,say,経つ,たつ,pass,助ける,たすける,help,利く,きく,be effective
成る,なる,become,似る,にる,resemble,望む,のぞむ,hope,分かれる,わかれる,divide
来る,くる,come,守る,まもる,protect,通う,かよう,go through,下る,くだる,descend
思う,おもう,think,困る,こまる,be in trouble,見付かる,みつかる,find,止む,やむ,stop
行く,いく,go,加える,くわえる,add,上る,のぼる,go up,見掛ける,みかける,see
見る,みる,see,調べる,しらべる,find out,亡くなる,なくなる,pass away,窺う,うかがう,see
出来る,できる,be able to,生ずる,しょうずる,produce,落ち着く,おちつく,settle down,輝く,かがやく,shine
拠る,よる,depend on,驚く,おどろく,be surprised,纏める,まとめる,settle down,招く,まねく,invite
仕舞う,しまう,finish,失う,うしなう,lose,抜ける,ぬける,leave,寄せる,よせる,bring near
分かる,わかる,understand,合う,あう,match,取り上げる,とりあげる,take up,抑える,おさえる,restrain
持つ,もつ,have,無くなる,なくなる,lose,構う,かまう,prepare,沿う,そう,follow
考える,かんがえる,think,増える,ふえる,increase,戦う,たたかう,fight,溢れる,あふれる,overflow
遣る,やる,do,上がる,あがる,go up,達する,たっする,reach,空く,すく,empty
出る,でる,go out,起きる,おきる,get up,悩む,なやむ,worry,光る,ひかる,shine
就く,つく,take,座る,すわる,sit down,洗う,あらう,wash,称する,しょうする,praise
取る,とる,take,聞こえる,きこえる,hear,疲れる,つかれる,get tired,促す,うながす,urge
聞く,きく,"listen, ask",思い出す,おもいだす,remember,着く,つく,arrive,込める,こめる,put into
下さる,くださる,give,許す,ゆるす,"allow, forgive",喋る,しゃべる,talk,存ずる,ぞんずる,exist
知る,しる,know,落ちる,おちる,fall,慣れる,なれる,get used to it,囲む,かこむ,surround
呉れる,くれる,give,繰り返す,くりかえす,repeat,流す,ながす,flush,塗る,ぬる,paint
入る,はいる,enter,回る,まわる,turn,握る,にぎる,hold,防ぐ,ふせぐ,prevent
