Words,Reading,Meaning,Type,S1,T1,S2,T2,S3,T3,K1,K2,W1,W2,W3
愛用する,あいよう,"to use regularly, patronize",suru,,,,,その他、私が愛用するのはオーガニックの豆類とナッツ類です。,I also love to use organic beans and nuts.,"愛 - love, affection, care, to love","用 - use, errand, task, to use",,,
アクセスする,アクセスする,to access (for Internet),suru,,,,,ホストコンピューターにアクセスする,Accessing the host computer,,,,,
案内する,あんないする,"to guide, lead",suru,,,,,先に立って案内してくれ,Stand ahead and guide me.,"案 - idea, plan, proposal, expectation, to be anxious","内 - inside, among, within",,,
安心する,あんしんする,"to be relieved, feel secure",suru,,,,,きっと合格すると安心している,I'm confident you'll pass.,"安 - cheap, relax, contented","心 - mind, heart, spirit",,,
安定する,あんていする,"to be steady, stable",suru,,,,,安定した天候がひと月続いた,We had a month of settled weather.,"安 - cheap, relax, contented","定 - determine, fix, establish, to decide",,,
アップする,アップする,to upload (for Internet),suru,,,,,物価は毎日アップしている。,Prices are going up every day.,,,,,
アレンジする,アレンジする,to arrange,suru,,,,,現代風にアレンジする。,Arrange it in a modern way.,,,,,
爆発する,ばくはつする,"to explode, burst, blow up",suru,,,,,インターネットが爆発しました。,The Internet has exploded.,"爆 - bomb, burst open, pop, split","発 - departure, discharge, publish, emit",,,
弁護する,べんごする,"to defend, testify for",suru,,,,,誰もあなたを弁護しないだろう。,No one will defend you.,"弁 - valve, petal, braid, speech, dialect","護 - safeguard, protect",,,
勉強する,べんきょうする,"to study, to give a discount",suru,,,,,試験のため詰め込み勉強をしている,He is cramming for the examination.,"勉 - exertion, endeavour, strive",強 - strong,,,
弁償する,べんしょうする,"to compensate, repay for loss",suru,,,,,私は損害を弁償した。,I reimbursed for the damage.,"弁 - valve, petal, braid, speech, dialect","償 - reparation, make up for, recompense",,,
防止する,ぼうしする,"to prevent, keep in check",suru,,,,,物価上昇を防止する。,Prevent price increases.,"防 - ward off, defend, protect, resist","止 - stop, halt",,,
募集する,ぼしゅうする,"to recruit, collect",suru,,,,,クラブの新会員を募集する。,Recruit new members for your club,"募 - recruit, campaign, gather","集 - gather, meet, congregate",,,
分析する,ぶんせきする,"to analyze, break down",suru,,,,,科学的に分析する。,Analyze scientifically.,"分 - part, minute of time, segment","析 - chop, divide, tear, analyze",,,
チャレンジする,チャレンジする,to challenge,suru,,,,,富士山に再チャレンジする。,I'll make another attempt to climb Mt. Fuji.,,,,,
遅刻する,ちこくする,"to be late, tardy",suru,,,,,遅刻しないで学校に行きなさい。,Don't be late to school.,"遅 - slow, late, back, later","刻 - engrave, cut fine, chop, time",,,
貯金する,ちょきんする,to save money,suru,,,,,収入の一部を貯金している。,I save a part of my income.,"貯 - savings, store, lay in",金 - gold,,,
調査する,ちょうさする,"to investigate, inquire into, examine",suru,,,,,徹底的に調査する。,Thoroughly investigate.,"調 - tune, tone, meter, key (music), investigate",査 - investigate,,,
