Verbs,Reading,Meaning,S1,T1
為る,する,"to do, carry out, perform",私がしなければ誰がする。,"If I don't do it, who will?"
居る,いる,"to be, exist, stay",ボストンにいるの？,Are you in Boston?
有る,ある,"to be, exist, live, have",机の上に本がある。,There is a book on the desk.
言う,いう,"to say utter, declare, to name, call",もう一度言ってくださいませんか。,"Could you repeat that, please?"
成る,なる,"to become, get, change into, consist of",この壁画は３人の画家の手に成る。,This mural was done by three artists.
来る,くる,to come,明日客が二人来る。,We will have two guests tomorrow.
思う,おもう,"to think, consider",まっすぐ家に帰ろうと思った。,I thought I'd go straight home.
行く,いく,"to go, move, proceed",学校へは歩いて行きます。,I walk to school.
見る,みる,"to see, look, watch, view, look over, observe",最近富士山を見ましたか。,Have you seen Mt. Fuji recently?
出来る,できる,"to be able to, be ready, be completed, be made",仕事が出来た。,The work is finished.
拠る,よる,"to be due to, be caused by, depend on, based on",聞くところによると彼は相当できる人らしい。,He's quite capable base from what I hear
仕舞う,しまう,"to finish, end, do completely, happen to do, close, keep, store, put away",夕食を食べてしまったところです。,I have just had my supper.
分かる,わかる,"to understand, comprehend, grasp, know",彼の言っていることは分からない。,I don't understand what he's saying.
持つ,もつ,"to hold, take, carry, possess, own, have",彼は本を手に持っている。,He has a book in his hand.
考える,かんがえる,"to consider, think, bear in mind",そんな発言をしたらどうなるか考えてみなさい。,Think of the consequences of such a remark!
遣る,やる,"to do, undertake, perform, send, give, stage, held",今宿題をやっている。,He is doing his homework now.
出る,でる,"to leave, exit, go out, come out",今度の急行は５番ホームから出る。,The next express will depart from platform number five.
就く,つく,"to take, assume, be hired, be employed, ascend, commence, set out, study under",彼はやっと職に就いた。,He finally got a job.
取る,とる,"to take, pick up, grab, pass, hand, give, get, obtain",客から注文を取る。,Take an order from a customer.
聞く,きく,"to hear, listen, ask, enquire, query",聞こうとすれば聞こえる。,"If you listen, you can hear it."
下さる,くださる,"to give, confer, bestow, to favor",私にプレゼントをくださった。,He gave me a present.
知る,しる,"to know, be aware, sense",どこで会があるか知ってますか。,Do you know where we are meeting?
呉れる,くれる,"to give, let one have",彼女は私にペンをくれた。,She gave me a pen.
入る,はいる,"to enter, go into, break into, join, enrol. contain",砂糖はたくさん入っていますか。,Is there much sugar in it?
置く,おく,"to put, place, leave behind, establish",本を元の棚に置いておきなさい。,Leave the book on its original shelf.
使う,つかう,"to use, make use",このなべはミルクを温めるのに使っている。,I use this saucepan for heating milk.
対する,たいする,"to face, be facing, directed toward, be in response to",学校と教会が道をはさんで対している。,The school and the church face each other across the street.
出す,だす,"to take out, get out, put out, submit, publish, send, serve food",駐車場から車を出す。,Drive a car out of a parking lot.
作る,つくる,"to make, produce, build, prepare food",この工場ではカメラを作っている。,Cameras are manufactured at this factory.
行う,おこなう,"to perform, do, conduct, carry out",研究を行う。,Conduct research.
知れる,しれる,"to become known, come to light, be known",うわさはうそだとすぐに知れた。,I quickly learned that the rumors were false.
書く,かく,"to write, compose",ここに住所と名前を書きなさい。,Write your name and address here.
付ける,つける,"to attach, join, add, append, affix, furnish",本には用語解説が付けてある。,A glossary is appended to the book.
貰う,もらう,"to receive, take, accept, get someone to do something",コーヒーを一杯もらえませんか。,Can I have a cup of coffee?
教える,おしえる,"to teach, instruct, tell, inform",高校で化学を教えている。,He teaches chemistry at high school.
掛ける,かける,"to hang up, let hang, raise, hoist, put on, cover, make a call, spend, pour",カレンダーを壁に掛ける。,Hang the calendar on the wall.
得る,える,"to get, earn, acquire, procure, gain, obtain, understand, be able to",彼はやっと両親の許可を得た。,He at last obtained his parents' permission.
見える,みえる,"to be seen, be in sight, be visible, to look, seem, appears",屋上から町がよく見える。,We have a good view of the town from the roof.
入れる,いれる,"to put in, let in, take in, insert, install, accept, include",旅行かばんに衣類を入れる。,Put clothing in a travel bag.
受ける,うける,"to receive, get, catch, be struck by, incur, undergo",彼は大学から奨学金を受けている。,He receives a scholarship from the university.
付く,つく,"to be attached, be connected with, adhere, stick",窓の下に大きな足跡が付いていた。,There were big footprints below the window.
違う,ちがう,"to differ, be different, be distinct, be incorrect",この２枚のドレスは型が違う。,These two dresses are different in style.
始める,はじめる,"to start, begin, initiate, start up",先生は授業を始めた。,The teacher began his lesson.
呼ぶ,よぶ,"to call, call out, invoke, summon, invite, name, brand",ウエーターを呼んで追加注文した。,I called the waiter and added to my order.
上げる,あげる,"to raise, elevate, launch, deep-fry, give",彼は帽子を上げて婦人にあいさつした。,He raised his hat to the lady.
過ぎる,すぎる,"to pass through, pass by, go beyond, elapse, expired, exceed, surpass",トンネルを過ぎて車は海岸に出た。,The car drove past the tunnel and onto the beach.
感じる,かんじる,"to feel, sense, experience",家が揺れるのを感じた。,I felt the house shake.
続ける,つづける,"to continue, keep up, keep on",地震の最中も彼は講義を続けた。,He proceeded with his lecture even during the earthquake.
食べる,たべる,to eat,気分が悪くて晩ごはんが食べられなかった。,I felt sick and couldn't eat dinner.
掛かる,かかる,"to take, hang, arrive, start, deal, handle, cover, fasten",壁に絵が掛かっている。,A picture hangs on the wall.
変わる,かわる,"to change, transform, alter, move to, be different, be uncommon",この物質は熱すると気体に変わる。,This substance turns into a gas when heated.
読む,よむ,to read,子供におとぎ話を読んでやる。,Read a fairy tale to a child.
買う,かう,to buy,ワインを買って来てください。,Please go get a bottle of wine.
生きる,いきる,"to live, exist, make a living",人間は何日間食べずに生きていられますか。,How many days can a person live without eating?
切る,きる,"to cut, sever",ガラスで指先を切る。,I cut my fingertips with a glass.
立つ,たつ,"to stand, rise, stand up",寺は山の中腹に立っている。,The temple stands on the side of a hill.
帰る,かえる,"to return, come home, go home, leave",もう帰ってもよろしい。,You may go home now.
話す,はなす,"to speak, talk, tell",万事後でお話しします。,I will tell you all about it later.
飲む,のむ,"to drink, gulp",お茶を飲みながら話し合った。,They talked over a cup of tea
示す,しめす,"to show, demonstrate, point out",身分証明書を示した。,He showed me his identification card.
関する,かんする,"to concern, be related",彼に関する限り問題はない。,"As far as he is concerned, there is no problem."
与える,あたえる,"to give, bestow, grant, provide","息子に月3,000円を与ている。","I give my son 3,000 yen a month."
頂く,いただく,"to receive, get, accept, take, eat, drink, have",小切手は昨日いただきました。,I received the check yesterday.
戻る,もどる,"to turn back, return, go back",もと来た道を戻らねばならなかった。,We had to go back the way we had come.
開く,ひらく,"to open, undo, unseal, unpack",本の38ページを開きなさい。,Open the book to page 38.
死ぬ,しぬ,"to die, pass away",交通事故で死ぬ。,Dies in a car accident.
従う,したがう,"to obey, abide, follow, conform",校則に従う。,Obey school regulations.
止める,やめる,"to stop, turn off, park, suppress",彼は足を止めて地図を見た。,He stopped and looked at the map.
願う,ねがう,"to desire, wish, hope, request",お願いしたいことがあります。,I have a favor to ask.
歩く,あるく,to walk,この調子で歩けば30分で着くだろう。,"If we keep walking at this rate, we'll be there in half an hour."
待つ,まつ,to wait,寝ずに夫の帰りを待った。,I didn't sleep and waited for my husband to come home.
求める,もとめる,"to want, wish for, request, require, seek",職を求めている。,I'm looking for a job.
認める,みとめる,"to recognise, notice, assess, deem, approve, admit",彼の偉業は世に認められた。,His great achievement was recognized by the public.
会う,あう,"to meet, encounter, see",3 時にお得意さんと会う約束がある。,I have an appointment to meet with a client at 3:00 p.m.
続く,つづく,"to continue, go on, last, leads to, adjoins",雨が５日も続いている。,It's been raining for five days.
向かう,むかう,"to face, go towards, heading",壁に向かって立つ。,Stand facing the wall.
生まれる,うまれる,to be born,私は1998年11月２日大阪で生まれた。,"I was born in Osaka, Japan on November 2, 1998."
見せる,みせる,"to show, display",運転免許証を見せてください。,Please show me your driver's license.
当たる,あたる,"to be hit, be in contact, be selected, gets",ボールが頭に当たった。,The ball hit me on the head.
終わる,おわる,"to end, come to an end, close",試験はすぐに終わる。,The test will be over soon.
乗る,のる,"to get on, get in, board, reach, take part",車に乗っていてください。,Please get into the car and wait.
残る,のこる,"to remain, be left",彼の顔には傷跡が残っている。,He still has a scar on his face.
述べる,のべる,"to state, express, say, tell, mention",上に述べたようにそれは不可能です。,"As I stated above, that is impossible."
御座る,ござる,to be,系図正しき薬で御座る。,It is genealogically correct medicine.
立てる,たてる,"to stand up, put up, set up, erect, make",看板を立てる。,Put up a sign.
答える,こたえる,"to answer, reply",今出掛けるところだと答えた。,He replied that he was going out right away.
働く,はたらく,"to work, labor, function, operate, to do, act",兄は工場で働いている。,My brother works in a factory.
送る,おくる,"to send, dispatch, transmit, see off, pass",我が社は世界各地に製品を送ります。,We ship our products all over the world.
始まる,はじまる,"to start, begin, commence",展覧会は来週月曜日に始まる。,The exhibition opens next Monday.
含む,ふくむ,"to contain, compromise, have, hold, include, bear in mind",この本には有益な情報が含まれている。,This book contains useful information
起こる,おこる,"to occur, happen",恐ろしい事故が起こった。,A terrible accident has occurred.
関わる,かかわる,"to be affected, be influenced, be concerned with",そのことには何も関わっていません。,I had nothing to do with that.
忘れる,わすれる,to forget,彼女の住所を忘れた。,I forgot her address.
済む,すむ,"to finish, end, be completed",夕飯はもうお済みですか。,Have you already eaten dinner?
笑う,わらう,"to laugh, smile",その冗談を聞いてどっと笑った。,I laughed out loud at that joke.
為さる,なさる,to do,楽になさってください。,Please make yourself comfortable.
変える,かえる,"to change, alter, transform, convert",チャンネル変えてもいい？,Is it ok if I change the channel?
引く,ひく,"to pull. tag, lead, draw, attract",カーテンを引いてもいいですか。,May I draw the curtains?
売る,うる,to sell,あの店では果物を安く売っている。,That store sells fruit at a discount.
進む,すすむ,"to advance, go forward, precede, make progress",我々は林の中を数キロ進んだ。,We continued through the woods for several kilometers.
渡る,わたる,"to cross over, go across, extend, cover, span",彼は道を渡った。,He crossed the street.
選ぶ,えらぶ,"to choose, select",彼はよいものを選んだ。,He picked a good one.
走る,はしる,to run,子供たちが走って来た。,The children came running.
現われる,あらわれる,"to appear, come in sight, come out, become apparent",彼は結局現われなかった。,He didn't turn up after all.
住む,すむ,"to live, reside, inhabit, dwell",彼はここに住んでいるのですか。,Does he live here?
伝える,つたえる,"to convey, report, transmit, tell, impart",彼に伝言を伝えてほしい。,I'd like you to give him a message.
動く,うごく,"to move, stir, shift, operate, run, vary",車が雪にはまって動かなくなった。,My car got stuck in the snow.
決める,きめる,"to decide, choose, determine, settle",彼らは最終の計画を決めた。,They settled on a final plan.
勧める,すすめる,"to recommend, advice, urge, offer",教授は私に留学を勧めてくれた。,My professor encouraged me to study abroad.
気付く,きづく,"to notice, recognise, perceive, realize",彼女は近づく危険に気付いていた。,She was aware of the approaching danger.
描く,えがく,"to draw, paint, sketch, depict, imagine",風景を描く。,Paint a landscape.
覚える,おぼえる,"to memorize, remember",英語の単語を覚える。,Memorize English words
打つ,うつ,"to hit, strike, knock, beat, pound",車の屋根を激しく打つ雨。,Rain hitting the roof of the car hard
成す,なす,"to build, establish, form, accomplish, do",彼らの活動がこの会社の中核を成している。,Their activities form the core of this company.
開ける,あける,"to open, unwrap, clear out, make room",箱のふたを開ける。,Open the lid of a box.
向ける,むける,"to turn towards, point",新しい事態に皆の注意を向けた。,I turned everyone's attention to a new situation.
殺す,ころす,"to kill, slay, slaughter, suppress",老婆は金をねらわれて殺された。,The old woman was killed for her money.
語る,かたる,"to talk about, speak of, tell, narrate, indicate",彼は真相を語った。,He told the truth.
信ずる,しんずる,"to believe, place trust in, confide in, have faith in",信ずる理由がない。,I have no reason to believe it.
合わせる,あわせる,"to match, join together, unite, combine, add up, mix, face, compare",声を合わせて歌った。,We sang in unison.
用いる,もちいる,"to use, make use, utilize, utilise",その機械は広く用いられている。,Its machines are widely used
連れる,つれる,"to take someone, bring along, go with, accompanied by",彼は娘を連れて出掛けた。,He went out with his daughter.
異なる,ことなる,"to differ, vary, disagree",私は彼とは意見が異なる。,I don't share his views.
離れる,はなれる,"to be separated, be apart, de stint, leave, go away, quit, give up, drift away",ガソリンスタンドはここから遠く離れている。,Gas station is far from here.
残す,のこす,"to leave behind, leave undone, save, set aside, reserve, hold on",あなたにこの包みを置いて行きました。,He left this package for you.
探す,さがす,"to search, look for, hunt for, seek",彼は貸し家を探している。,He is looking for a house to rent.
至る,いたる,"to arrive at, reach a stage, attain, lead to a place, get to. result in",この道は秋葉原を経て銀座に至る。,This road leads to Ginza via Akihabara
経つ,たつ,"to pass, elapse",時が経つにつれて痛みは消えた。,The pain disappeared as time went by.
似る,にる,"to resemble, look like, be like, be alike, be similar, take after",あの娘は母親によく似ている。,That girl looks a lot like her mother.
守る,まもる,"to protect, guard, defend, keep, abide, observes obey, follow",危害から身を守る。,Protect yourself from harm.
困る,こまる,"to be troubled, have difficulty, be in a fix, be at loss, be bothered",日照り続きで困っていた。,They were in trouble because of the long dry spell.
加える,くわえる,"to add, add up, sum up, append, annex, increase, include, count in, inflict",子供を加えて一行は50名であった。,"The group was fifty people, including children."
調べる,しらべる,"to examine, look up, investigate, check up, sense, study, inquire, search",事故の原因を徹底的に調べる。,Thoroughly investigate the cause of the accident.
生ずる,しょうずる,"to produce, yield, cause, result from, arise, be generated",これらも放射を生ずる可能性があります。,These may also produce radiation.
驚く,おどろく,"to be surprised, be astonished",彼女の忍耐強さには驚いた。,I was amazed at how patient she was.
失う,うしなう,"to lose, miss, concede",私たちは霧のため方向を失った。,We lost our bearings because of the fog.
合う,あう,"to come together, merge, unite, meet, fit, match, suit, do to each other",この服は私に合わない。,These clothes don't fit me.
無くなる,なくなる,"to be lost, be missing, be used up, run out, consumed, disappear",金庫の宝石が無くなっている。,Jewelry missing from safe.
増える,ふえる,"to increase, multiply",豪雨で川の水かさが増えた。,Torrential rains have increased the river's water level.
上がる,あがる,"to rise, go up, come up, ascend, raise, increase, get out, improve, enter, come in",火山から煙が上がっているのが見えた。,I could see smoke rising from the volcano.
起きる,おきる,"to get up, rise, blaze up, wake up. be awake, occur, happen",目を覚ましたときには皆もう起きていた。,"By the time I woke up, everyone was already awake."
座る,すわる,"to sit, squat. assume a position, hold still",晴れた日は木陰に座る。,"On sunny days, sit in the shade of a tree."
聞こえる,きこえる,"to be heard, be audible,  sound like, be well known",この場合は非常に明瞭な音が聞こえる。,"In this case, very clear sound is heard."
思い出す,おもいだす,"to recall, remember, recollect",彼の腕のぬくもりを思い出す。,I remember the warmth of his arms.
許す,ゆるす,"to permit, allow, approve, consent to, forgive, pardon, exempt, remit, let off, acknowledge, admit, trust",あなたが許すならもっとよく知りたい。,I would like to get to know you better if you allow me to.
落ちる,おちる,"to fall down, drop, sink, be omitted, be missing, decrease, fail, lose, degenerate, ruined, fade",彼は試験に落ちるだろうか。,Will he probably fall to test?
繰り返す,くりかえす,"to repeat, do something over again",同じあやまちを２度繰り返すな。,Don't make the same mistake twice.
回る,まわる,"to turn, revolve, visit several places, function well, pass a certain time, go via, earn interest",地球は地軸を中心にして24時間に１回まわる。,The earth rotates once every 24 hours around its axis.
起こす,おこす,"to raise, raise up, set up, pick up, wake up, cause, bring about, lead to, generate, produce, start, launch",明朝７時に起こしてください。,Wake me tomorrow morning at 7:00.
通ずる,つうずる,"to be open, lead to, communicate with, flow, pass, get through, be understood, be good, be honored",英語で話を通じさせる事ができますか。,Can you make yourself understood in English?
決まる,きまる,"to be decided, settled, fixed, arranged",会場は沖縄と決まった。,The venue was decided to be Okinawa.
寝る,ねる,"to sleep, go to bed, lie in bed, lie down",夜はたいていの人が寝る時である。,Night is when most people go to bed.
比べる,くらべる,"to compare, make comparison, vie",以前と比べるとよくなった。,It is better than before.
限る,かぎる,"to restrict, limit, confine, be limited to, be best for",我々の予算は10万円以内に限られている。,Our budget is limited to a hundred thousand yen.
振る,ふる,"to wave, shake, swing, sprinkle, throw, cast, allocate, extract",よく振ってからお飲みください。,Shake well before drinking.
表す,あらわす,"to re present, signify, stand for, reveal. show, display, express",彼女の態度は不満を表している。,Her attitude shows her dissatisfaction.
通す,とおす,"to stick through, force through, go through, let pass, through",山を通してトンネルを通した。,They drove a tunnel through the hill.
