Sayachi.Sentences,Sayachi.Translation,Kakochin.Sentences,Kakochin.Translation,Ikechan.Sentences,Ikechan.Translation
素晴らしいですね,It's wonderful.,ミスコンお祝いということで,It's a celebration of Miss Congeniality,今日は一緒に温泉に入っています,Today we are in the spa together!
テレビ版もすごくいいですし,And the TV version is really good.,京都旅行に行ってきます,We`re going on a trip to Kyoto!,イエーイ,Yay!
どちらも最高なんですけど,Both are the best.,京都初めて?,First time in Kyoto?,まさかね、一緒にお風呂に入る仲になるなんて,I never thought we'd end up in the bath together
なんでしょうかねアニメ色が一層濃い気がしませんか,I don't know...don't you think it's more animated?,いや、なんか年に4回くらい行ってます,"No, I go there about four times a year",そうだよ,Yes、that’s right
ね？耳の保養だわと、わかります,"It's a treat for the ears, I can tell.",めちゃ京都に行ってる,You've been to Kyoto a lot,思わなかったよね,I wouldn't have thought it
耳がもう嬉しいですよね？,"Your ears are happy already, aren't they?",かこちんは地元が広島だからね,Kako-chin's hometown is Hiroshima,裸の付き合いですね,"hanging out naked (e.g. at a public bath)​, isn’t it?"
冒険に出かけたくなりませんか,Wouldn't you like to go on an adventure?,京都全然行ったことない,I've never been to Kyoto at all,裸じゃないけどね,"Not naked, though"
航海したくなりますね,It makes me want to sail.,そうなんですか,Oh really?,水着の付き合い,hanging out in swimsuit
一味になって,Become a part of the pirate,1回しか行ったことがないかも,Maybe I've only been there once,ここあれだよね,"This is it, isn't it?"
私子供の頃も見ていたんですけれども,I used to watch it when I was a kid.,京都めちゃいいとこなんですよ,Kyoto is a very nice place!,混浴しかないんだよね,There's only mixed bathing
大体やっぱり私の世代だと通る道じゃないですか？,"I think that's the way it is in my generation, isn't it?",今日はかこちんに案内任せましょ,Let Kakocin guide us today!,確かね,Certainly
結構子供の頃旅行に行ってた時があって,I used to travel quite a bit when I was a kid.,今日の意気込みを教えてください,What is your enthusiasm for today?,うん,Yes
茨城以外でもやっぱり全国でね,"Not just in Ibaraki, but all over the country.",牛ダン,"beef tongue, ox tongue",そう、混浴の露天風呂,"Yes, a mixed open-air bath!"
やっぱみなさん子供たち好きで,I knew you all liked children.,見てください,Look at this,で、なんかあの,"So, something like that"
アニメ好きなんですよね,I know you like cartoons.,こちらの牛ダンちゃん、なんと全部で１キロあります,This beef tongue weighs a kilo in total!,水着ダサイのすごい気になるかもしれないんですけど,You might be curious about my out of fashion swimsuit
やっぱり好きな方多いじゃないですか,"Many people like it, don't they?",今日は全部食べられるかな？,Can I eat all of them today?,ダサイ,"uncool, unsophisticated, unfashionable, out of fashion
"
温泉行った時にみんなワンピースの話してるんですよ,"When we go to the hot springs, everyone is talking about One Piece.",牛ダン１kg食べ放題,Eat all you can of 1kg of beef tongue,あの、これ借りたんですよ,"Um, I borrowed this one"
温泉であの…共通の話題になっていて,At the hot spring...It's a common topic of conversation.,やっていきたいと思います,I'd like to do it,そう、急遽入ることにしたから,"Yes, because we decided to go in at short notice"
しかも丁度確か日曜日だったと思うんですよね,"And it was just Sunday, I think.",じゃあまずは、キッチンに移動して,"Okay, first things first, let's move into the kitchen",島の水着,Island swimwear
