Words,Reading,Meaning,S1,T1
ふりをする,ふりをする,"to act as, to pretend like",日本語が分からないふりをしました。,I pretended not to understand Japanese.
落ち込む,おちこむ,to feel down,彼女は自身の抱えている問題で落ち込んでいた。,She was depressed by her own problems.
別れる,わかれる,"to be divided, to break up, to separate",両親と別れて暮らしている。,She lives separated from her parents.
困る,こまる,"to be troubled, to be worried, to be bothered",海外旅行で困ったことはありますか。,Have you ever had any problems when traveling abroad?
出てくる,でてくる,"to come out, to appear, to turn up, to emerge",彼は会議室から最後に出てきた。,He was the last one out of the conference room.
汗をかく,あせをかく,"to perspire, to sweat",私はテニスをする時、汗をかきます。,I sweat when I play tennis.
汗が出る,あせがでる,to sweat,天気が暑い時、汗が出ます。,"When the weather is hot, you sweat."
起きる,おきる,"to get up, to wake up, to occur, to happen, to arise",何か面白いこと起きないかなあ。,I wonder if anything interesting will happen.
注意する,ちゅういする,"to caution, to warn, be careful",水をこぼさないよう注意しなさい。,Be careful not to spill the water.
降る,ふる,"to fall, to precipitate",雨は激しく降った。,Rain fell heavily.
