Expression,Meaning
林縁の活動を停止する,Stop forest edge activity
この料理にも合う万能ワイン,Versatile wine that goes well with this dish
特定の位置に表示の中心を合わせる,Center the display on a specific location
締め付け具合によって音質の調節が可能である,Sound quality can be adjusted according to the degree of tightness
職階に関連する追加または補足の所得,Additional or supplemental income related to job classifications
経済封鎖を軽減することになっていると言われています,It's supposedly supposed to lessen the economic blockade
焦燥や試練に直面する時に,When facing frustrations and trials
友達とお盆祭りへ相乗りで行きます,Carpooling with friends to the Obon Festival
合格と同化によってそれに組み込まれている,Built into it by passage and assimilation
この冷凍アスパラガスは何分ゆでましょうか,How long should I boil this frozen asparagus
実質の御馳走は他を助けたことの知識にである,The real treat is in the knowledge that you have helped others
家政婦として様々な家庭で働いている,I work as a housekeeper for various families
辛口のお酒に合うのはやはり和食,Japanese food goes well with dry sake
特別行政区域を作って運営する,Create and operate a special administrative district
それは多くの企業にとって重要な実践分野です,It is an important area of practice for many companies
特に東西航路は良かったです,I especially liked the East-West route
女性の方が男性より表情豊かです,Women are more expressive than men
客室内とアパートメント内は禁煙です,Smoking is not permitted in the rooms and apartments
それは政治的に複雑な状況です,It's a politically complex situation
この小包をすぐ送ってもらいたい,I need this parcel sent to me immediately
何とも懐かしい雰囲気のする曲です,This song has a nostalgic feel to it
そのような重要な役割を担っていると痛感しています,I am keenly aware that I play such an important role
遠い灯台のかすかな光を見た,I saw the faint light of a distant lighthouse
シティーの中心からあらゆる方面へ交通網が延びています,The transportation network extends in all directions from the center of the city
すごく複雑でどんな仕組みなのか見当も付かない,It's very complicated and I have no idea how it works.
まさか焼きもちだなんて言わないでよ,Don't tell me you're jealous
休戦協定は捕虜に関する規定も設けた,The armistice also made provisions for prisoners of war
既存のシステムは老化の初期症状を示し始めていました,Existing systems were beginning to show early signs of aging
この川は雪解けの後氾濫することがある,This river can flood after the snow melts
まずは率直な感想を聞かせてください,"First of all, please give us your frank impression"
食べる際は若干の塩または砂糖をまぶす,Sprinkle with some salt or sugar when eating
資源別予定稼働状況の詳細な内訳は,For a detailed breakdown of planned utilization by resource
封筒の印刷に使用する向きを表します,Indicates the orientation used for printing envelopes
根は漢方薬に用いられます,The root is used in Chinese herbal medicine
生まれたての子猫の世話は非常に難しい,Caring for newborn kittens is extremely difficult
雨の日に現れることが多い,Often appears on rainy days
軍縮は必ずや平和に寄与する,Disarmament will surely contribute to peace
女性の待遇についても民族による違いがあった,There were also ethnic differences in the treatment of women
小さな境内の片隅に石像が並んでいた,Stone statues lined one corner of the small precinct
定規を使うと直径が測定できます,A ruler can be used to measure the diameter
所定の報告書を提出する,Submit the prescribed report
警官は懐中電灯で車に止まれと合図をした,The officer signaled the car to stop with his flashlight
