Expression,Translation
おまえのせいで,Because of you.
電車が遅れたせいだ,It's because the train was late.
部屋が暑いせいか,Maybe it's because the room is hot.
雨が降り続いたせいで,Because of the constant rain.
友達のおかげだ ,I owe it to my friends. 
 応援してくれたおかげで,Thanks for all the support.
よくわからなかったもので,I didn't really understand it.
苦手なものだから,It's something I'm not good at.
頑張ったもん,I did my best.
病気のため,Due to illness.
雨のためだ ,It's because of the rain. 
忙しいために,Due to busyness.
調子が悪いため,Due to being out of shape.
体調が悪いため,Due to poor health.
話せるようになるために,To be able to speak.
子どもじゃないんだから,You're not a child.
疲れているのですから,You're tired of it.
歩くのだから,Because we walk.
免許を持っているんだから,You have a license.
眠れていないのですから,I haven't been sleeping.
趣味をきっかけに,Hobbies as a starting point.
留学したことがきっかけで ,Studying abroad was a great opportunity.
 友達ができたのがきっかけで,It was a chance to make friends.
映画がきっかけで,The movie was the catalyst.
交通事故によって,Due to a traffic accident.
地震によって,Because of the earthquake.
値上げにより,Due to price increases.
きれいなわけだ ,No wonder it's beautiful. 
人気があるわけだ ,No wonder they're so popular. 
忙しいわけだ,No wonder you're busy.
壊れたまま ,Still Broken.
 昨日のまま,Same as of yesterday.
自然なまま,In its natural state.
そのまま,As it is.
思いつつ,While thinking.
理解しつつ,With current understanding.
我慢しつつ,While being patient.
話せば話すほど ,The more you talk about it. 
早ければ早いほど,"The sooner, the better."
有名であればあるほど,"The more famous you are, the better."
変化するとともに ,Along with the change. 
時代とともに,With the times.
社長であるとともに,In addition to being the president.
減少しつつある,Which is declining.
広まりつつある,It's spreading.
消えつつある,In the process of disappearing.
