Rank,Verbs,Reading,Type,Meaning,S1,T1,S2,T2,S3,T3,Words
1016,超える,こえる,trans.,"to cross over, cross, pass through, go beyond, exceed, surpass",彼は太平洋を越えてアメリカへ渡った。,He crossed the Pacific to America.,今日の気温は 35 度を超えるでしょう。,Temperatures today will exceed 35 degrees.,結果は予想を大きく超えるものだった。,The results far exceeded our expectations.,
1044,並ぶ,ならぶ,intrans.,"to line up, stand in line, rival, match",狭い道を横に並んで歩いてはいけない。,Do not walk side by side on narrow streets,子供たちは背の低い順に並んだ。,Children lined up in order of shortest to tallest.,何のために並んでいるのですか。,What's this line for?,
1046,定める,さだめる,trans.,"to decide, determine, establish, prescribe, provide",今月の売上目標を５千箱と定めた。,"The sales target for this month was set at 5,000 boxes.",出発の日を明日と定めた。,The day of departure is set for tomorrow.,期間を定めて申し込みを受け付ける。,Set a period of time for accepting applications.,
1047,学ぶ,まなぶ,godan,"to lear, study, take lesson in",自分を押さえることを学ぶ。,Learn to control oneself.,しきたりを古老に学ぶ。,Learn the customs from the elders,彼女は大学で日本の古典芸能を学んだ。,She studied classical Japanese performing arts in college.,
1074,頷く,うなずく,intrans.,"to nod, bow, agree",精神科医は頷きながらこう言った。,The psychiatrist nodded and said.,係員が頷いたので彼女は小切手を書きそれを手渡した。,The attendant nodded and she wrote a check and handed it over.,彼の説明には頷けないところがある。,There's something about his explanation that I can't nod my head at.,
1079,通る,とおる,intrans.,"to go by, go past, go along, pass through, go via, go between, go through",駅とお寺の間にバスが通っている。,Buses run between the station and the temple.,我々は横町を通った。,We went through a side street.,日本では車は左側を通る。,"In Japan, cars drive on the left side of the road.",
1083,運ぶ,はこぶ,trans.intrans.,"to carry, transport, convey, to go well",次の駅へ乗客を運ぶ。,Carry passengers to the next station.,けが人を急いで病院に運んだ。,The injured were rushed to the hospital.,万事滞りなく運んでいる。,Everything is running smoothly.,
1087,伴う,ともなう,trans.intrans.,"to accompany, bring with, take with, be involved in",権利には責任が伴う。,Rights and responsibilities go hand in hand.,雨はひどい風を伴った。,The rain was accompanied by a terrible wind.,登山は多くの危険を伴う。,Climbing a mountain involves many dangers.,
1088,広がる,ひろがる,intrans.,"to spread put, stretch, reach get around, fill",火事は隣町に広がった。,The fire spread to neighboring towns.,見渡す限り花畑が広がっていた。,There were fields of flowers as far as the eye could see.,そこで道幅が急に広がっている。,That's where the road widens abruptly.,
1093,付き合う,つきあう,intrans.,"to associate with, keep company with, go out with, go steady",初めての人たちと付き合うのが苦手だ。,I find it difficult to mix with strangers.,お義理で彼に酒を付き合った。,I accompanied him for drinks in kind.,妹の買い物に付き合った。,I went shopping with my sister.,
1095,泣く,なく,godan,"to cry, weep, sob",お金を落として泣きたくなった。, felt like crying when I discovered I had lost the money.,子供は医者の前で泣きわめいた。,The child cried in front of the doctor.,今泣きたい気分です。,I feel like crying now.,
1097,進める,すすめる,trans.,"to advance, move forward, proceed",この仕事をどんどん進めなさい。,Keep moving forward with this work.,車をこの線まで進めて下さい。,Please advance the car to this line.,新工法は工事を進めるのに役立った。,New construction methods helped move construction forward.,
1106,繋がる,つながる,intrans.,"to be tied together, be connected, be linked, lead to, related to",この村は鉄道で町につながっている。,This village is connected to the town by a railroad.,写真に関わるあらゆる人々と繋がることが出来る機会です。,This is an opportunity to connect with all kinds of people involved in photography.,このパソコンはネットつながってますか？,Is this computer connected to the Internet?,
1115,挙げる,あげる,trans.,"to raise, elevate",賛成の人は手を挙げてください。,"Those in favor, raise your hands.",彼を会長候補に挙げることが決まった。,It was decided to nominate him for president.,国会議員の名前を挙げた。,He mentioned the name of a congressman.,
1116,捉える,とらえる,trans.,"to catch, capture, seize, arrest, grab, grasp, perceive",夜を捉える写真で新しいことを試すのが好きです。,I love trying new things with photos that capture the night.,ビジネスチャンスを確実に捉える。,Seize business opportunities with certainty,想像力を捉える新鮮でおもしろい作品を見ていると思う。,I think we are looking at a fresh and interesting work that captures the imagination.,
1119,見詰める,みつめる,trans.,"to stare at, gaze at, look hard, watch intently",あなたを見つめている男性は知り合いですか。,Do you know the man staring at you?,彼はびっくりして彼女を見つめた。,He stared at her in amazement.,私は彼女のすべてを忘れて見詰めるだろう。,I would stare at her forgetting everything.,
1125,喜ぶ,よろこぶ,godan,"to be delighted, be glad, be pleased",彼は成功を大変喜んでいる。,He is very pleased with his success.,ご回復と伺って一同大いに喜びました。,We are all very happy to hear that you are recovering.,彼を喜ばせるのは難しい。,It's hard to please him.,
1128,避ける,さける,trans.,"to avoid, ward off, avert, put aside, move out of the way",彼らが会うことは避けられなかった。,Their meeting was inevitable.,僕の質問を避けてはいけない。,Don't avoid my questions.,両者の意見の衝突は避けられない。,Conflicts of opinion between the two sides are inevitable.,
1149,応ずる,おうずる,ichidan,"to answer, respond, meet, satisfy",我々は彼らの要求に応じなければならなかった。,We had to comply with their demands.,彼は収入に応じた生活をしている。,He lives on his income.,彼女は僕の要求に応じた。,She complied with my request.,
1154,届く,とどく,intrans.,"to reach, touch, get to, carry, be delivered, arrive",彼女が出掛けた後で伝言が届いた。,Message arrived after she left.,彼女の声は遠くまで届く。,Her voice reaches far.,これは子供の手が届かない場所に置いてください。,This should be kept out of reach of children.,
1154,近付く,ちかづく,intrans.,"to approach, draw near, get close, get acquainted",試験が近づいている。,The examination is approaching.,夏は終わりに近づいている。,Summer is coming to an end.,建築が完成に近付いた。,The building is near completion.,
1163,集まる,あつまる,intrans.,"to gather, collect, assemble",私たちの周りに人が集まった。,People gathered around us.,大勢の人が広場に集まった。,A large crowd gathered in the plaza.,募金は全部で20万円集まった。,"All donations raised totaled 200,000 yen.",
1166,いらっしゃる,いらっしゃる,godan,"to come, go. be doing",明日いらっしゃることは可能でしょうか。,Is it possible for you to come tomorrow?,ここにはよくいらっしゃるんですか？,Do you come here often?,あなたがいらっしゃるので私たちはうれしい。,We are happy because you are here.,
1185,出掛ける,でかける,intrans.,"to go out, leave, depart, set out",今出かけるのは無理だ。,It's impossible to go out now.,今日は出かけたい気分だ。,I feel like going out today.,出張で九州に出掛けている。,I'm out in Kyushu on a business trip.,
1188,眺める,ながめる,trans.,"to look at, gaze at, stare at, get a view, admire, watch, observe",子供たちが庭で遊んでいるのを眺めた。,I watched the kids playing in the yard.,この窓から海が眺められる。,You can see the ocean from this window.,この部屋からすばらしい夜景を眺めることができる。,This room offers a wonderful night view.,
1198,張る,はる,trans.,"to stick, paste, affix, stretch, spread, put up",ここにテントを張ろう。,Let's pitch our tent here.,会場の周りに幕を張った。,A curtain was put up around the venue.,大阪に店を張っている。,He has a store in Osaka.,
1201,含める,ふくめる,trans.,"to include, instruct, put in",彼らの名をリストに含めた。,Their names were included in the list.,私は税金を含めて月40万円の収入がある。,"I have an income of $400,000 per month including taxes.",グラフに含めるオブジェクトのグループを選択できる。,A group of objects can be selected to be included in the graph.,
1208,目指す,めざす,trans.,"to aim at, try for, have an eye on, go toward, head for",ゴールを目指して走った。,I ran for the finish line.,彼は一等賞を目指している。,He is going for the first prize.,彼が目指すのは社長の座だ。,His goal is to become president.,
1219,愛する,あいする,trans.,to love,彼女は夫を深く愛している。,She loves her husband deeply.,彼女は子供達を愛している。,She loves her children.,一目見た時から彼を愛するようになった。,I fell in love with him from the first glance.,
1222,隠す,かくす,trans.,"to hide, conceal",彼は事実を隠すつもりらしかった。,He seemed to be trying to hide the fact.,彼は私達に何か隠していると思った。,I thought he was hiding something from us.,大事な物を屋根裏部屋に隠した。,I hid something important in the attic.,
1224,集める,あつめる,trans.,"to collect, assemble, gather",起訴に十分な証拠を集めた。,Sufficient evidence was gathered for prosecution.,候補は都民の過半数の支持を集めた。,The candidate attracted the support of a majority of Tokyo residents.,この仕事には全神経を集めて取り組んでほしい。,I want you to gather all your attention to this job.,
1224,食う,くう,trans.,"to eat​, live, make a living, bite, sting, consume",彼は一人で朝食を食った。,He ate breakfast alone.,この仕事は手間ひまを食う。,This job takes a lot of time and effort.,脚を蚊に食われた。,I got bit by a mosquito on the leg.,
1231,飛ぶ,とぶ,intrans.,"to fly, soar, jump, leap",風船が屋根の上を飛んでいる。,Balloons are flying over the roof.,私の方へボールが飛んで来た。,The ball flew toward me.,今皆様方はアルプスの上を飛んでいるところです。,You are now flying over the Alps.,
1252,齎す,もたらす,trans.,"to bring, take, bring about​",嵐は作物に大きな被害をもたらした。,The storm caused significant damage to crops.,僕の努力は何の成果ももたらさなかった。,My efforts brought no results.,その台風はその地方に多くの雨をもたらした。,That typhoon brought a lot of rain to that region.,
1253,叫ぶ,さけぶ,intrans.,"to shout, cry, scream, clamour",窓の外で誰かが叫ぶのが聞こえた。,I heard someone yelling outside the window.,そんなに叫ばなくても聞こえます。,You don't have to shout so much to be heard.,彼女の母親は叫び出した。,Her mother started screaming.,
1256,逃げる,にげる,intrans.,"to run away, flee, get away, escape, avoid",誰かが逃げるのを見ましたか。,Did you see anyone running away?,その小さな犬は逃げようとしました。,The little dog tried to run away.,泥棒は大慌てで逃げた。,The thief fled in a panic.,
1258,抜く,ぬく,trans.,"to pull out, draw out, extract, unplug, omit, leave out, do to the end, let out",彼はよく食事を抜いていた。,He often skipped meals.,歯を抜いてもらったんだ。,I had my teeth pulled.,固まった金属を鋳型から抜く。,The hardened metal is pulled out of the mold.,
1267,落とす,おとす,trans.,"to drop, lose, let fall cast, pour in, clean off, omit",あなたは自分のハンカチを落としました。,You dropped your handkerchief.,木立が地上に影を落としていた。,A grove of trees cast shadows on the ground.,卵を割って鍋に落とす。,Crack the eggs and drop them into the pan.,
1278,暮らす,くらす,intrans.,"to live, get along, spend time",彼の親はスイスで暮らしている。,His parents live in Switzerland.,夏休みは本を読んで暮らした。,He spent his summer vacation reading books.,牧畜で安楽に暮らしている。,They live comfortably on pasture.,
1282,降りる,おりる,intrans.,"to descend, go down, come down, alight, get off, step down, retire, form (frost, dew, mist)",彼女は次の駅で降りた。,She got off at the next stop.,降りる方が済むまでお待ちください。,Please wait until the person getting off is finished.,この辺では 11 月の初めに霜が降りる。,Around here we get frost in early November.,
1285,果たす,はたす,trans.,"to accomplish, achieve, carry out, fulfil, realize, execute, do completely",目的は果たせたんですか。,Did you accomplish your goals?,教育において試験が大きな役割を果たしている。,Examinations play a major role in education.,私は一つ果たすべき約束がある。,I have one promise to fulfill.,
1291,記す,しるす,trans.,"to write down, note down, jot down, mention, describe, inscribe, mark",記録にはその出来事は記されていない。,The records do not mention the incident.,木の幹に山小屋への方向が記されていた。,Directions to the lodge were marked on a tree trunk.,ここに姓名を記しなさい。,Write your first and last name here.,
1292,生む,うむ,trans.,"to give birth, bear a child lay eggs, produce, yield",彼女はいつ赤ちゃんを産むのだろうか。,When will she have her baby?,この鶏はもう卵を産まなくなった。,This hen no longer lays eggs.,この投資は９パーセントの利子を生む見込みだ。,The investment is expected to generate 9 percent interest.,
1294,問う,とう,trans.,"to ask, inquire, blame, accuse, pursue, care about",彼にもう一杯いかがかと問う。,I ask him if he would like another drink.,事故の責任を問われて社長は辞職した。,The president resigned after being held responsible for the accident.,総理の指導力が問われている。,The leadership of the prime minister is being questioned.,
1308,止まる,とまる,intrans.,"to stop moving, come to a stop, stop, cease, alight, perch",彼女はバスが止まるように手を上げた。,She raised her hand to make the bus stop.,車のエンジンが止まった。,The car engine stopped.,工事のために正午から水道とガスが止まる。,Water and gas will be shut off at noon for construction.,
1309,掴む,つかむ,trans.,"to seize, catch, grasp, grip, grab, hold, understand",彼女は私の腕をしっかりつかんだ。,She grabbed my arm firmly., 彼はそれをつかんでぎゅっと握りしめた。,He seized it and held it tightly.,彼女はその難しい役柄をしっかりつかんでいる。,She has a firm grasp on that difficult role.,
1310,返す,かえす,trans.,"to return something, restore, put back, turn over, pay back",それを明日返して下さい。,Please return that tomorrow.,済んだら辞書をもとの棚に返してください。,"When you are finished, return the dictionary to its original shelf.",帰るとき忘れずに名札をこの箱に返してください。,Please remember to return your nametag to this box when you leave.,
1312,過ごす,すごす,trans.,"to pass, spend, over do, do too much",彼の家で楽しい時を過ごした。,We had a great time at his house.,軽井沢で１か月を過ごした。,軽井沢で１か月を過ごした。,その後いかがお過ごしですか。,How are you doing since then?,
1314,追う,おう,trans.,"to chase, run after, pursue, follow after",私は全速力で彼の後を追った。,I followed him at full speed.,ダム建設のために私たちは父祖の地を追われた。,We were forced to leave the land of our fathers to build a dam.,監視カメラが彼らの行動を最初からずっと追っていた。,Surveillance cameras followed their every move from the beginning.,
1321,扱う,あつかう,trans.,"to deal with, treat, handle, take care of, manage, operate",この問題をどのように扱えばよいのでしょうか。,How should this issue be handled?,壊れ物は丁寧に扱ってくれ。,Handle breakables with care.,彼女はお客を扱うのが上手だ。,She is very good at handling customers.,
1327,眠る,ねむる,intrans.,to sleep​,夜よく眠れないのですか。,Don't you sleep well at night?,昨夜は眠れなかった。,I couldn't sleep last night.,お茶を飲むと眠れなくなるよ。,You won't be able to sleep if you drink tea.,
1329,及ぶ,およぶ,intrans.,"to reach, amount to, befall, happen to, extend, come up to",費用は１億円に及んだ。,The expenses reached one hundred million yen.,その影響は全国に及んだ。,Its impact was felt throughout the country.,いざ試験を受けるという時に及んで彼は病に倒れた。,"Just as he was about to take the exam, he fell ill.",
1343,怒る,おこる,trans.intrans.,"to get angry, get mad, tell someone off, scold",そのことで私に怒っているのか。,Are you angry with me for that?,彼は妻のことを怒っていた。,He was angry with his wife.,あの子はよく先生に怒られる。,The boy is often scolded by his teacher.,
1351,要する,ようする,trans.,"to need, demand, take, require",この機械は修理を要する。,This machine needs repair.,この仕事を終えるにはまる２日を要する。,It takes two full days to complete this work.,この機械の操作には注意を要する。,Care must be taken in operating this machine.,
1353,結ぶ,むすぶ,trans.,"to tie, bind, link, to bear fruit, close a deal, conclude, connect ",この道路は二つの市を結んでいる。,This road connects two cities.,この道路は東京と大阪を結ぶ。,This road connects Tokyo and Osaka.,彼らは愛情によって結ばれた。,They were united by love.,
1377,図る,はかる,trans.,"to plan, attempt, devise, plot, conspire, aim for",市場の拡大を図っている。,We are trying to expand the market.,彼は再挙を図った。,He tried to recount.,事件の早期解決を図る。,Ensure early resolution of cases.,
1388,歌う,うたう,trans.intrans.,to sing,皆の前で歌うのは全く別物です。,Singing in front of everyone is a completely different thing.,歌を歌って赤ん坊を寝かしつける。,Sing a song to put the baby to sleep.,彼は彼女の美しさを詩に歌った。,He sang of her beauty in poetry.,
1391,乗せる,のせる,trans.,"to place on something, give someone a ride, load, carry, send out ",駅まで乗せて行ってもらえる？,Can you give me a ride to the station?,自分の投球をリズムに乗せる。,Get your own pitching into a rhythm.,彼の車に乗せてもらった。,He gave me a ride in his car.,
1399,申す,もうす,trans.,"to say, be called​, do",鈴木と申します。,My name is Suzuki.,患者が確かに直るとは私は申しません。,I cannot say for certain that the patient will recover.,私は決してうそは申しません。,I never say what is not true.,
1404,支える,ささえる,trans.,"to support, prop, sustain, underlay, hold up, hold at bay",今の俺を支えるものは希望だけ。,The only thing that sustains me now is hope.,彼は大家族を支えて行かねばならない。,He has to support his large family.,アーチの石組みが橋を支えている。,The masonry of the arch supports the bridge.,
1408,黙る,だまる,intrans.,"to be silent, say nothing",彼らは彼女を怒らせないように黙っていた。,They kept quiet so as not to offend her.,黙って言われた通りにしろ。,Shut up and do as you are told.,その事件のことは黙っておいたほうがいい。,You should keep quiet about that incident.,
1419,受け取る,うけとる,trans.,"to receive, get, accept, take, interpret, understand",お手紙はまだ受け取っていません。,I have not received your letter yet.,受け取られたらご一報ください。,Please let us know when you receive it.,彼の言うことはそのままには受け取れない。,We cannot take what he says as it is.,
1421,抱える,かかえる,trans.,"to hold in one's arms, carry in one's arms, to have, take on",胸に花束を抱える。,Holding a bouquet of flowers to his chest.,,,,,
1424,叩く,たたく,trans.,"to strike, hit, beat, knock, pound, attack",ドアを３度たたく音が聞こえた。,I heard three taps on the door.,,,,,
1433,渡す,わたす,trans.,"to ferry across, lay across, build across, hand over, pass",この包みを彼に渡してください。,Please give him this package.,,,,,
1452,育てる,そだてる,trans.,"to raise, rear, bring up, train, teach, educate, nurture",私は庭でいろいろな花や野菜を育てています。,I grow a variety of flowers and vegetables in my garden.,,,,,
1455,借りる,かりる,trans.,"to borrow, have a loan, rent, hire",電話をお借りしてもよろしいでしょうか。,May I borrow your phone?,,,,,
1468,受け入れる,うけいれる,trans.,"to accept, receive, agree",会社は従業員の要求を受け入れた。,The company accepted the employee's request.,,,,,
1470,動かす,うごかす,trans.,"to move, shift, stir, budge, change position, inspire, rouse, change, operate, mobilize",柱を少し右へ動かす。,Move the pillar slightly to the right.,,,,,
1475,分ける,わける,trans.,"to divide, split, part, separate, classify, sort out, share, distinguish",ピアノの代金は３回に分けて支払った。,The piano was paid for in three installments.,,,,,
1476,立ち上がる,たちあがる,intrans.,"to stand up, get up, rise, recover, take action, start up, boot up",ゆっくりと立ち上がる。,Stand up slowly.,,,,,
1477,訪れる,おとずれる,trans.intrans.,"to visit, call on, arrive, come, appear",待ちに待ったチャンスが訪れた。,The long-awaited opportunity had arrived.,,,,,
1478,当てる,あてる,trans.,"to hit, expose, apply, put on, allot",私たちは学校の勉強に多くの時間を当てた。,We put a lot of time into our schoolwork.,,,,,
1484,巡る,めぐる,intrans.,"to go around, return, surround",血液は体内を巡る。,Blood travels through the body.,春がまた巡ってきた。,Spring has come around again.,池の周囲を細い道が巡っている。,A narrow path runs around the pond.,
1488,焼く,やく,trans.,"to burn, roast, broil, grill, bake, toast, barbecue, heat up, to tan",200度の天火で20分焼く。,Bake at 200°F for 20 minutes.,,,,,
1490,伸ばす,のばす,trans.,"to grow long, lengthen, extend, stretch, reach out, straighten",腕を伸ばしたが電灯に届かなかった。,I extended my arm but could not reach the light.,,,,,
1494,出会う,であう,intrans.,"to meet, come across, run across, encounter",道でばったり旧友に出会った。,I bumped into an old friend on the street.,,,,,
1495,助ける,たすける,trans.,"to save, rescue, help, assist, contribute, support, facilitate",老人を助けてバスに乗せてあげた。,I helped the old man and put him on the bus.,,,,,
1495,望む,のぞむ,trans.,"to desire, wish for, expect",画家になりたいと望んでいる。,He hopes to become a painter.,,,,,
1502,通う,かよう,intrans.,"to go to and from, back and forth between, go to, attend, commute",彼らは毎朝歩いて工場に通う。,They walk to the factory every morning.,,,,,
1514,見付かる,みつかる,intrans.,"to be found, be discovered",パイプにひびのあるのが見付かった。,A cracked pipe was found.,,,,,
1550,上る,のぼる,intrans.,"to ascend, go up, climb",彼は階段をゆっくりと上った。,He walked slowly up the stairs.,,,,,
1553,亡くなる,なくなる,intrans.,"to die, pass away",父は２年前に亡くなった。,My father died two years ago.,,,,,
1557,落ち着く,おちつく,intrans.,"to calm down, compose oneself, settle down",彼女が何を言おうと落ちついていなさい。,"Whatever she says, stay calm.",,,,,
1558,纏める,まとめる,trans.,"to collect, put together, integrate, consolidate, unify, summarize, aggregate, finalize",データはまだまとめていません。,Data has not yet been compiled.,,,,,
1561,抜ける,ぬける,intrans.,"to come out, fall out, be omitted, be missing, fade, leave, be clear, be transparent",あの歌が頭の中から抜けなくて。,I couldn't get that song out of my head.,,,,,
1561,取り上げる,とりあげる,trans.,"to pick up, adopt, accept, take up, listen to, deal with, take away, deliver, collect",第二の問題を取り上げましょう。,Let's address the second issue.,,,,,
1580,構う,かまう,trans.intrans.,"to mind, care about, be concerned about, be an issue, to matter",私は構わなかった。,I didn't mind.,,,,,
1584,戦う,たたかう,intrans.,"to wage war, compete against",彼らは自分達の自由のために戦った。,They fought for their freedom.,,,,,
1585,達する,たっする,suru,"to reach, get to, arrive at",私は君と同じ結論に達した。,I have come to the same conclusion as you.,,,,,
1589,悩む,なやむ,intrans.,"to be worried, be troubled",そして私はそれについていつも悩んだ。,And I always worried about it.,,,,,
1591,洗う,あらう,trans.,"to wash, cleanse, rinse",ちょっと手洗ってくる。,I'm going to go wash my hands.,,,,,
1600,疲れる,つかれる,intrans.,"to get tired, tire, get fatigued, become exhausted",とても疲れているから走れない。,I can't run because I am very tired.,,,,,
1601,着く,つく,intrans.,"to arrive at, reach, sit on, sit at",明日の午後７時に羽田に着きます。,I will arrive at Haneda tomorrow at 7pm.,,,,,
1605,喋る,しゃべる,intrans.,"to talk, chat, chatter​",食事をしながらゆっくりしゃべった。,We talked slowly over dinner.,,,,,
1608,慣れる,なれる,intrans.,"to get used to, grow accustomed to, become familiar with​",外国語を聞くのに慣れていない。,Not accustomed to hearing foreign languages.,,,,,
1612,流す,ながす,trans.,"to drain, pour, run, let flow, flush, set adrift, wash away",水を流して手足を洗った。,I washed my hands and feet in running water.,,,,,
1617,握る,にぎる,trans.,"to clasp, grasp, grip, clutch, hold, have, be the key, mold",どうして私の手を握っているの？,Why are you holding my hand?,,,,,
1619,減る,へる,intrans.,"to decrease, diminish, abate",痛みが少し減りました。,The pain has decreased a little.,,,,,
1625,下げる,さげる,trans.,"to hang, suspend, wear, lower, reduce, bring down",値段を下げるべきだと思います。,I think the price should be lowered.,,,,,
1638,占める,しめる,trans.,"to occupy, hold, make up, take up",彼は銀行で重要な地位を占めている。,He occupies an important position in the bank.,,,,,
1640,優れる,すぐれる,intrans.,"to surpass, outstrip, excel",数学では彼より優れている者はいなかった。,No one was better than him in mathematics.,,,,,
1644,包む,つつむ,trans.,"to wrap up, pack, bundle, do up, cover, engulf, conceal",花瓶をプレゼント用に包んでもらった。,I had a vase of flowers gift-wrapped.,,,,,
1646,吐く,はく,trans.,"to breathe out, breathe, tell, vomit",大きく息を吐く。,Breathe out heavily.,,,,,
1647,消す,けす,trans.,"to erase, rub off, cross out, delete, turn off, extinguish, remove",水をかけて火を消す。,Pour water over the fire to extinguish it.,,,,,
1652,覗く,のぞく,trans.,"to peek, look down into, sneak a look at, peep",私の部屋を覗かないでよ。,Don't peek into my room.,,,,,
1655,勝つ,かつ,intrans.,"to win, gain victory",きわどいところで勝つ。,Win at the critical point.,,,,,
1656,浮かぶ,うかぶ,godan,"to float, be suspended, rise to the surface, emerge",彼にいい考えが浮かんだ。,A good idea came to him.,,,,,
1672,去る,さる,godan,"to leave, go away, pass, elapse, send away, drive off",彼らは一時間前に町を去った。,They left town an hour ago.,,,,,
1688,回す,まわす,trans.,"to turn, rotate, spin, twist, pass around",首が痛くて回せません。,My neck hurts and I can't turn it.,,,,,
1697,除く,のぞく,trans.,"to remove, eliminate, eradicate, exclude",無関係の項目を除く。,Excluding irrelevant items.,,,,,
1707,育つ,そだつ,intrans.,"to be raised, be brought up, grow",私は京都で生まれて京都で育った。,I was born and raised in Kyoto.,,,,,
1714,終える,おえる,trans.,to finish,一日の仕事を終えて家路につく。,"After a day's work, I head home.",,,,,
1717,外す,はずす,trans.,"to remove, take off, detach, unfasten, undo",上着のボタンを外す。,Unbutton your jacket.,,,,,
1748,呟く,つぶやく,godan,"to mutter, murmur, grumble​, tweet",彼女はいつも一人でつぶやいている。,She is always mumbling to herself.,,,,,
1751,向く,むく,trans.intrans.,"to turn toward, look, face, be suited to, be fit for",みなの視線が一斉にそちらへ向いた。,Everyone's eyes turned in that direction at once.,,,,,
1753,負ける,まける,intrans.,"to lose, be defeated, succumb, give in, surrender, yield",我がチームは10対６で大阪チームに負けた。,Our team lost 10-6 to the Osaka team.,,,,,
1762,要る,いる,intrans.,"to need, want​",ほかに何か要りますか。,Do you need anything else?,,,,,
1775,恐れる,おそれる,trans.,"to fear, be afraid of",彼女は少しも恐れずそこへ行った。,She went there without the slightest fear.,,,,,
1784,直す,なおす,trans.,"to repair, mend, fix, correct",ネクタイが曲がっているから直してあげよう。,"Your tie is crooked, let me fix it for you.",,,,,
1786,設ける,もうける,trans.,"to prepare, provide, set up, establish, organize",機会を設けて二人を会わせよう。,I will provide an opportunity for them to meet.,,,,,
1788,支払う,しはらう,trans.,to pay​,車の代金は24回の分割払いで支払った。,The car was paid for in 24 installments.,,,,,
1788,迫る,せまる,trans.intrans.,"to approach, draw near, be imminent, press, urge, compel",私たちは山の頂上に迫った。,We approached the top of the mountain.,,,,,
1792,経る,へる,intrans.,"to pass, elapse, go by, pass through, go through, experience, undergo",なす事もなく日を経る。,The days pass by without much being done.,,,,,
1802,振り返る,ふりかえる,trans.intrans.,"to turn one's head, turn around, look back, reminisce",前日の行いを振り返って恥ずかしいと思った。,I looked back at what I had done the day before and felt ashamed.,,,,,
1809,断る,ことわる,trans.,"to refuse, reject, turn down, decline, inform, ask to leave",彼女は私の依頼を断った。,She refused my request.,,,,,
1816,誘う,さそう,trans.,"to invite, ask, call for, tempt, lure, induce, provoke",友人数人をお茶に誘った。,I invited a few friends over for tea.,,,,,
1816,越える,こえる,trans.,"to cross over, cross, pass through, go beyond, exceed, surpass",その村はこの川を越えた所にある。,The village is just beyond this river.,,,,,
1824,取り出す,とりだす,trans.,"to take out, produce, pick out, fetch, retrieve",彼女はポケットから鉛筆を取り出した。,She took a pencil out of her pocket.,,,,,
1825,急ぐ,いそぐ,trans.intrans.,"to hurry, rush, hasten ",飛行機に乗り遅れないように私は空港へ急いだ。,I hurried to the airport so as not to miss my flight.,,,,,
1829,慌てる,あわてる,intrans.,"to become confused, be flustered, panic, hurry, rush, hasten",どんな時でも彼は慌てない。,At all times he does not panic.,,,,,
1829,訴える,うったえる,trans.,"to raise, bring to, appeal to, complain, sue, resort to",彼は我々の感情に訴えた。,He appealed to our emotions.,,,,,
1829,命ずる,めいずる,trans.,"to command, appoint",彼は帰国を命じられた。,He was ordered to return home.,,,,,
1835,有する,ゆうする,suru,"to own, be endowed with",すべての人は対等の権利を有する。,All people have equal rights.,,,,,
1840,別れる,わかれる,intrans.,"to be divided, part from, separate",二人は無理やり別れさせられた。,They were forced to separate.,,,,,
1846,伝わる,つたわる,intrans.,"to be handed down, be introduced, be transmitted, circulated, go along",その物語は昔から伝わってきた。,The story has been handed down for centuries.,,,,,
1865,参る,まいる,intrans.,"to go, come, call, visit",明日横浜へ参ります。,I will be in Yokohama tomorrow.,,,,,
1872,尽くす,つくす,godan,"to exhaust, run out, devote, serve",店はその雑誌の在庫を売り尽くしました。,The store sold out of its inventory of the magazine.,,,,,
1874,移る,うつる,intrans.,"to move, transfer",ボストンに移ったんだ。,I moved to Boston.,,,,,
1874,告げる,つげる,trans.,"to tell, inform, announce, indicate, signal, mark",夏が終わりを告げていた。,Summer was coming to an end.,,,,,
1878,仰る,おっしゃる,trans.,"to say, speak, tell, talk",お名前は何とおっしゃいましたか。,What was your name?,,,,,
1884,詰まる,つまる,intrans.,"to be packed, be full",今日は予定が詰まっている。,My schedule is packed today.,,,,,
1897,下ろす,おろす,trans.,"to take down, launch, drop, lower, withdraw, fillet",子猫を木から下ろしてやった。,I took the kitten down from the tree.,,,,,
1900,広げる,ひろげる,trans.,"to spread, extend, expand, enlarge, widen, unfold, prosper",活動の幅を世界に広げる。,Expanding the scope of activities to the world.,,,,,
1912,任せる,まかせる,trans.,"to entrust, leave to",万事あなたにお任せします。,I leave everything to you.,,,,,
1928,掻く,かく,trans.,"to scratch, perspire, shovel, paddle",痒い所を掻くこともできない。,I can't even scratch an itch.,,,,,
1947,戻す,もどす,trans.,"to put back, return, give back, restore, recover",この本をもとあった場所に戻しなさい。,Put this book back where it belongs.,,,,,
1949,休む,やすむ,intrans.,"to rest, have a break, take a day off",ちょっと勉強を休みましょう。,Let's take a break from studying for a moment.,,,,,
1954,遅れる,おくれる,intrans.,"to be late, be delayed, fall behind schedule, be overdue",彼女は決して学校に遅れない。,She is never late for school.,,,,,
1962,重ねる,かさねる,trans.,"to pile up, stack up, repeat many times over",我がチームは得点を重ねた。,Our team scored a lot of points.,,,,,
1964,足りる,たりる,intrans.,"to be sufficient, be enough",今週は眠りが足りている。,I am getting enough sleep this week.,,,,,
1964,見なす,みなす,trans.,"to consider as, regard as, deem as, equate",私たちはそれが自然なものとみなしているのです。,We assume that it's natural.,,,,,
