Expression,Meaning,Sentences,Translation
と,"condition that predicted naturally, happens customarily, generally or repeatedly",気がつくと外はすっかり暗くなっていた。,"When I came to notice, it was completely dark outside."
たら,"condition that predicted naturally, happens once, hypothetical, express volition, request, invitation or make suggestion",屋上に上がったら東京タワーが見えた。,"When I went up to the rooftop, I could see Tokyo Tower."
ば,"condition that predicted naturally, happens generally or repeatedly, universal truth and customs, express a wish or something should be done, seeking advice",録音時間を指定するにはどうすればいいですか。,How do I specify the recording time?
なら,"condition that express advice, requests, invitations or does it suggests a case",新幹線より安く行くなら路線バスもあります。,"If you want to go cheaper than the Shinkansen, you can take a local bus."
てください,"commanding, ordering, asking someone to do",塩を取ってください。,Please pass the salt.
てくださいませんか,asking someone to do,パスポートとチケットを見せてくださいませんか。,Can I see your passport and ticket?
てもらえますか,"asking permission, requesting something to do",なるべくゆっくり話してもらえますか。,Could you speak as slowly as possible?
ていただけますか,"asking permission, requesting something to do",この本を貸していただけますか。,Can you lend me this book?
と~とどちらが~ですか,comparing which is,肉と野菜とどちらが好きですか。,Do you prefer meat or vegetables?
でよろしいですか,"asking someone if it is good, or is it to do",ご注文は以上でよろしいですか。,Is that all I have to order?
でお願いします,wishing or desiring something,窓側でお願いします。,"Window side, please."
お~になる,states an action in honorific form,社長はもうお帰りになりました。,The president has already left.
ございますか,questions the existence of something in honorific form,商品もございますか。,Do you also have a product?
でございます,state the existence of something in honorific form,私が担当の田中でございます。,I am Tanaka and I am in charge.
方がいい,giving advice that it is better to do,彼と別れた方がいいです。,You should leave him.
ばいいです,giving advice that it is good or ok to to,その本のどちらかを持っていればいいです。,You can have either of those books.
ばいいですか,"asking advice if it is good, ok to to do or how to do",どう行けばいいですか。,How can I go about it?
たらいいですか,"asking advice if it is good, ok to to do or how to do",どう使ったらいいですか。,How should I use it?
