Sentences,Translation
最高の状態ですね。 ,He's in the best shape. 
彼の状態は良くなったり悪くなったりだ。 ,His condition is better and worse. 
彼の健康状態はよくない。 ,His health is not good. 
この状態を理解していますか。 ,Do you understand this condition? 
その国の経済状態は悪い。 ,The economic condition of the country is bad. 
現在の状態です。,His current condition.
私は世界中を旅行する。 ,I travel all over the world. 
英語は世界中で話されている。 ,English is spoken all over the world. 
世界中ほとんどどこのホテルでも英語が使える。 ,English is spoken in almost every hotel in the world. 
世界中で一番美しいところはどこですか。,Where is the most beautiful place in the world?
敵大型ジオフレームは世界中に６機が落着。,Six enemy large geo-frames were landed around the world.
撃退できたのは日本だけでした。,Only Japan was able to repel the invasion.
人々は侵略を撃退することができた。,People were able to repel the invasion.
その町は戦争中に破壊された。 ,That town was destroyed during the war. 
戦争でその街は破壊された。 ,The war destroyed that city. 
破壊に対しての努力はしない。 ,No effort is made against destruction. 
その悪魔は広島と長崎を破壊した。 ,That devil destroyed Hiroshima and Nagasaki. 
小さな子どもがとても破壊的になる事がある。,A small child can be very destructive. 
進路上の障害物は全て破壊していますが。,"All obstacles in its path have been destroyed, though."
ですが敵機の完全破壊には至らず。,"However, it did not result in the complete destruction of the enemy aircraft."
進路のことで先生に助言を求めた。,He sought advice from his teacher about his course of action.
船は進路を変えた。 ,The ship changed course. 
船の進路は真東だった。 ,The ship's course was due east. 
どの進路を選んでも危険が待ち受けている。 ,"No matter which course he chose, danger awaited him. "
全て料理書通りにしなさい。 ,Do everything according to the cookbook. 
全ては終わった。 ,Everything is done. 
僕のものは全て君の物だ。 ,Everything that is mine is yours. 
私はお金が全てではない事を知っている。 ,I know that money is not everything. 
これが全ての中で最も重要なことだ。,This is the most important thing of all.
彼らは攻撃を受ける心配はない。 ,They don't have to worry about being attacked. 
彼らは攻撃するつもりだ。 ,They intend to attack. 
私たちは彼を攻撃する気持ちはありません。 ,We have no intention of attacking him. 
敵の攻撃は一日中続けた。 ,The enemy attacked us all day long. 
敵は夜に私達を攻撃した。,The enemy attacked us at night. 
邪魔さえしなければ攻撃してくることはありません。,They will not attack you as long as you do not get in their way.
彼らは東アフリカのタンガニーカ湖を探索した。 ,They explored Lake Tanganyika in East Africa. 
彼の死でその探索は中止された。 ,The search was halted with his death. 
詩は説明し難いものへの探索である。 ,Poetry is a search for the inexplicable. 
私たちはフランスの田舎を探索して休日をすごした。 ,We spent our holidays exploring the French countryside. 
彼らの埋蔵された宝物を求めて砂漠を探索した。 ,We explored the desert in search of their buried treasures. 
残りの５体は探索活動をしているもようです。,The remaining five appear to be engaged in exploratory activity.
探索？ 何を探しているのでしょうか。 ,Searching? What are they searching for? 
問題はどうしてその金を調達するかだ。 ,The question is why raise that money. 
資金を調達する。 ,We raise the money. 
私達は食料を調達するため店に入った。 ,We went into the store to get some food. 
ラーメン屋の店主が近くのスーパーで食材を調達してた。 ,The owner of the noodle shop was getting food from a nearby supermarket. 
戦争の資金を調達するために公債が発行された。,Public bonds were issued to finance the war.
ようやく輸送用トレーラーを調達できました。 ,We were finally able to procure a transport trailer. 
彼の発見は輸送における革命をもたらした。 ,His discovery led to a revolution in transportation. 
商品は船で輸送された。 ,Goods were transported by ship. 
公共の交通輸送機関は正確に動いています。 ,Public transportation systems are working precisely the same way. 
今では多くの貨物が飛行機で輸送されている。 ,Many cargoes are now transported by airplanes. 
その船は原料をインドネシアから輸送している。 ,Its ships transport raw materials from Indonesia. 
数日中には市内の道路を封鎖して新立山駅まで輸送。 ,"Within a few days, the city's roads were blocked and transported to the new Tateyama station. "
とにかく輸送には十分 注意を払ってちょうだい。,"In any case, please be very careful with the transportation."
研究所に搬入予定です。,It will be delivered to the laboratory.
椅子とかテーブルとかの搬入はどうするの。,"What about bringing in chairs, tables, etc.?"
この認証システム、通す気ないだろ。 ,You don't want to pass this authentication system. 
こんなんじゃ、すぐに認証を突破されちまう。 ,This will get us through the authentication process in no time. 
どうやら未知の認証システムがあるようで。 ,Apparently there is an unknown authentication system. 
彼らはいわゆる戦争の被害者だ。 ,They are the so-called victims of war. 
被害者の死によって誰が得をするのだろう。 ,Who benefits from the death of the victims? 
この地震で非常に多くの家が被害を受けた。 ,Very many homes were damaged by this earthquake. 
嵐の被害は何もなかった。 ,The storm did nothing. 
台風の被害は何もなかった。 ,The typhoon did nothing. 
そうね被害が予測できないから。,There is no telling how much damage they’ll cause.
その新しい仕事は彼の技術を必要とした。 ,That new job required his skills. 
バカみたいな技術だな。 ,Silly technology. 
次から次へと新しい技術が出てくる。 ,One new technology after another. 
私は彼の運転の技術は素晴らしいと思う。 ,I think his driving skills are great. 
誰もが彼の技術を認めた。,Everyone recognized his skill.
我々の技術でこれを無理やり引き剥がそうとすると。 ,If we try to forcibly pull this off with our technology. 
彼らは現状に満足している。 ,They are satisfied with the status quo. 
現状のままにしておく。 ,Leave it as it is. 
この規則は現状に合わない。 ,This rule does not fit the status quo. 
一般の国民は現状から見て、大きな変化を望んでいる。 ,The general public wants a major change from the status quo. 
その法律は、現状では、そんなに厳しくない。 ,"The law, as it stands, is not that strict. "
現状の由希奈さんの成績では不可能です。 ,"With Yukina's current performance, this is impossible. "
現状での稼働限界は１時間。,The current operating limit is one hour.
勉強するのは学生の務め。 ,It was the student's duty to study. 
彼女の務めは子供たちの世話をすることであった。 ,Her duty was to take care of her children. 
彼は健康を犠牲にしても自分の務めを果たした。 ,He sacrificed his health to fulfill his duty. 
そんなことが起こらないように気をつけるのは、君の務めだ。 ,It is your duty to see to it that such a thing does not happen. 
私の最初の務めは資格のない志願者をふるいにかけることだった。 ,My first duty was to sift through the unqualified applicants. 
それが教師の務めです。,That is the teacher's duty.
先生の務めなのではないか。,Isn't it the duty of the teacher?
それを下に置きなさい。 ,Put it down. 
この本どこに置くの。 ,Where do you put this book. 
この本は一番上に置いてください。 ,Put this book at the top. 
好きなところに置いて。 ,Put it wherever you want. 
それは見つけた所に置いておきなさい。 ,Put it where you found it. 
自転車置いてきちゃった 。,I left my bike behind.
その箱をのぞいてはいけない。 ,Do not look in that box. 
部屋をのぞいてみたら、だれもいなかった。 ,She looked into the room and found no one there. 
彼女はその穴から外をのぞいた。 ,She looked out through the hole. 
男は壁の隙間からのぞいた。 ,The man looked through the crack in the wall. 
犬は水の中をのぞいた。 ,The dog looked into the water. 
のぞきに来るなんて。,I can't believe you came to take a peek.
彼が行ってしまおうといようと私は平気だ。 ,I am fine whether he goes or not. 
彼は病気など平気だと思っている。 ,He thinks he's fine with being sick. 
薬飲んだからもう平気よ。 ,I'm fine now that I've taken my medicine. 
こんなに暑いのに君は平気みたいだね。 ,"It's so hot, but you seem to be fine. "
僕だったらそんなずうずうしいことは言えない。 ,I would not have been so brazen. 
彼はずうずうしくも金を貸せといった。 ,He brazenly asked me to lend him money. 
実にずうずうしい！ ,Very shameless indeed!
彼女がずうずうしく振舞っていることをみなが知っていた。 ,Everyone knew she was acting brazenly. 
よくずうずうしくそんな事が言えるね。 ,How can you say such a thing so brazenly? 
ずうずうしい 何 言ってんの？ ,That a pretty audacious thing to ask.
着替えをするために家に帰った。 ,I went home to change my clothes. 
服を着替えに行ってくる。 ,I'm going to go change my clothes. 
彼女は娘の着替えを手伝いました。 ,She helped her daughter get dressed. 
着替えをするために帰宅しなければならなかった。 ,I had to go home to change my clothes. 
ここに着替え置いとくよ ,I'll leave a change of clothes here. 
悪いけど何か着替え貸してくんない？ ,"I'm sorry, can I borrow something to change into? "
どこまで進化するか想像つかない。 ,I can't imagine how far they will evolve. 
他の動物より、ずっと進化している動物もいる。 ,Some animals are much more evolved than others. 
あまりに進化しすぎて自分には過ぎたしろものだ。 ,Some animals are so evolved that they are too advanced for me. 
私たちが進化したらどんな種の動物になるだろうか。 ,What kind of animal species will we be when we evolve? 
進化論は私の想像できる範囲を超えている。 ,The theory of evolution is beyond what I can imagine. 
それは 日本文化の進化なのです。,It is the evolution of Japanese culture.
破壊こそ 進化の道筋なのです。,Destruction is the path of evolution.
進化こそ 我々の使命なのです。,Evolution is our mission.
君はどこの大学を目指しているのですか。 ,What university are you aiming for? 
彼は、医者になることを目指しているのですか。 ,Does he aspire to become a doctor? 
経済の安定はすべての政府の目指すところだ。 ,Economic stability is the goal of all governments. 
教育はテストに合格することを目指すべきでない。 ,Education should not be about passing tests. 
我々は常にサービスの向上を目指している。 ,We always aim to improve our services. 
