Kanji,Reading,Words,Meaning,W1,M1,W2,M2,W3,M3,W4,M4,W5,M5,W6,M6
上,"a, nobu",生活水準を上げる,raise the standard of living,時計を君に上げる,i’ll give you the watch,住宅価格は上がる,housing prices will rise,階段を上る,go up the stairs,教会の塔に上る,climbing the church tower,あらためて申し上げると,let me reiterate that,料理を召し上がる,eat the food
生,"i, u, uma, o, ha, na, mu",情熱的に生きる,live passionately,素材の特性を生かす,utilize the characteristics of materials,大阪で生まれた,born in osaka,新たな職を相当生む,considerable creation of new jobs,ひげを生やしている,growing a beard,植物が生える,the plant grows,容易に生る果実,fruit that grows easily
流,naga,川は市内を流れている,the river flows through the city,急速に流れる水,rapidly flowing water,橋が流れた,the bridge was carried away,悔恨の涙を流した,she shed tears of remorse,水を流しっぱなしにする,let the water run,タピオカ紅茶流行ってる,tapioca tea is all the rage,こういうのが流行ってる,this is the kind of thing that's popular
見,,,,,,,,,,,,,,,
出,,,,,,,,,,,,,,,
寝,,,,,,,,,,,,,,,
言,,,,,,,,,,,,,,,
買,,,,,,,,,,,,,,,
使,,,,,,,,,,,,,,,
歌,,,,,,,,,,,,,,,
洗,,,,,,,,,,,,,,,
着,,,,,,,,,,,,,,,
着,,,,,,,,,,,,,,,
借,,,,,,,,,,,,,,,
降,,,,,,,,,,,,,,,
降,,,,,,,,,,,,,,,
勤,,,,,,,,,,,,,,,
浴,,,,,,,,,,,,,,,
締,,,,,,,,,,,,,,,
居,,,,,,,,,,,,,,,
払,,,,,,,,,,,,,,,
合,,,,,,,,,,,,,,,
笑,,,,,,,,,,,,,,,
向,,,,,,,,,,,,,,,
行,,,,,,,,,,,,,,,
通,,,,,,,,,,,,,,,
拾,,,,,,,,,,,,,,,
失,,,,,,,,,,,,,,,
食,,,,,,,,,,,,,,,
教,,,,,,,,,,,,,,,
忘,,,,,,,,,,,,,,,
起,,,,,,,,,,,,,,,
入,,,,,,,,,,,,,,,
疲,,,,,,,,,,,,,,,
開,,,,,,,,,,,,,,,
付,,,,,,,,,,,,,,,
覚,,,,,,,,,,,,,,,
知,,,,,,,,,,,,,,,
比,,,,,,,,,,,,,,,
問,,,,,,,,,,,,,,,
選,,,,,,,,,,,,,,,
呼,,,,,,,,,,,,,,,
迫,,,,,,,,,,,,,,,
変,,,,,,,,,,,,,,,
勝,,,,,,,,,,,,,,,
保,,,,,,,,,,,,,,,
聞,,,,,,,,,,,,,,,
作,,,,,,,,,,,,,,,
残,,,,,,,,,,,,,,,
許,,,,,,,,,,,,,,,
抑,,,,,,,,,,,,,,,
限,,,,,,,,,,,,,,,
示,,,,,,,,,,,,,,,
贈,,,,,,,,,,,,,,,
奪,,,,,,,,,,,,,,,
追,,,,,,,,,,,,,,,
分,,,,,,,,,,,,,,,
離,,,,,,,,,,,,,,,
踏,,,,,,,,,,,,,,,
打,,,,,,,,,,,,,,,
放,,,,,,,,,,,,,,,
訪,,,,,,,,,,,,,,,
遭,,,,,,,,,,,,,,,
負,,,,,,,,,,,,,,,
飼,,,,,,,,,,,,,,,
請,,,,,,,,,,,,,,,
盛,,,,,,,,,,,,,,,
込,,,,,,,,,,,,,,,
