Sentence,Translation
しかし全体としてとても良い進路です。,"But overall, it is a very good path."
これは本当は良いニュースなのです。,This is actually good news.
でも良いスタートはやはり大切です。,But a good start is still important.
母親をニューヨークで良い病院に入れた。,He put his mother in a good hospital in New York.
良いスタイリストは買えますけどね。,"You can buy a good stylist, though."
健康を促進する良いコレステロールがあります。,There is good cholesterol that promotes good health.
君の作文には誤りがかなり多い。,There are quite a few errors in your essay.
その博物館には日本の古画が多い。,Its museum has many old Japanese paintings.
日本人には英語を話せる人が多い。,Many Japanese speak English.
このごろは雨が非常に多い。,Rainfall is very heavy these days.
いきなり高いハードルを設けない。,Don't set your bar too high at the beginning.
東京は物価が高い。,Prices are high in Tokyo.
高い教養を身につける。,Develop a high level of culture.
彼女は志が高い。,She has high aspirations.
ピアノは高いです。,Pianos are expensive.
この靴は１サイズ大きい。,These shoes are one size larger.
窓の役割はとても大きい。,Windows play a very important role.
そのシャツは私には大きい。,That shirt is too big for me.
このビルはとても大きい。,This building is very big.
悪い買い物ではないでしょう。,It would not be a bad purchase.
悪い夢じゃないのか。,"It's not a bad dream, is it?"
彼らは悪いことばっかり考えている。,They think only bad things.
悪い風邪がはやっている。,A bad cold is spreading.
悪い病気でなければよいが。,I hope it is not a bad disease.
結果は思ったより悪かった。,The results were worse than expected.
たまに朝寝をするのも悪くない。,It's not a bad idea to take a morning nap once in a while.
このロープは強いですね。,This rope is strong.
彼女は腕の力が強い。,She has strong arms.
彼は酒がめっぽう強い。,He's a very strong drinker.
女はもともと男より強い。,Women are inherently stronger than men.
そう思っている人が少ない。,Not many people think so.
こういう正直者は少ない。,These honest people are few.
何の心配もない人は少ない。,Few people have nothing to worry about.
長い間の努力も水の泡になった。,All those long years of hard work went down the drain.
長い目で見ればこれが有利だ。,"In the long run, this is advantageous."
私は英語では長い会話はできない。,I cannot have long conversations in English.
それは私には新しい世界であった。,It was a new world to me.
その事件はいまだに記憶に新しい。,The incident is still fresh in my mind.
これは全く新しい研究手段です。,This is a completely new means of research.
何か新しい話でもありますか。,Is there anything new to talk about?
