Sentences,Translation
相変わらず、彼女は彼に好意を持っていた。,"As usual, she was fond of him."
相変わらず、レストランは混んでいた。,"As usual, the restaurant was crowded."
相変わらず、私は車の運転を習っていない。,"As usual, I have not learned to drive."
どうしても今日じゅうに終えなければならない。,I really have to finish it by the end of the day.
どうしても他人のことより自分のことを先に考えてしまう。,I can't help but think of myself first before others.
どうしてもあの人の名前を思い出せない。,I just can't remember that person's name.
どうしても専用の観測所が必要です。,A dedicated observatory is inevitably needed.
結局、ハムを食べたのはステラだけですからね。,"After all, Stella is the only one who ate the ham."
結局、計画は中止になる。,"Eventually, the plan is cancelled."
結局、再び結婚式は延期になる。,"Eventually, the wedding is postponed again."
結局この会議は短期間で崩壊。,"In the end, this conference collapsed after a short period of time."
もちろん、これはすべての粒子について正しい。,"Of course, this is true for all particles."
もちろんあなたは正しい。,Of course you are right.
もちろんあなたは知っているものと思っていた。,Of course I assumed you knew.
もしかしたら遅れるかも。,Maybe we will be late.
もしかしたら明日帰ってこれるかも。,Perhaps I could come back tomorrow.
もしかしたら夕方にならないうちに雨かもしれないよ。,Maybe it will rain before evening.
もしかしたら彼は駅で今も待ってるかもしれない。,Maybe he is still waiting for you at the station.
なるほど私が間違ってるかもしれない。,I may indeed be wrong.
なるほど、それは間違いかもしれない。,"It may, indeed, be a mistake."
なるほど面白い本だ。,It is indeed an interesting book to read.
なるほどと思わせる彼女の話だ。,It is her story that makes sense.
せっかく訪ねてくれたのに私はあいにく留守だった。,I was unfortunately not at home when he came to visit me.
せっかく骨を負ったのに、彼は失敗した。,"Having gone to the trouble of bearing the bones, he failed."
せっかく弁護士の資格があるのにもったいない。,It is a waste of a qualified lawyer.
とにかく彼に聞いてみましょう。,Let's ask him anyway.
とにかく途中で計画の変更はできない。,"Anyway, the plan cannot be changed in the middle of the project."
とにかく明日電話するよ。,"Anyway, I'll call you tomorrow."
とにかく家にいなさい。,Stay home anyway.
とにかく見た目より中はずっとましよ。,"Anyway, the inside is much better than the outside."
とにかくそれは美しい建物です。,Anyway it is a beautiful building.
取りあえず家の者に知らせなくては。,"In the meantime, I must inform my family."
取りあえず必要なものはお金だ。,"For now, what we need is money."
取りあえず一言御礼まで。,"In the meantime, I just wanted to say thank you."
取りあえずはそれで間に合うだろう。,That will do for now.
取りあえずそのままにしておこう。,Let's leave it as it is for now.
取りあえずけが人に応急処置をした。,"In the meantime, I gave first aid to the injured."
取りあえずビールにしよう。,Let's have a beer for now.
わざわざ会いに来てくれてありがとう。,Thanks for coming all the way out here to see me.
わざわざ本人に聞こえるように悪口を言った。,I went out of my way to bad mouth him so that he could hear me.
わざわざ見に来たい気持ちがわかります。,I can see why you would want to come all the way out here to see it.
やはり雨になった。,"As expected, it rained."
やはり本当だった。,"Sure enough, it was true."
やはり言ったとおりだろう。,I told you so.
やっぱりなんでも練習あるのみだな。,"After all, everything takes practice."
やっぱり、彼が来なかった。,"As expected, he did not come."
やがて雨になるかもしれない。,Eventually it may rain.
やがて城が見えてきた。,Eventually the castle came into view.
やがて彼にも分かる時が来るでしょう。,Eventually he will understand.
やがて彼はその事件のことを忘れた。,Eventually he forgot about the incident.
