L5,T5,L4,T4,L3,T3,L2,T2,L1,T1
左右に揺れる。,Swaying from side to side.,,,,,,,,
左右の確認を怠るな。,Don't forget to check left and right.,,,,,,,,
環境に左右される。,Be influenced by environment.,,,,,,,,
天候に左右される。,Weather dependent.,,,,,,,,
感情に左右される。,It is influenced by emotions.,,,,,,,,
市場を左右する。,Influence the market.,,,,,,,,
彼は八方美人だ。,He tries to be everything to everybody.,,,,,,,,
無期限に延長する。,Extend indefinitely,,,,,,,,
本線は東京まで延長された。,The main line was extended to Tokyo.,,,,,,,,
彼女の異常な食欲に呆然としていた。,I was stunned by her unusual appetite.,,,,,,,,
彼女からは何も聞き出せなかった。,I could not get anything out of her.,,,,,,,,
目的を聞き出すことが基本です。,The basic idea is to find out the purpose of the project.,,,,,,,,
もっと聞き出すべきじゃないか？,Shouldn't we be asking more out of them?,,,,,,,,
愛は万国の幸福の拠点です。,Love is the base of happiness for all nations.,,,,,,,,
彼は会議の議長だった。,He was the chairman of the meeting.,,,,,,,,
水素エネルギーの活用はまだこれから。,The use of hydrogen energy is still in its infancy.,,,,,,,,
低気圧の前線が南下した。,A low pressure front moved south.,,,,,,,,
君は休養したほうがいい。,You should take a break.,,,,,,,,
たくさん休養を取りなさい。,Get lots of rest.,,,,,,,,
外国の国土を侵略する。,Invading foreign lands.,,,,,,,,
長期にわたる海外生活。,Living abroad for an extended period of time.,,,,,,,,
喫煙は野外テラスにてお願いいたします。,Smoking is permitted on the outdoor terrace.,,,,,,,,
野外で遊ぶ事はとても楽しい。,Playing outdoors is great fun.,,,,,,,,
彼らは北西のホールにいる。,They are in the northwest hall.,,,,,,,,
世界中の美しい景色を撮りたかった。,I wanted to capture the beautiful scenery of the world.,,,,,,,,
西日の射す部屋。,A room with the sun shining in the west.,,,,,,,,
秋の夕刻に西日が射す様も風情があります。,The way the western sun shines on the autumn evening is also elegant.,,,,,,,,
大学教育を受けた技術者。,University-educated engineer.,,,,,,,,
何千もの人に配っています。,We distribute to thousands of people.,,,,,,,,
電球を取り替える。,Replace light bulbs.,,,,,,,,
