Kanji,NR,KR,Meaning,W1,R1,M1
人,"JIN, NIN",hito,"person, man",大人,おとな,"adult, grown-up"
人,"JIN, NIN",hito,"person, man",人形,にんぎょう,"doll, puppet, figure"
人,"JIN, NIN",hito,"person, man",商人,しょうにん,"merchant, trader"
人,"JIN, NIN",hito,"person, man",人種,じんしゅ,"race, type of person"
人,"JIN, NIN",hito,"person, man",恋人,こいびと,"lover, sweetheart"
人,"JIN, NIN",hito,"person, man",職人,しょくにん,"craftsman, artisan"
人,"JIN, NIN",hito,"person, man",人格,じんかく,"personality, character"
人,"JIN, NIN",hito,"person, man",人民,じんみん,"the people, citizens"
人,"JIN, NIN",hito,"person, man",人体,じんたい,human body
人,"JIN, NIN",hito,"person, man",証人,しょうにん,witness
人,"JIN, NIN",hito,"person, man",友人,ゆうじん,friend
一,"ICHI, ITSU",hito,one,一致,いっち,"agreement, accord, union"
一,"ICHI, ITSU",hito,one,一番,いちばん,"number one, first, best"
一,"ICHI, ITSU",hito,one,一日,いちにち,"one day, all day"
一,"ICHI, ITSU",hito,one,一度,いちど,"once, one time"
一,"ICHI, ITSU",hito,one,一方,いっぽう,"one way, the other way"
一,"ICHI, ITSU",hito,one,一言,ひとこと,"single word, a few words"
一,"ICHI, ITSU",hito,one,一生,いっしょう,"whole life, a lifetime"
一,"ICHI, ITSU",hito,one,一家,いっか,"a family, a household"
一,"ICHI, ITSU",hito,one,一般,いっぱん,"general, universal, ordinary"
一,"ICHI, ITSU",hito,one,一瞬,いっしゅん,"instant, moment"
日,"NICHI, JITSU","hi, ka",day,日付,ひづけ,"date, dating​"
日,"NICHI, JITSU","hi, ka",day,昨日,きのう,yesterday
日,"NICHI, JITSU","hi, ka",day,明日,あした,tomorrow
日,"NICHI, JITSU","hi, ka",day,平日,へいじつ,weekday
日,"NICHI, JITSU","hi, ka",day,祝日,しゅくじつ,"national holiday, public holiday"
日,"NICHI, JITSU","hi, ka",day,日焼け,ひやけ,"sunburn, suntan, tan"
日,"NICHI, JITSU","hi, ka",day,先日,せんじつ,the other day;
日,"NICHI, JITSU","hi, ka",day,日光,にっこう,"sunlight, sunshine"
日,"NICHI, JITSU","hi, ka",day,日常,にちじょう,"everyday, daily"
日,"NICHI, JITSU","hi, ka",day,日陰,ひかげ,"shade, shadow"
大,"DAI, TAI",oo,"big, large",大陸,たいりく,continent
大,"DAI, TAI",oo,"big, large",大臣,だいじん,cabinet minister
大,"DAI, TAI",oo,"big, large",大使,たいし,ambassador
大,"DAI, TAI",oo,"big, large",大通り,おおどおり,main street
大,"DAI, TAI",oo,"big, large",莫大,ばくだい,"vast, huge, immense"
大,"DAI, TAI",oo,"big, large",大勢,おおぜい,crowd of people
大,"DAI, TAI",oo,"big, large",偉大,いだい,"great, grand, magnificent"
