Kanji,NR,KR,Meaning,W1,R1,M1
言,"GEN, GON","i, koto","say, word",方言,ほうげん,dialect
言,"GEN, GON","i, koto","say, word",助言,じょげん,"advice, counsel, suggestion, tip"
言,"GEN, GON","i, koto","say, word",証言,しょうげん,testimony
言,"GEN, GON","i, koto","say, word",予言,よげん,prediction
言,"GEN, GON","i, koto","say, word",発言,はつげん,"statement, remark, observation"
言,"GEN, GON","i, koto","say, word",言い訳,いいわけ,excuse
言,"GEN, GON","i, koto","say, word",断言,だんげん,"assertion, declaration, affirmation"
言,"GEN, GON","i, koto","say, word",宣言,せんげん,"declaration, proclamation, announcement"
言,"GEN, GON","i, koto","say, word",無言,むごん,silence
言,"GEN, GON","i, koto","say, word",遺言,ゆいごん,"will, testament​"
手,SHU,te,hand,手袋,てぶくろ,"glove, mitten, mitt"
手,SHU,te,hand,握手,あくしゅ,handshake
手,SHU,te,hand,拍手,はくしゅ,"clapping hands, applause​"
手,SHU,te,hand,助手,じょしゅ,"assistant, helper"
手,SHU,te,hand,上手,じょうず,skillful
手,SHU,te,hand,下手,へた,unskillful
手,SHU,te,hand,手首,てくび,wrist
手,SHU,te,hand,手前,てまえ,"in front of one, one's standpoint"
手,SHU,te,hand,相手,あいて,"companion, partner, company"
手,SHU,te,hand,選手,せんしゅ,"player, athlete"
自,"JI, SHI",mizuka,self,自由,じゆう,"freedom, liberty"
自,"JI, SHI",mizuka,self,自然,しぜん,"nature, natural"
自,"JI, SHI",mizuka,self,自信,じしん,self-confidence
自,"JI, SHI",mizuka,self,自己,じこ,"self, oneself"
自,"JI, SHI",mizuka,self,自慢,じまん,"pride, boast"
自,"JI, SHI",mizuka,self,自身,じしん,oneself
自,"JI, SHI",mizuka,self,各自,かくじ,"each person, everyone, individual"
自,"JI, SHI",mizuka,self,自覚,じかく,self-awareness
自,"JI, SHI",mizuka,self,自立,じりつ,"independence, self-reliance"
自,"JI, SHI",mizuka,self,独自,どくじ,"original, unique, distinctive, characteristic"
者,SHA,mono,person,患者,かんじゃ,patient
者,SHA,mono,person,歯医者,はいしゃ,dentist
者,SHA,mono,person,著者,ちょしゃ,"author, writer"
者,SHA,mono,person,記者,きしゃ,"reporter, journalist"
者,SHA,mono,person,後者,こうしゃ,the latter
者,SHA,mono,person,前者,ぜんしゃ,the former​
者,SHA,mono,person,役者,やくしゃ,"actor, actress"
者,SHA,mono,person,作者,さくしゃ,"creator, artist, composer"
者,SHA,mono,person,達者,たっしゃ,"in good health, healthy"
者,SHA,mono,person,配偶者,はいぐうしゃ,spouse
事,JI,koto,thing,事故,じこ,"accident, incident, trouble"
事,JI,koto,thing,事実,じじつ,"fact, truth, reality"
事,JI,koto,thing,食事,しょくじ,"meal, dinner"
事,JI,koto,thing,記事,きじ,"article, news story, report, account"
事,JI,koto,thing,家事,かじ,"housework, domestic chores"
事,JI,koto,thing,知事,ちじ,prefectural governor
事,JI,koto,thing,百科事典,ひゃっかじてん,encyclopedia
事,JI,koto,thing,返事,へんじ,"reply, answer, response"
事,JI,koto,thing,火事,かじ,"fire, conflagration"
事,JI,koto,thing,事務所,じむしょ,office
事,JI,koto,thing,大事,だいじ,"important, serious, crucial, valuable"
事,JI,koto,thing,軍事,ぐんじ,military affairs
事,JI,koto,thing,用事,ようじ,"tasks, things to do, errand"
事,JI,koto,thing,事件,じけん,"event, affair, incident, case, plot"
事,JI,koto,thing,事態,じたい,"situation, present state of affairs, circumstances"
事,JI,koto,thing,無事,ぶじ,"safety, security, peace, quiet, safely"
事,JI,koto,thing,物事,ものごと,"things, everything"
事,JI,koto,thing,出来事,できごと,"incident, affair, happening, event"
事,JI,koto,thing,事情,じじょう,"circumstances, conditions, situation, reasons"
事,JI,koto,thing,見事,みごと,"splendid, magnificent, excellent"
事,JI,koto,thing,刑事,けいじ,detective
事,JI,koto,thing,事務,じむ,"office work, clerical work"
事,JI,koto,thing,判事,はんじ,"judge, judiciary"
事,JI,koto,thing,行事,ぎょうじ,"event, function"
事,JI,koto,thing,工事,こうじ,construction work
