W1,W2,W3,W4
ひとつ,ふたつ,みっつ,よっつ
いつつ,むっつ,ななつ,やっつ
ここのつ,とお,いくつ,ろっこ
よんこ,ろっかい,さんがい,さんびゃく
しがつ,こがつ,くがつ,しちがつ
とし,ねん,つき,がつ
にち,日にち,ついたち,ふつか
みっか,よっか,いつか,むいか
なのか,ようか,ここのか,とおか
じゅうよっか,じゅうごにち,はつか,にじゅうよっか
分前,分過ぎ,半,午前中
正午,午前,午後,くじ
いっぶん,にふん,はっぶん,なんぶん
今日,明日,明後日,昨日
一昨日,今週,来週,再来週
先週,今月,来月,先月
今年,来年,再来年,去年
一昨年,朝,昼,晩
夜,夕方,今朝,今晩
今夜,春,夏,秋
冬,季節,毎朝,毎週
先々月,先々週,昨年,毎晩
全員,人々,男,女
男の子,男性,女性,女の人
女の子,女子,友達,大人
子供,赤ちゃん,赤ん坊,お年寄り
若者,家族,妹,弟
祖父,祖母,叔父,叔母
親,父親,母親,両親
兄弟,お父さん,お母さん,お兄さん
お姉さん,おじいさん,おばあさん,おじさん
おばさん,夫,妻,息子
娘,子供,子,主人
家内,奥さん,豚肉,鶏肉
牛肉,たまねぎ,じゃがいも,野菜
すいか,にんじん,きゅうり,果物
遊ぶ,集まる,集める,安心
案内,以下,生きる,いくら~ても
いじめ,いじめる,以上,以外
一番,いっぱい,糸,以内
田舎,祈る,嫌,いらっしゃる
要る,植える,伺う,受ける
動く,美しい,写す,移る
売り物,売る,売れる,お祝い
おかげ,置く,屋上,起こす
行う,押す,落ちる,おっしゃる
音,驚く,泳ぐ,おる
折る,お礼,折れる,終わり
終わる,会,外国人,買う
帰り,変える,科学,かかる
書く,学部,掛ける,心配をかける
飾る,火事,勝つ,家庭
構う,噛む,がる,乾く
いらいら,うっかり,からから,さくさく
ぐっすり,じっくり,じっとする,ぎりぎり
すらすら,そっくり,そっとする,すっきり
どきっとする,にこにこ,にっこり,どきどき
ばらばら,ぴかぴか,びしょびしょ,のんびり
ふらふら,ぺらぺら,わくわく,ぴったり
かつて,先程,現在,過去
未来,ただ今,至急,今のところ
今にも,じきに,いよいよ,近頃
近々,やがて,いずれ,そのうち
いつまでも,永久,四季,月日
年月,本日,節目,挨拶
区切り,前の日,前の年,前日
前回,前年,前週,前月
未明,連休,隔,長期
短期,日取り,瞬く間に,つかの間
あっという間,合間,しばし,一時
久しい,長らく,日に日に,常時
随時,適宜,日頃,毎度
例年,平年,平常,時折
始終,終始,日夜,従来
予め,かねがね,かねて,かねてより
未然に,一頃,元来,未だに
直ちに,速やか,即座に,即刻
直前,間際,じきに,突如
不意に,早急,いつの間にか,今さら
最中,目下,近年,先に
先だって,先延ばし,先行き,前途
今に,時点,旬,更ける
経る,経過,延長,古代
中世,近世,衣類,衣料
消す,消化,取り消す,消極的
消費,消防署,消耗,消費者
消える,消防,消息,消費税
消防士,消毒,解消,消滅
帳消し,消火,消息筋,立ち消え
消防車,抹消,消去,消え去る
打ち消し,打ち消す,消化不良,消費量
消費社会,取り消し,個人消費,煮沸消毒
消化器,消印,消火器,消臭剤
消極,消費財,消防庁,消灯
消耗品,消え入る,消音,吹き消す
削る,削除,削減,添削
削り取る,追加削除,予算削減,削ぐ
削げる,削り節,掘削,荒削り
荒削り,切削,削り粕,消火栓
お目にかかる,伺います,と申します,ております
ございます,お祝い申し上げる,ご協力いただき,ご理解くださり
お試しになる,お送りします,ご案内いたします,お願い申し上げる
 お取りいただく ,ご来店いただき, ご連絡いただく,ご対応いただく
可能でございます,予定がございます,申しております,外出しております
 感謝しております, お話を伺います,お座りになる,ご出席になる
行けますように,成功しますように,合格しますように,晴れますように 
なんて優しい,なんてすてき,なんて楽しい,なんて便利だろう
なんて,なんか,聞いてほしい,授業をしてほしい
やめてほしい,助けてほしい,つい買ってしまう,つい泣いちゃう 
つい考えてしまう,ことがある,やれるだけ,あるだけ
寝られるだけ,書けるだけ,できるだけ,好きなだけ
感じられる,思い出される,おどろかされる,食べきれない
飲みきる,使いきっていない,ということだ,元気だということだ
苦手だそう,趣味だそう, 休むそう,元気だそう
知っているそう,反省,休日,息子
