Word,Reading,Meaning,S1,T1
上手く,うまく,"skilfully, well",上手く利用する。,Use it well.
安く,やすく,cheaply,安く買える。,Buy cheap.
深く    ,ふかく,deeply       ,深く吸って。,Breathe deeply.
早く,はやく,quickly        ,早く帰った。,I left early.
すごく,すごく,very,すごく優しい。,Very gentle.
短く,みじかく,cut shortly         ,短く切りました。,Cut it short.
詳しく,くわしく,detailed,詳しく説明した。,Explained in detail.
綺麗に,きれいに,"carefully, neatly",綺麗に洗って。,Washed it cleanly.
特別に,とくべつに,specially,特別に準備しておく。,Prepare it specially.
大切に,たいせつに,carefully,大切に育てる。,Take good care of it.
ちゃんと,ちゃんと,properly ,ちゃんと聞いて。,Listen properly.
よぶよぶに,よぶよぶ,shaky,よぶよぶになる。,I'm going to be very fat.
すっかり,すっかり,completely,すっかり疲れた。,I'm totally exhausted.
ゆっくり,ゆっくり,slowly     ,ゆっくり歩け。,Walk slowly.
ピカピカ,ピカピカ,sparkly,ピカピカ光った。,I saw a shiny light.
ふらふら,ふらふら,unsteadily,ふらふら歩く。,I walk unsteadily.
初めて,はじめて,first time,初めて遊んだ。,I played for the first time.
極めて,きわめて,extremely,極めて明快だ。,It's very clear.
優れて,すぐれて,exceedingly,優れて大変だ。,Excellent and hard work.
きれいに,きれいに,neatly,きれいに掃除した。,Cleaned up nicely.
すっかり,すっかり,completely,すっかり忘れた。,I forgot all about it.
ゆっくり,ゆっくり,"leisurely, well",ゆっくり眠れない。,I can't sleep well.
まっすぐ,まっすぐ,straightly,まっすぐ行きなさい。,Go straight ahead.
ちょうど,ちょうど,exactly ,ちょうどはじめた。,I've just begun.
はっきり,はっきり,clearly ,はっきり答える。,I'll answer clearly.
まったく,まったく,"really, completely",まったく困らない。,I have no trouble at all.
ちゃんと,ちゃんと,properly,ちゃんと読める。,It can be read properly.
きちんと,きちんと,accurately,きちんと動かない。,It doesn't move properly.
無事に,ぶじに,safely,無事に持ってきた。,I brought it safely.
早速,さっそく,immediately,早速読んだ。,I read it right away.
もっと,もっと,more,もっと見たい。,I want to see more.
もっとも,もっとも,"extremely, most",もっとも忙しい。,Extremely busy.
いちばん,いちばん,most,いちばんおいしい。,The most delicious.
だいぶ,だいぶ,"pretty, considerably",だいぶ暖かい。,Much warmer.
非常に,ひじょうに,very,非常に危ない。,Very dangerous.
ほとんど,ほとんど,almost,ほとんど終わった。,Almost done.
いっさい,いっさい,absolutely,いっさいしない。,Not at all.
実に,じつに,"really, truly",実に頭がいい。,Very smart indeed.
かなり,かなり,"considerably, fairly",かなり寒い。,Quite cold.
結構,けっこう,"quite, reasonably",結構面白い。,Quite funny.
極めて,きわめて,extremely,極めて深刻だ。,Very serious.
すっかり,すっかり,completely,すっかり曇った。,Totally cloudy.
大変,たいへん,very,大変興奮した。,Very excited.
とても,とても,very,とても暑い。,Very hot.
すごく,すごく,very,すごく変。,Very strange.
たくさん,たくさん,a lot,たくさん食べちゃった。,I ate a lot.
大いに,おおいに,a lot,大いに異なっている。,Very different.
わずかに,わずかに,slightly,わずかにカーブした。,Slightly curved.
ずいぶん,ずいぶん,"very, extremely",ずいぶんおしゃれだね。,Very stylish.
少し,すこし,a little,少し疲れた。,A little tired.
あまり,あまり,(not) very,あまり見えない。,I can't see much.
ぜんぜん,ぜんぜん,not at all,ぜんぜんできない。,I can't do it at all.
なかなか,なかなか,"pretty, fairly",なかなかやるなあ。,You're pretty good at it.
まあまあ,まあまあ,so-so,まあまあ見られた。,I was able to see just fine.
あらかじめ,あらかじめ,"beforehand, previously",あらかじめ準備して。,Prepared in advance.
初めに,はじめに,first to,初めに来た。,I was here first.
今,いま,now ,今行くよ。,I'm coming.
まだ,まだ,"(not) yet, still",まだ起きてる。,I'm still up.
まもなく,まもなく,soon,まもなく始まる。,It will start soon.
まれに,まれにしかおこらない,rarely ,まれにしか怒らない。,I only get angry rarely.
また,また,again,また来てね。,Come again.
もう,もう,already,もう晴れたよ。,It's fine now.
昔,むかし,in the past,昔建てられた。,It was built a long time ago.
最後,さいご,finally ,最後にきた。,I came here for the last time.
最近,さいきん,recently ,最近寝てるときに。,"Recently, when I was sleeping."
最初,さいしょ,first ,最初に着いた。,I arrived first.
先に,さきに,ahead,先に行ってください。,Please go ahead.
先ほど,さきほど,a while ago ,先ほど帰宅した。,I came home a while ago.
さっき,さっき,just now,さっき出かけた。,I just left.
すぐに,すぐに,immediately,すぐにやりなさい。,Do it now.
少し,すこし,a bit,少し乗ろう。,Let's take a short ride.
たびたび,たびたび,often,たびたび訪れた。,I visited often.
しばしば,しばしば,frequently,しばしば変わる。,It changes often.
しょっちゅう,しょっちゅう,always,しょっちゅう起こる。,It happens often.
