Time,Time.Read,Time.Trans,House,House.Read,House.Trans,Person,Person.Read,Person.Trans,Family,Family.Read,Family.Trans,Body,Body.Read,Body.Trans,Personality,Personality.Read,Personality.Trans,Food,Food.Read,Food.Trans,Feels,Feels.Read,Feels.Trans,Medical,Medical.Read,Medical.Trans
今日,きょう,today,居間,いま,living room,私,わたし,I,家族,かぞく,family,頭,あたま,head,行動的,こうどうてき,active,赤身,あかみ,"red flesh, lean meat",情けない,なさけない,"ashamed, shameful",様子,ようす,"state, appearance, sign"
明日,あした,tomorrow,バルコニー,バルコニー,balcony,僕,ぼく,"I, me",娘,むすめ,daughter,耳,みみ,ear,積極的,せっきょくてき,aggressive,赤飯,せきはん,red rice (beans and mochi),望ましい,のぞましい,"desirable, preferable",事態,じたい,present situation
昨日,きのう,yesterday,手すり,てすり,railing,俺,おれ,"I, me",息子,むすこ,son,首,くび,neck,意欲的,いよくてき,ambitious,刺身,さしみ,sashimi,好ましい,このましい,"likeable, ikeable",状態,じょうたい,"condition, state"
明後日,あさって,the day after tomorrow,天井,てんじょう,ceiling,私たち,わたしたち,we,男性,だんせい,male,頬,ほほ,cheek,勇敢,ゆうかん,brave,馬刺し,ばさし,horse-meat sashimi,申し分がない,もうしぶんがない,nothing to criticize,状況,じょうきょう,state of affairs around
一昨日,おととい,the day before yesterday,絵画,かいが,painting,あなた,あなた,you,女性,じょせい,female,顔,かお,face,慎重,しんちょう,careful,海老,えび,"prawn, shrimp, lobster",快い,こころよい,"pleasant, agreeable",調子,ちょうし,"state of health, manner"
今週,こんしゅう,this week,椅子,いす,chair,あんたたち,あんたたち,you,子供,こども,children,髪,かみ,hair,独創的,どくそうてき,creative,伊勢海老,いせえび, spiny lobster,清々しい,すがすがしい,refreshing,具合,ぐあい,"condition, state, health"
来週,らいしゅう,next week,壁,かべ,wall,彼,かれ,he,両親,りょうしん,parents,眉毛,まゆげ,eyebrow,勤勉,きんべん,diligent,片栗粉,かたくりこ,potato starch,爽快,そうかい,"invigorating, exhilarating",用語,ようご,"terminology, wording"
再来週,さらいしゅう,the week after next,テレビ,テレビ,television,彼女,かのじょ,she,父,ちち,my father,目,め,eye,のんき,のんき,easygoing,若布,わかめ,"wakame, seaweed",待ち遠しい,まちどおしい,eagerly awaited,全国,ぜんこく,"nationwide, countrywide"
先週,せんしゅう,last week,コーヒーテーブル,コーヒーテーブル,coffee table,彼ら,かれら,they,母,はは,my mother,鼻,はな,nose,感情的,かんじょうてき,emotional,胡麻,ごま,sesame seeds,心強い,こころづよい,reassuring,新た,あらた,"new, fresh, novel"
今月,こんげつ,this month,絨毯,じゅうたん,carpet,彼女ら,かのじょら,they,兄,あに,my elder brother,口,くち,mouth,熱心,ねっしん,enthusiastic,缶詰,かんづめ,canned food,心細い,こころぼそい,discouraging,発生,はっせい,"outbreak, occurrence"
来月,らいげつ,next month,カーテン,カーテン,curtain,みんな,みんな,everyone,姉,あね,my elder sister,舌,した,tongue,外向的,がいこうてき,extroverted,大根,だいこん,"daikon, radish",空しい,むなしい,empty,運動する,うんどうする,exercise
再来月,さらいげつ,the month after next,エアコン,エアコン,air conditioner,皆さん,みなさん,everyone,弟,おとうと,my younger brother,歯,は,teeth,フレンドリー,フレンドリー,friendly,長芋,ながいも,chinese yam ,切ない,せつない,"sad, painful",体操する,たいそうする,physical exercises
先月,せんげつ,last month,テーブル,テーブル,table,全員,ぜんいん,all,妹,いもうと,my younger sister,顎,あご,chin,勤勉,きんべん,hard-working,胡瓜,きゅうり,cucumber,物足りない,ものたりない,insufficient,首,くび,neck
今年,ことし,this year,ソファ,ソファ,sofa,人,ひと,person,兄弟,きょうだい,"siblings, brothers",唇,くちびる,lips,誠実,せいじつ,honest,小豆,あずき,adzuki bean ,煩わしい,わずらわしい,"annoying, troublesome",背中,せなか,back of the body
来年,らいねん,next year,床,ゆか,floor,人々,ひとびと,people,姉妹,しまい,sisters,指,ゆび,fingers,優柔不断,ゆうじゅうふだん,indecisive,人参,にんじん,carrot,うっとうしい,うっとうしい,"annoying, irritating",腰,こし,lower back
再来年,さらいねん,the year after next,窓,まど,window,人たち,ひとたち,people,妻,つま,wife,足指,あしゆび,toes,利口,りこう,intelligent,林檎,りんご,apple,うざい,うざい,"annoying, noisy",尻,しり,buttocks
去年,きょねん,last year,枕,まくら,pillow,男,おとこ,man,夫,おっと,husband,額,ひたい,forehead,内向的,ないこうてき,introverted,果物,くだもの,fruit,ばかばかしい,ばかばかしい,ridiculous,胸,むね,chest
昨年,さくねん,last year,ベッド,ベッド,bed,男の人,おとこのひと,man,お祖父さん,おじいさん,grandfather,肩,かた,shoulder,親切,しんせつ,kind,饅頭,まんじゅう,steamed yeast bun with filling,痛ましい,いたましい,"hurtful, tragic",腕,うで,arm
朝,あさ,morning,寝室,しんしつ,bedroom,男の子,おとこのこ,boy,お祖母さん,あばあさん,grandmother,筋肉,きんにく,muscles,無邪気,むじゃき,naive,白玉,しらたま,rice flour dumpling,きまりが悪い,きまりがわるい,"ashamed, embarrassing",肘,ひじ,elbow
昼,ひる,"day, midday",部屋,へや,room,男性,だんせい,"man, male",祖父,そふ,grandfather,胸,むね,chest,腕白,わんぱく,naughty,大福,だいふく,rice cake stuffed with bean jam,浅ましい,あさましい,"offensive, mean",膝,ひざ,knee
晩,ばん,evening,電気のスイッチ,でんきのスイッチ,light switch,女,おんあ,woman,祖母,そぼ,grandmother,腹,はら,abdomen,丁寧,ていねい,polite,大判焼き,おおばんやき, thick pancake containing bean jam,おっかない,おっかない,"frightening, scary​",つま先,つまさき,toes
夜,よる,night,コンセント,コンセント,electric socket,女の人,おんなのひと,woman,伯父さん,おじさん,uncle,腿,もも,thigh,静か,しずか,quiet,金時,きんとき,red sweet potato ,ふさわしい,ふさわしい,"appropriate, suitable, worthy",踵,かかと,heel
夕方,ゆうがた,evening,アパート,アパート,apartment,女の子,おんなのこ,girl,伯母さん,おばさん,aunt,脚,あし,leg,自己チュー,じこチュー,selfish,焼き鳥,やきとり,chicken skewer,見苦しい,みぐるしい,"unsightly, indecent",曲げる,まげる,bend
今朝,けさ,this morning,屋根,やね,roof,女性,じょせい,"woman, female",伯父,おじ,uncle,足首,あしくび,ankle,真面目,まじめ,serious,地鳥,じどり,locally raised chicken​,心苦しい,こころぐるしい,"distasteful, feeling sorry",回す,まわす,"to turn, rotate"
今晩,こんばん,this evening,屋根裏,やねうら,"attic, loft",女子,じょし,"woman, girl​",叔母,おば,aunt,胃,い,stomach,社交的,しゃこうてき,sociable,手羽先,てばさき,chicken wing,焦る,あせる,"flustered, startled",伸ばす,のばす,to stretch
今夜,こにゃ,tonight,地下,ちか,basement,友達,ともだち,friend,お父さん,おとうさん,father,骨,ほね,bones,おろか,おろか,stupid,鶏唐揚げ,とりからあげ,deep-fried chicken,あきれる,あきれる,"astounded, shocked",上げる,あげる,to raise
春,はる,spring,屋上,おくじょう,roof top,友人,ゆうじん,friend,お母さん,おかあさん,mother,皮膚,ひふ,skin,不安になる,ふあんになる,anxious,鳥皮,とりかわ,chicken skin,気に障る,きにさわる,"offending, feels hurt",下げる,さげる,to lower
夏,なつ,summer,車庫,しゃこ,garage,恋人,こいびと,lover,父親,ちちおや,father,肌,はだ,skin,怒りっぽい,おこりっぽい,bad-tempered,目玉焼き,めだまやき,sunny-side up fried egg​,しゃくに障る,しゃくにさわる,"irritate, annoy",よく眠る,よくねむる,sleep well
秋,あき,fall,玄関,げんかん,entrance,大人,おとな,adult,母親,ははおや,mother,体,からだ,body,つまらない,つまらない,boring,黄身,きみ,egg yolk,かんに障る,かんにさわる,get on one's nerves,ゆっくり休む,ゆっくりやすむ,rest well
冬,ふゆ,winter,台所,だいどころ,kitchen,子供,こども,child,従兄弟,いとこ,cousin (male),喉,のど,throat,かっこいい,かっこいい,cool,白身,しろみ,egg white,気兼ねする,きがねする,"constraint, feel uneasy",昼寝する,ひるねする,"to take a nap, siesta"
季節,きせつ,season,電子レンジ,でんしレンジ,microwave oven,赤ちゃん,あかちゃん,baby,従姉妹,いとこ,cousin (female),腕,うで,arm,面白い,おもしろい,funny,玉子丼,たまごどんぶり,bowl of rice topped with egg​,すねる,すねる,sulking,食事する,しょくじする,to have a meal
毎朝,まいあさ,every morning,レンジフード,レンジフード,cooker hood,赤ん坊,あかんぼう,"baby, infant",甥,おい,nephew,手,て,hand,面白い,おもしろい,humorous,天丼,てんどん,tempura donburi,むかつく,むかつく,"offended, irritated",お八つ,おやつ,snack
毎週,まいしゅう,every week,戸棚,とだな,cabinet,お年寄り,おとしより,elderly person,姪,めい,niece,お腹,おなか,stomach,優しい,やさしい,nice,鉄火丼,てっかどんぶり,vinegared rice topped with sliced raw tuna,恥をかく,はじをかく,"embarrass, lose face",バランス,バランス,balance
毎月,まいつき,every month,冷蔵庫,れいぞうこ,refrigerator,若者,わかもの,young person,親,おや,parents,足,あし,leg,忍耐強い,にんたいづよい,patient,親子丼,おやこどん,bowl of rice topped with chicken and egg,,,,栄養,えいよう,nutrition
毎年,まいとし,every year,オーブン,オーブン,oven,あの人たち,あのひとたち,those people,子,こ,child,髭,ひげ,"moustache, beard",頼もしい,たのもしい,reliable,雑煮,ぞうに,soup containing rice cakes and vegetables,,,,転ぶ,ころぶ,"fall down, fall over"
毎日,まいにち,every day,やかん,やかん,kettle,さん,さん,politenes marker for a person,一家,いっか,one family,背中,せなか,back,恥ずかしい,はずかしい,shy,油揚げ,あぶらあげ,thin deep-fried slices of tofu​,,,,目眩がする,めまいがする,feel dizzy
毎晩,まいばん,every night,トースター,トースター,toaster,ちゃん,ちゃん,suffice marker for familiar person (girl),嫁,よめ,"wife, bride",お尻,おしり,"bottom, buttocks​",たわいない,たわいない,silly,お茶漬け,おちゃづけ,rice with tea poured on it​,,,,頭痛がする,ずつうがする,have a headache
,,,ストーブ,ストーブ,stove,くん,くん,suffice marker for familiar person (boy),花嫁,はなよめ,bride,臓器,ぞうき,organs,賢い,かしこい,smart,土瓶蒸し,どびんむし,food steam-boiled in an earthenware teapot​,,,,胃が痛い,いがいたい,have a stomachache
,,,掃除する,そうじする,to clean,幼い,おさない,"very young, childish",夫妻,ふさい,husband and wife,内臓,ないぞう,internal organs,強い,つよい,strong,稲荷寿司 ,いなりずし,sushi wrapped in fried tofu,,,,腰が痛い,こしがいたい,have a back pain
,,,勉強部屋,べんきょうべや,study room,坊ちゃん,ぼっちゃん,"another's son, young master",夫婦,ふうふ,"married couple, husband and wife",動脈,どうみゃく,artery,センスがいい,センスがいい,artistic,角煮,かくに,stew of cubed meat or fish ,,,,息が苦しい,いきがくるしい,feel suffocated
,,,電気スタンド,でんきスタンド,table lamp,成人,せいじん,"adult, grownup",夫人,ふじん,wife,静脈,じょうみゃく,vein,落ち着いた,おちついた,calm,酢豚,すぶた,sweet-and-sour pork,,,,苦しむ,くるしむ,be in pain
,,,引き出し,ひきだし,drawer,未成年,みせいねん,minor,奥様,おくさま,wife,血,ち,blood,カリスマ性がある,カリスマせいがある,charismatic,冷奴,ひややっこ,cold tofu,,,,鼻が詰まる,はながつまる,be stuffed up
,,,本棚,ほんだな,book shelf,老人,ろうじん,old people,主人,しゅじん,one's husband,血液,けつえき,blood,活気のある,かっきのある,energetic,吸物 ,すいもの,clear broth soup,,,,鼻を擤む,はなをかむ,blow one’s nose
