Phrase,Translation
 語らねばならない。, It must be told.
みんな練習入ってますからね。,Everyone has been practicing.
原子炉の状況を確認してくれ。,Check the status of the reactor.
助けてください 。,Please help me.
大変な事になりましたね。,That's a big deal.
確認して連絡させます。,I will have them check and contact you.
なんとしても避けたい。,I want to avoid it at all costs.
避難してください。,Please evacuate.
津波警報も出ています。,There is also a tsunami warning.
駐車場に移動しよう。,Let's move to the parking lot.
確認とれました。,We have received confirmation.
けが人も出てるはずだ。,There must have been some injuries.
降下速度を見よう。,Let's look at the rate of descent.
携帯の電源は必要なときだけ入れるように。,Turn on your cell phone only when necessary.
いつ充電できるか分からないからな。,You never know when you'll be able to recharge your batteries.
こっちは心配しないで。,Don't worry about us.
早く電気つけてって言って。,Tell them to turn on the lights quickly.
やっと離れられた。,I finally got away.
警備室を呼んでみます。,I'll call the security office.
発令されました。,It has been issued.
自分が出しました。,I put it out myself.
気づいた事なんですけれども。,I noticed something.
言葉を伝えると。,When you tell them the word.
周りからも言われるんですよね。,I've been told by people all around me.
というふうに言われます。,This is how it is said.
色々なシチュエーションがあると思うんですけれども。,I think there are many situations.
夢だったのかなと考えるとですね。,I wonder if it was a dream.
その工場によく連れて行ってくれました。,He used to take me to that factory.
よく工場には行ってたんですけれども。,I used to go to the factory often.
よく仕事の話をしてくれるんですよね。,They often talk about their jobs.
こんな新商品できたら。,If we could make a new product like this.
もしろいだろうとかですね。,I think it would be interesting.
こういうのできたら喜んでもらえるだろう。,"If we could do something like this, we would be delighted."
そういう話をしてくれたので。,"He told me those stories, so..."
子供の頃は思っていました。,I used to think that as a child.
人々が美味しいと言ってくれるような。,Like people would say it tastes good.
と宣言しました。,He declared.
ずっとそういう風に思っておりました。,I have always thought that way.
こう手を挙げて。,Raise your hand like this.
考えてもいなかったです。,I hadn't thought about it.
小さい頃からずっとスキーをしておりました。,I have been skiing since I was a small child.
その山に玄関を降りて。,Down the front porch to that mountain.
スキーの板を履いて滑って。,Put on your ski boards and slide.
リフト乗り場まで行くみたいな。,Like going to the lift station.
そういった環境だったんですけれども,I was in that kind of environment.
そういった中で育ちました。,I grew up in such a situation.
スキー推薦で進学したんですが。,I went to school on a skiing recommendation.
という様な環境ですね。,It is an environment like that.
あなたの表現が今よりもっと豊かになる。,Your expression will be richer than it is now.
あなた自身の祈りを知れば。,If you know your own prayer.
ポジティブに世界と調和すること。,Be in tune with the world in a positive way.
伝えられるようになりました。,Now I can tell.
人にどう思われたいか。,How you want people to think of you.
考えずに来たから。,Because I came here without thinking.
自分が何を伝えたいのか。,What do I want to convey?
もっといいものを作って。,Make something better.
わからなくなりました。,I don't understand anymore.
みなさんを喜ばせたい。,I want to make everyone happy.
どうしたらいいのかわからない。,I don't know what to do.
何を作ってきたのか。,What have we made?
アートってそもそも何を表現してきたのか。,What has art ever expressed in the first place?
それでわかったのが。,That's how I found out.
こういう格好を毎日しています。,I dress like this every day.
いったいどこで得たのか。,Where on earth did we get it?
感動した時の質と同じだったんですね。,It was the same quality as when I was impressed.
伝わった感動だったから。,It was the emotion that was conveyed.
そのような研究室だったわけですね。,So it was that kind of laboratory.
披露することができたらいいんじゃないか。,It would be nice to be able to showcase it.
お手伝いいただけませんか。,Can you help me?
全く知識はなかったんですが。,I had no knowledge of it at all.
まあ友達が困ってるなら助けてあげよう。,"Well, if your friend is in trouble, I'll help him."
