Script.EP1,Meaning.EP1,Script.EP2,Meaning.EP2,Script.EP3,Meaning.EP3,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
率直に言いまして,Let me be frank.,,,,,,,,,,,,,,,,,,,,,,
現状の由希奈さんの成績では 不可能です,It would be impossible with Yukina's current marks.,,,,,,,,,,,,,,,,,,,,,,
不可能とは,What do you mean?,,,,,,,,,,,,,,,,,,,,,,
全ての可能性を試して 初めて言える言葉です,"You can only use the word ""impossible"" after trying every possibility.",,,,,,,,,,,,,,,,,,,,,,
全てを試しましたか？,"So, have you tried everything?",,,,,,,,,,,,,,,,,,,,,,
最低でも 偏差値を 30上げなければなりません,"At the very least, she will have to raise her standard score by 30.",,,,,,,,,,,,,,,,,,,,,,
大ざっぱに言えば,"To put it simply,",,,,,,,,,,,,,,,,,,,,,,
あと18ヶ月で50万人を 追い抜くということです,she'll need to overtake half a million people in 18 months.,,,,,,,,,,,,,,,,,,,,,,
可能だと思いますか？,Do you think that's possible?,,,,,,,,,,,,,,,,,,,,,,
本人が行きたいと 言ってるんです,She says she wants to go. Are you just going to stomp on her dreams?,,,,,,,,,,,,,,,,,,,,,,
その芽をつむつもりですか？,Are you just going to stomp on her dreams?,,,,,,,,,,,,,,,,,,,,,,
芽すら出ていません,It's barely a pipe dream.,,,,,,,,,,,,,,,,,,,,,,
土の中で たわ言を言っているだけです,It's merely wishful thinking at this point.,,,,,,,,,,,,,,,,,,,,,,
頑張ればできる やってみろと言うのが,She can do it if she tries. Isn't it your job to tell her to try?,,,,,,,,,,,,,,,,,,,,,,
先生の務めなのでは？,Isn't it your job to tell her to try?,,,,,,,,,,,,,,,,,,,,,,
教え子に現実を知らしめ,It's my responsibility as a teacher,,,,,,,,,,,,,,,,,,,,,,
可能な範囲で行ける場所を アドバイスする それが教師の務めです,"to have my students face reality, and advise them on attainable goals.",,,,,,,,,,,,,,,,,,,,,,
逆境こそ 子供を成長させるものでしょうに,Adversity helps children grow.,,,,,,,,,,,,,,,,,,,,,,
逆境ではありません 無謀です,This is not adversity. It's reckless.,,,,,,,,,,,,,,,,,,,,,,
本人の才能と努力の両方が 足りない結果が 今の成績です ハァ…,Her current marks are a direct result of her lack of talent and effort.,,,,,,,,,,,,,,,,,,,,,,
お母さん 娘さんをあなたと 同じだと思わないでください,"Madam, please, don't assume your daughter is the same as you were.",,,,,,,,,,,,,,,,,,,,,,
人それぞれなんです,Every person is different.,,,,,,,,,,,,,,,,,,,,,,
先生の今後の働きに期待します ハァ…,I look forward to your future progress.,,,,,,,,,,,,,,,,,,,,,,
お母さん…,Mother.,,,,,,,,,,,,,,,,,,,,,,
すみません 先生,"I'm sorry, sensei.",,,,,,,,,,,,,,,,,,,,,,
白羽…,Shirahane...,,,,,,,,,,,,,,,,,,,,,,
