Number,Questions
1,現在の<b>価値</b>で株式を買い取る。
2,地域経済は大学と<b>観光</b>によって支えられている。
3,昨日<b>地元</b>のスーパーでこれを見つけました。
4,しかし魚の<b>気配</b>は全く無かった。
5,面白そうだけどなんとなく<b>怪しい</b>。
6,京都にはたくさんの<b>名所</b>がある。
7,<b>紅葉</b>の見ごろは例年10月上旬から。
8,<b>販売店</b>を通して販売しております。
9,彼は明日出発する<b>予定</b>だ。
10,その動物は肉を<b>常食</b>としている。
11,政府は物価の<b>上昇</b>を抑えた。
12,<b>利率</b>は少しずつ上昇するだろう。
13,証明書を<b>発行</b>する組織です。
14,非常口は緑の文字で<b>表示</b>してある。
15,この町に<b>住居</b>を定めることにしよう。
16,試験の<b>結果</b>が発表された。
17,冬の山は<b>危険</b>なのにどうして登るんですか。
18,東京駅へ行くにはこのバスが<b>便利</b>です。
19,この不景気では中小<b>企業</b>のみならず大企業でも経費を削る必要がある。
20,部屋が静かでなければわたしは<b>勉強</b>できません。
21,あなたに必要なものは<b>勇気</b>である。
22,知事の<b>演説</b>がその雑誌で発表された。
23,
24,
25,
26,
27,
28,
29,
30,
