Character.1,Script.1,Translation.1
しゃいん,ネルソン様ですね。鈴木様よりメッセージですが。,"Mr. Nelson, right? I have a message from Mr. Suzuki."
ネルソン,ああ。そうですか。何でしょうか。,Oh. I see. What is it?
しゃいん,あいにく急用がお出来になって、空港には迎えにいらっしゃれないそうです。,"Unfortunately, he had some urgent business and could not be picked up at the airport."
ネルソン,そいですか。わかりました。,Is that so? I understand.
しゃいん,それで、新宿行きのリムジンバスに乗ってくださいとのことです。,"So, he asked me to take the limousine bus to Shinjuku."
しゃいん,あちらでお会いになるそうです。, They will meet you over there.
ネルソン,はい。どこでバスに乗れますか。,Yes. Where can I catch a bus?
しゃいん,はい。税関を出たところで切符を買ってください。,Yes. I have a ticket. Buy your ticket as you exit customs.
しゃいん,その外側ですぐ乗れます。,You can board right outside of it.
ネルソン,ありがとうございました。,Thank you very much.
ネルソン,すみません。誰か座っていますか。,Excuse me. Is anyone sitting?
やまだ,いい、だれも。どうぞ。,"No, no one. Go ahead."
ネルソン,どうも。新宿までどのぐらいかかりますか。,Thank you. How long does it take to get to Shinjuku?
やまだ,そうですね。1時間半ぐらいでしょう。ホテルはどこですか。,"Well, about an hour and a half. Where is your hotel?"
ネルソン,新宿ヒルトンです。,Shinjuku Hilton.
やまだ,ああ、あのヒルトンは便利でいいですね。,"Oh, that Hilton is nice and convenient."
やまだ,ちょっと高いですが、何にでも近いですから。,"It's a bit expensive, but it's close to everything."
ネルソン,なるほど。,I see.
やまだ,失礼ですが、日本へは仕事ですか。,"Excuse me, but are you going to Japan on business?"
ネルソン,ええ、転勤です。,"Yes, I am transferring."
やまだ,じゃあ、日本支社にお勤めですか,So you work in the Japan office?
ネルソン,はい、来週から始めます。,"Yes, I start next week."
やまだ,どういう関係のお仕事ですか。,What kind of work do you do?
ネルソン,コンピュータですが。,I work in the computer industry.
やまだ,そうですか。実は私もコンピュータの仕事をしているんです。,"I see. Actually, I work with computers too."
やまだ,これ私の名刺です。何かありましたら、どうぞ。,"Here is my business card. If you need anything else, please feel free to contact me."
ネルソン,はい。山田さんですね。よろしく。ネルソンと言います。これは私のです。,"Yes, I am. You must be Yamada-san. Nice to meet you. My name is Nelson. This is mine."
すずき,やあ、ネルソンさんようこそ。,"Hi, Mr. Nelson, welcome."
すずき,空港迎えにいけなく失礼しました。,I'm sorry I wasn't able to pick you up from the airport.
ネルソン,ええ、時差の関係でちょっと疲れました。,"Yes, I was a little tired because of the time difference."
すずき,実は夕食でも、と思っていたんですが。,"Actually, I was thinking of having dinner."
ネルソン,そうですか。じゃあ、そんなに疲れていません。ぜひ、お願いします。,"I see. Then I am not that tired. By all means, please."
すずき,それじゃあ、チェックインして少し休んでください。,"Well then, check in and get some rest."
クラアク,いらっしゃいませ。,Welcome.
ネルソン,ネルソンですが。先月の初め頃予約しました。,Nelson. I made a reservation around the beginning of last month.
クラアク,少々お待ちください。シングルで四泊のご予約ですね。,Please wait a moment. You have reserved a single room for four nights.
クラアク,ここにご住所とお名前おお願いします。,Please provide your name and address here.
ネルソン,嫌煙室がありますか。,Is there a non-smoking room?
クラアク,はい、ございます。七階ですが、よろしいですか。,"Yes, there is. The seventh floor, is that ok?"
ネルソン,ええ。それから滞在がもっと長くなるかもしれないんですが。,"Yes. Then again, my stay could be longer."
クラアク,そうですか。何泊ぐらいですか。,I see. How many nights?
ネルソン,まだはっきりわかりませんが。多分に、3日です。,"I am not sure yet. Maybe, 3 days."
クラアク,お早めにお知らせくださいい。用意しておきますから。,Please let us know as soon as possible. We'll have it ready for you.
ネルソン,よろしく。,Thank you very much.
クラアク,ここにサインおお願いします。。,Please sign here.
ネルソン,これでいいですか。,Is this okay?
クラアク,はい。クレジットカードでお支払いですね。,"Yes, I have it. You are paying by credit card, right?"
ネルソン,ええ、これどうぞ。,"Yes, here you go."
