Script.EP1,Meaning.EP1,Script.EP2,Meaning.EP2,Script.EP3,Meaning.EP3,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
こんばんは こんばんは,Good evening. Good evening.,,,,,,,,,,,,,,,,,,,,,,
テラスハウスは 見ず知らずの男女６人が,"Terrace House is a show about six strangers living together,",,,,,,,,,,,,,,,,,,,,,,
共同生活する様子を ただただ 記録したものです,"Terrace House is a show about six strangers living together, and we observe how they interact.",,,,,,,,,,,,,,,,,,,,,,
用意したのはステキなおウチと ステキな車だけです,All that we've prepared is a beautiful home and automobiles.,,,,,,,,,,,,,,,,,,,,,,
台本は一切ございません はい,There is no script at all. -Yes.,,,,,,,,,,,,,,,,,,,,,,
ついに 今夜から 長野県軽井沢を舞台にした テラスハウスの新シーズン,"Tonight, we finally begin our new season set in Karuizawa, Nagano,",,,,,,,,,,,,,,,,,,,,,,
TERRACE HOUSE OPENING NEW DOORSが スタートします,Terrace House: Opening New Doors!,,,,,,,,,,,,,,,,,,,,,,
帰ってきましたね 帰ってきた,"We're back. Yes, we are.",,,,,,,,,,,,,,,,,,,,,,
もう寂しくて 寂しくて ねえ,I've missed it. Right?,,,,,,,,,,,,,,,,,,,,,,
このあたり通るたびに “テラハ始まらへんかな”と 思いながら 俺…,"Every time I walk by here, I think, ""I hope Terrace House will start soon.""",,,,,,,,,,,,,,,,,,,,,,
やった やった 帰ってきました,Yay! We're back.,,,,,,,,,,,,,,,,,,,,,,
そして スタジオには 新メンバーをお迎えしています 俳優の 葉山奨之さんです,"We also have a new member in the studio, the actor, Shono Hayama. Welcome.",,,,,,,,,,,,,,,,,,,,,,
よろしく お願いします,Thank you. Welcome.,,,,,,,,,,,,,,,,,,,,,,
葉山君 かわいいな,Hayama. He's so cute.,,,,,,,,,,,,,,,,,,,,,,
すごいテラスハウスとか 見てたんでしょ？ 僕 見てましたね,"You've been watching the show, right? I have. It's awesome.",,,,,,,,,,,,,,,,,,,,,,
もう高校１年生ぐらいから 多分 第１シーズンが始まって,Since I was in high school when the first season aired.,,,,,,,,,,,,,,,,,,,,,,
マジか,Seriously?,,,,,,,,,,,,,,,,,,,,,,
学校で見てないと ついて行けないんで,It was a trend at school. You couldn't fit in otherwise.,,,,,,,,,,,,,,,,,,,,,,
友達ができなくなるから テラスハウスを見るっていうので,"You had to watch the show, or you wouldn't have friends.",,,,,,,,,,,,,,,,,,,,,,
すごい ドリフターズ的な,Amazing. Like the Drifters for us.,,,,,,,,,,,,,,,,,,,,,,
本当ですね そうですよ,"That's right. Yes, that's amazing.",,,,,,,,,,,,,,,,,,,,,,
すごいですよ もう学校中が見てましたね へえ,"Yes, everyone at school watched.",,,,,,,,,,,,,,,,,,,,,,
ハワイ編も見てくれた？ ハワイ編も見てました 本当？,"The Hawaii season, too? Yes, of course.",,,,,,,,,,,,,,,,,,,,,,
えっ じゃあ 大志とかに対しては？,Really? How did you feel about Taishi?,,,,,,,,,,,,,,,,,,,,,,
あっ もう僕は どちらかというと嫌いですね,I didn't really like him.,,,,,,,,,,,,,,,,,,,,,,
やっぱ ほら そういう目に遭っちゃう,See? That's how it is. Really?,,,,,,,,,,,,,,,,,,,,,,
そうなの？ ギルティー？ 頭おかしい,Really? Mr. Guilty? There's something wrong with him.,,,,,,,,,,,,,,,,,,,,,,
