Pattern,Meaning,Similar,Sentence,Translation
Vta mono da,Used to do,Yoku Vshita,この公園で遊んだものだ。,We used to play in this park.
Vte bakari iru,Only do・Nothing  but do,Vdake o suru,食べてばかりいるから太ろんですよ。,You did nothing but eat that’s why you’re fat.
Vte kurete arigatou,Thank you for doing this,Expression,手伝ってくれてありがとう。,Thanks for helping.
Vcha ikenai,Can’t do this,Vte wa ikenai,ここは写真を撮っちゃいけないんだよ。,You're not allowed to take photos here.
Vchau,Do completely・Happens accidentally・Occurs incidentally,Vte shimau,全部食べちゃおうか。,Shall we eat it all?
Vtoku,Do in advance・Do for future convenience,Vte oku,荷物はそこへ置いといて,Leave your luggage there.
Darou to omou,I think it’s probably,Tabun.. to omou,あんなやり方ではうまくいかないだろうと思う。,I don't think it would work that way.
Vyou to omou,I think I will,Volition,今年は日本語能力試験のN3を受けようと思います。,This year I think I will take the N3 Japanese Language Proficiency Test.
Vru tsumori datta,I intend to do,Vru yotei datta,行くつもりでしたが。,"I was going to go, but.."
N no koto,Matters concerning the,Nominalized,明日の面接試験のことが気になって眠れない。,I can't sleep because I'm worried about tomorrow's interview test.
Vte mo,Even・Even though・Despite of,De mo,疲れていても練習は休みません。,We don't take a break from practice even when we are tired.
Vzuni・Vsezuni,Without doing,Vshinaide,準備運動をせずに泳ぐと危険です。,Swimming without warm up exercises is dangerous.
Vru na,Don’t do,Vte wa ikenai,危ない! 飛び出すなって書いてあるんだよ。,Watch out! Don't jump out! It says.
Ka na-a,I wonder,Ka dou ka wakaranai,雨、降るかなあ。,I wonder if it will rain.
Nai ka na-a,I wonder if its not・I worry if it is,Nai ka dou ka shinpai,雨、降らないかなあ。,I wonder if it will rain.
Vte hoshii,I want someone to,Wants・Desire,国へ帰っても私達のことを忘れないでほしい。,I hope you will not forget us even when you return to your country.
Vnai you ni,In order not to,Vru to komaru kara,風邪がうつらないようにマスクをします。,Wear a mask so that the cold does not spread.
N sae・N de sae,Even・Even with,N mo・N de mo,忙しくて寝る時間さえないのに遊びに行けるわけがない。,I'm so busy that I don't even have time to sleep let alone going out to hang out.
