Script.EP1,Meaning.EP1,Script.EP2,Meaning.EP2,Script.EP3,Meaning.EP3,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
おっ こんにちは あれ？,Hello. Huh?,おっ こんにちは あれ？,Hello. Huh?,,,,,,,,,,,,,,,,,,,,
商店街から 一本入った路地にある その居酒屋には…,In the alley next to the shopping street is a Japanese izakaya-style pub…,商店街から 一本入った路地にある その居酒屋には…,In the alley next to the shopping street is a Japanese izakaya-style pub…,,,,,,,,,,,,,,,,,,,,
どうも ありがとうございました,Thank you.,どうも ありがとうございました,Thank you.,,,,,,,,,,,,,,,,,,,,
物騒な名前が入った のれんが掛けられている,That has an unsettling name on its shop curtain.,物騒な名前が入った のれんが掛けられている,That has an unsettling name on its shop curtain.,,,,,,,,,,,,,,,,,,,,
しかし 勇気を持ってくぐった者は 気づくだろう,"However, those who have the courage to enter will come to realize",しかし 勇気を持ってくぐった者は 気づくだろう,"However, those who have the courage to enter will come to realize",,,,,,,,,,,,,,,,,,,,
うまい酒とおいしい料理,that this place has good drinks and good food.,うまい酒とおいしい料理,that this place has good drinks and good food.,,,,,,,,,,,,,,,,,,,,
あっ いらっしゃい そして優しい人たちが ここにいることを…,And the company of warm-hearted people. -Welcome.,そして優しい人たちが ここにいることを… ,And the company of warm-hearted people. -Welcome.,,,,,,,,,,,,,,,,,,,,
いらっしゃい,Welcome.,いらっしゃい,Welcome.,,,,,,,,,,,,,,,,,,,,
あっ じゃあ カウンターどうぞ,Have a seat at the counter.,あっ じゃあ カウンターどうぞ,Have a seat at the counter.,,,,,,,,,,,,,,,,,,,,
どうぞ,Please come in.,どうぞ,Please come in. Just a moment.,,,,,,,,,,,,,,,,,,,,
はい コート お預かりしますね,I'll take your coat.,はい コート お預かりしますね,I'll take your coat.,,,,,,,,,,,,,,,,,,,,
この店の店主だった父は よく言っていた,My father who used to own this pub would often say…,私ですか 美音美音なんです 美音です 美音です ん？,Let me out. I'm Mine…,,,,,,,,,,,,,,,,,,,,
どこの家庭でも 出てくるような料理で,"We serve food that can be found in any household,",美音ちゃん,Mine?,,,,,,,,,,,,,,,,,,,,
金取ってる うちの店は もう それだけでぼったくりだ,"We serve food that can be found in any household, and that in itself makes us a rip-off, a bottakuri.",美音ちゃん 美音美音ちゃん,Mine? -Mine-Mine? -Huh?,,,,,,,,,,,,,,,,,,,,
でもな 美音 たとえ ありきたりの料理でもな,"But Mine, even though they may be common recipes,",ん？ みみみみ…,Mine-Mine? -Huh? Mi-mi-mi-mi-ne-ne-ne.,,,,,,,,,,,,,,,,,,,,
一つ一つ丁寧に心込めて作んだ,cook every single dish with all your heart.,ねねねね… ちゃ～ん,Mi-mi-mi-mi-ne-ne-ne.,,,,,,,,,,,,,,,,,,,,
料理食べた人が 思わず笑みを浮かべるような一皿,A dish that unexpectedly brings smiles to people's faces…,はーい フフフ…,Yes?,,,,,,,,,,,,,,,,,,,,
それができて初めて,"Once you can make that,",今度 ニンジンの葉っぱ 食べさせて,Let me have carrot leaves next time.,,,,,,,,,,,,,,,,,,,,
払った金 惜しくねえって 客が思ってくれるようになんだ,our customers will not regret the money they spend.,アキさん ニンジンの葉っぱが 食べたいの？,"Aki, you want to eat the carrot leaves?",,,,,,,,,,,,,,,,,,,,
でも まだ父さんは そこまでじゃない,But I haven't reached that point yet.,うん… 油で炒めて,Yes. I want it stir-fried with sugar and soy sauce so it's sweet and spicy,,,,,,,,,,,,,,,,,,,,
だから この店の名前は “ぼったくり”でいいんだよ,That's why Bottakuri is the right name for this place.,おしょうゆと お砂糖で 甘辛～く味付けて,I want it stir-fried with sugar and soy sauce so it's sweet and spicy,,,,,,,,,,,,,,,,,,,,
美音坊 一番高い酒くれ！,"Mine-bo, pour me your best sake!",ゴマをたっぷり振ったやつ,with a lot of sesame seeds!,,,,,,,,,,,,,,,,,,,,
トクさん いらっしゃい,"Welcome, Toku.",はいはい 炊きたてご飯と一緒に… でしょ？,"I know it. It goes so well with freshly cooked rice, right?",,,,,,,,,,,,,,,,,,,,
いらっしゃい カウンターどうぞ,Welcome. Have a seat at the counter.,そう！　そうなの！ やっぱり分かってるわ～,"Yes, that's the one! You sure know your cooking.",,,,,,,,,,,,,,,,,,,,
おいおい おいおい 殴り込みじゃねえんだからさ 現場で何かあったのかい？,"Hey now, don't come in throwing fists. Did something happen at work?",あれ おいしいよね うん！ でも 食べたことある人 意外と少ないかも あれ,"I love it, too. But not a lot of people have had it.",,,,,,,,,,,,,,,,,,,,
あ？ “あ？”じゃないよ,Huh? Don't give me that. You really look like you could blow off some stream.,そうだよね すっごく貧乏くさいもん,True. It's a poor family's dish.,,,,,,,,,,,,,,,,,,,,
何だよ 憂さ晴らししたくて しょうがねえって顔してるよ,Don't give me that. You really look like you could blow off some stream.,アキさんの思い出の味なの？,Is it a memorable dish of yours?,,,,,,,,,,,,,,,,,,,,
じゃあ “ぼったくり”の 名にふさわしく 一番高いお酒で ぱーっと…,"Well then, true to our Bottakuri namesake, I shall get you the most expensive drink…",うーん お母さんの味 もう死んじゃったけど…,It's my mom's cooking. She's passed away though.,,,,,,,,,,,,,,,,,,,,
と言いたいところですが,Is what I would like to say but…,季節の変わり目にね よく豚汁を作ってくれて…,"At the change of seasons, she'd often cook tonjiru for me.",,,,,,,,,,,,,,,,,,,,
何だ 美音坊 “言いたいところですが”ってよ,"Why do you have to say it like that, Mine-bo?",そのニンジンに葉っぱが ついてたんだろうなあ,The carrots she used probably had leaves on them.,,,,,,,,,,,,,,,,,,,,
今日のおすすめには 違うお酒のほうが合いそうなんです,I believe a different drink will pair better with today's special.,おいしかったな,It was so good.,,,,,,,,,,,,,,,,,,,,
おっ おでんか,"Oh, it's oden.",豚汁と炊きたてのご飯と ニンジンの葉っぱ,"Tonjiru, freshly cooked rice and carrot leaves.",,,,,,,,,,,,,,,,,,,,
ああ 今日は寒の戻りって 感じだから いいかもね,It got cold all of a sudden again so that sounds good.,自分で作ったりしないの？,Don't you cook it yourself?,,,,,,,,,,,,,,,,,,,,
うん 熱いおでんを 頂こうじゃねえの,"Yes, I'll have the hot oden please.",ニンジンの葉っぱなんて 売ってるの見たことないよ,I can't find carrot leaves at the store.,,,,,,,,,,,,,,,,,,,,
はい はい 俺も,"Sure. -Me, too.",そっか そこからか…,"Right, you have to start there.",,,,,,,,,,,,,,,,,,,,
はい じゃあ お酒はどうします？,Yes. What are you drinking?,美音ちゃんなら 作ってくれるかなあってさ,"I was hoping you would make it for me, Mine.",,,,,,,,,,,,,,,,,,,,
美音坊に お任せだ,I'll leave it up to you.,じゃあ今度 葉っぱつきのニンジン 仕入れておくね,Then I'll buy carrots with leaves next time.,,,,,,,,,,,,,,,,,,,,
分かりました,Okay.,あ･り･が･と～,Thank you.,,,,,,,,,,,,,,,,,,,,
来ましたよっと,Here it is.,どういたしまし… て～！,You are… Welcome! -Welcome!,,,,,,,,,,,,,,,,,,,,
おでんもどうぞ おおっ,Here is your oden. -Whoa.,うん もう少し飲む？,Do you want some more?,,,,,,,,,,,,,,,,,,,,
おお これ… うまそうじゃねえかよ え？,"Oh wow, it looks so good. Wow.",ん～ 大丈夫 うん スペシャル茶漬け お願い,I'm good. Could I have the special ochazuke?,,,,,,,,,,,,,,,,,,,,
はいはい じゃあ はい いただきやす,"Okay then, let's dig in.",はいはい だしをうんと熱くしましょうね,"Sure, I'll make it with steaming hot dashi.",,,,,,,,,,,,,,,,,,,,
