Sentence,Translation,Verb,Reading,Meaning
老人は過去を振り返りがちである,Old people are inclined to look back on the past,過去,かこ,the past
私たちの通った列車は長いトンネルを通過した,Our train went through a long tunnel,通過,つうか,"passing through, pass"
もう１０時過ぎだ,It's already past ten o'clock,過ぎ,すぎ,"past, after, too much"
私は自分の過失を認めます,I acknowledge my mistake,過失,かしつ,"accident, error, blunder, fault, defect"
その車は制限速度を超過している,The car is exceeding the speed limit,超過,ちょうか,"excess, being more than"
今日もまた寂しい一日が過ぎる,Another lonely day,過ぎる,すぎる,"pass through, go beyond, elapse, exceed, too much"
彼が出発して３時間半が経過した,Three and a half hours have passed since he left,経過,けいか,"passage, elapse, progress"
彼は過労が原因で病気になった,He got sick from overwork,過労,かろう,"overwork, strain"
行き過ぎを思えるほど賞賛される,"The more it seems to go too far, the more it is admired",行き過ぎ,いきすぎ,"going too far, going to extremes"
大統領は投票の過半数をもって選ばれる,The president shall be selected by majority vote,過半数,かはんすう,majority
学習にやさしい過程などない,There is no easy process of learning,過程,かてい,"process, course, mechanism"
君は休暇をどこで過ごすつもりですか,Where are you going to spend the vacation?,過ごす,すごす,"pass, spend, overdo"
その条件は過酷だ,The conditions are harsh,過酷,かこく,"severe, harsh, hard, cruel, rigorous"
君の提案は少し過激だ,Your proposal is a bit extreme,過激,かげき,"extreme, radical"
僕はその問題を黙って見過ごすわけにはいかない,I cannot silently overlook this problem,見過ごす,みすごす,"to let go by, to let pass, to overlook"
画家と言っても過言ではない,It is no exaggeration to say that he is a painter,過言,かごん,"exaggeration, overstatement"
教授は私の研究を励ましてくれた,The professor encouraged me in my studies,励ます,はげます,"encourage, cheer"
富士山頂から御来光を見る,Watching the sunrise from the top of Mt. Fuji,御来光,ごらいこ,sunrise from top of a mountain
彼とは初対面です,This is my first time meeting him,対面,たいめん,meeting face-to-face
彼はその会に社長の代理で出席した,He attended the meeting as deputy president,代理,だいり,"represent, agent, proxy, substitute"
この報道は公式のものだ,This news is official,公式,こうしき,"official, formal, formula"
その物語は伝説に基づいている,The story is founded on tradition,伝説,でんせつ,"tradition, legend, folklore"
無人水中機を使うのです,They use unmanned underwater machines,無人,むじん,"unmanned, uninhabited, unattended, deserte"
彼が来てくれるだろうと期待していた,I expected that he would come,期待,きたい,"expectation, anticipation, hope"
検針係は定期的にガスのメーターを調べに来る,Meter readers come regularly to check gas meters,定期,ていき,"fixed period, fixed term, periodic"
鳥が翼をはばたかせた,The bird flapped its wings,羽ばたく,はばたく,"to flap, go out into the world"
どの規則にも例外がある,There is an exception to every rule,規則,きそく,"rule, regulation"
正規分布である,It is normally distributed,正規,せいき,"regular, normal, formal, legal"
その規制はこのケースには適用されない,The rule doesn't apply in this case,規制,きせい,"regulation, control, restriction"
この学校は規律がやや緩やかだ,Discipline is rather mild at this school,規律,きりつ,"order, observance, discipline, rules"
私たちは規範を変えなければなりません,We must change our norms,規範,きはん,"model, standard, pattern, norm"
僕は事業を大規模に営んでいる,I am doing business on a large scale,大規模,だいきぼ,large-scale
新しい規約は全会一致で承認された,The new regulations were confirmed by the full committee,規約,きやく,"agreement, rules, code, protocol"
敵軍は首都の周囲を塹壕で固めていた,The enemy was entrenched all around the capital,塹壕,ざんごう,"trench, dugout"
インターネットサイトにて配信する予定です,It will be distributed on the Internet site,配信,はいしん,"distribution, broadcast, streaming"
精密検査をしましょう,I'd like you to have a thorough examination,精密,せいみつ,"precise, exact, detailed, accurate"
その問題は我々の日常生活に密着している,The problem closely relates to our everyday life,密着,みっちゃく,"close adhesion, sticking firmly, relating closely to"
最高度の機密性を保つこと,Maintain the highest degree of confidentiality,機密,きみつ,"secrecy, highly classified information"
おいしいジャムを作る秘訣を教えてください,Please tell me the secret to making good jam,秘訣,ひけつ,"secret method, key, trade secret, recipe, trick"
この神秘を解いたものはいますか,Has anybody solved this mystery?,神秘,しんぴ,"mystery, mysteriousness, secret"
この話は内緒にしておこう,Let's keep this matter between ourselves,内緒,ないしょ,"secrecy, confidentiality, privacy, secret"
あえて彼の意見を支持した,I dared to support his opinion,敢えて,あえて,"purposely, deliberately, intentionally, daringly"
君はあくまでも約束を守らなければならない,You must stick to your promise,飽くまでも,あくまでも,"to the last, persistency, thoroughness"
問題はどこにテントを張るかだった,The problem was where to set up the tent,張る,はる,"stick, paste, affix, spread, put up, stretch, post"
