Script.EP1,Meaning.EP1,Script.EP2,Meaning.EP2,Script.EP3,Meaning.EP3,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
全然 見えない 私も見えませんよ,I can't see him at all. I can't see him either.,,,,,,,,,,,,,,,,,,,,,,
表情も見えないし,I can't see their expressions either.,,,,,,,,,,,,,,,,,,,,,,
声だけって めちゃめちゃ不思議っすね,It's so strange to hear only voices.,,,,,,,,,,,,,,,,,,,,,,
現実なのか 何なのか,I wonder if it's real or not.,,,,,,,,,,,,,,,,,,,,,,
普通の恋愛ではないですもんね," It's not a normal relationship, is it?",,,,,,,,,,,,,,,,,,,,,,
はあ マジか,"Oh, seriously?",,,,,,,,,,,,,,,,,,,,,,
ええ？ 待って 分からんくなってきた マジで,"Really? Wait, I don't understand. Seriously.",,,,,,,,,,,,,,,,,,,,,,
私は この人が気になるなって思ったし 会いたいしさ,"I'm interested in this guy, and I want to meet him.",,,,,,,,,,,,,,,,,,,,,,
僕の目が 見えなくなってもあなたに恋をする,"Even if I'm blind, I'll still fall in love with you.",,,,,,,,,,,,,,,,,,,,,,
めっちゃ不思議じゃない？ 顔 見てないのにさ はあ… めっちゃ好きみたいな,"Isn't it so strange? Even though I can't see your face, I'm in love with you.",,,,,,,,,,,,,,,,,,,,,,
すごい,That's amazing.,,,,,,,,,,,,,,,,,,,,,,
すごいステキ,That's so cool.,,,,,,,,,,,,,,,,,,,,,,
あっ ジェンガある,"Oh, there's Jenga.",,,,,,,,,,,,,,,,,,,,,,
目から入ってくる 情報で判断しがち？,Do you tend to judge by what you see?,,,,,,,,,,,,,,,,,,,,,,
そうじゃなく ところで つながれる ところで…,"No, it's not like that, it's like, by the way, it's like, by the way...",,,,,,,,,,,,,,,,,,,,,,
出会えたら それは,"If we meet, it's...",,,,,,,,,,,,,,,,,,,,,,
かけがえのない関係かもと 思って,I thought it might be an irreplaceable relationship.,,,,,,,,,,,,,,,,,,,,,,
はじめまして カオルです,Nice to meet you. I'm Kaoru.,,,,,,,,,,,,,,,,,,,,,,
えっと… 31歳で音楽やってます,I'm 31 years old and I'm a musician.,,,,,,,,,,,,,,,,,,,,,,
やっぱり 今まで,I've never...,,,,,,,,,,,,,,,,,,,,,,
外見なしに 恋愛してきた 経験もないし,I've never been in a relationship without being good-looking.,,,,,,,,,,,,,,,,,,,,,,
でも こう 長期的に見たら,But in the long run...,,,,,,,,,,,,,,,,,,,,,,
やっぱり その 外見っていうのは う～ん… 一番 大事なものでは やっぱりないし,I don't think looks are the most important thing.,,,,,,,,,,,,,,,,,,,,,,
運命の人 見つけたいです,I want to find the man of my dreams.,,,,,,,,,,,,,,,,,,,,,,
めっちゃキレイ,You're so beautiful.,,,,,,,,,,,,,,,,,,,,,,
エヘヘッ マジで？ おおっ ハハハハッ,"Seriously? Oh, hahahaha",,,,,,,,,,,,,,,,,,,,,,
おお すげえ トランプもある ヤバッ,"Oh, wow, great, there's cards too. Oh, shit.",,,,,,,,,,,,,,,,,,,,,,
見た目で何か,"I don't know, it's just a look.",,,,,,,,,,,,,,,,,,,,,,
タイプがこうとかって 言うより 何かその…,It's not about what type of guy you like...,,,,,,,,,,,,,,,,,,,,,,
ホントに内面的に こう 相手のことを めっちゃ好きになれたら,If you really like someone on the inside...,,,,,,,,,,,,,,,,,,,,,,
それこそもう 運命の出会いですよね,Then you've met your match.,,,,,,,,,,,,,,,,,,,,,,
シュンタロウです よろしくお願いします （男性たち）お願いします,I'm Shuntero. It's nice to meet you. -Nice to meet you.,,,,,,,,,,,,,,,,,,,,,,
いや もう運命があればね 誰とでもいいかなと 思いますよね,"If it's fate, I don't care who it is.",,,,,,,,,,,,,,,,,,,,,,
かわいいと思って つきあったら 中身,I've experienced what it's like to be with someone you think is cute... and then find out they're scary.,,,,,,,,,,,,,,,,,,,,,,
恐ろしかったっていう 経験をしてますので,I've experienced that it can be scary.,,,,,,,,,,,,,,,,,,,,,,
それから 自分自身のことを,And when I think about myself.,,,,,,,,,,,,,,,,,,,,,,
考えた時に とかく あれこれ考えては,I tend to make mistakes when I think about myself.,,,,,,,,,,,,,,,,,,,,,,
失敗するタチなので,I tend to make mistakes.,,,,,,,,,,,,,,,,,,,,,,
ちょうどいいかなと 思ってね,I thought it would be a good idea.,,,,,,,,,,,,,,,,,,,,,,
どうも こんにちは  こんにちは,Hello. Hello. Hello.,,,,,,,,,,,,,,,,,,,,,,
こんにちは,Hello. Hello.,,,,,,,,,,,,,,,,,,,,,,
ラブ･イズ･ブラインド ジャパン」に ようこそ,Hello. Hello. Welcome to Love is Blind Japan.,,,,,,,,,,,,,,,,,,,,,,
ご参加いただいて ホントにありがとうございます,Thank you so much for joining us.,,,,,,,,,,,,,,,,,,,,,,
あの 我々… 緊張する,We're... nervous.,,,,,,,,,,,,,,,,,,,,,,
ものすごく 緊張してたんですけど,We were extremely nervous.,,,,,,,,,,,,,,,,,,,,,,
皆さんのほうが リラックスなさって,But you all seemed more relaxed.,,,,,,,,,,,,,,,,,,,,,,
お話ししてくださってたんで ちょっと安心しました,I'm relieved to see that you were more relaxed.,,,,,,,,,,,,,,,,,,,,,,
お話ししてくださってたんで ちょっと安心しました 安心しましたね,You made me feel a little relieved.,,,,,,,,,,,,,,,,,,,,,,
なんで応募しようと 思ってくれたんですか？,What made you decide to apply?,,,,,,,,,,,,,,,,,,,,,,
面食いの 傾向があって,I tend to be picky.,,,,,,,,,,,,,,,,,,,,,,
おお,Oh.,,,,,,,,,,,,,,,,,,,,,,
大丈夫ですか？ どうしましょう,Are you okay? I don't know.,,,,,,,,,,,,,,,,,,,,,,
結婚に どういうことを 求めてらっしゃいます？,What are you looking for in a marriage?,,,,,,,,,,,,,,,,,,,,,,
僕 アフリカ 行ってるんですけど,I'm going to Africa.,,,,,,,,,,,,,,,,,,,,,,
アフリカ？,Africa?,,,,,,,,,,,,,,,,,,,,,,
あの アフリカに 連れて帰りたいです,I want to take you back to Africa.,,,,,,,,,,,,,,,,,,,,,,
すごい,That's great!,,,,,,,,,,,,,,,,,,,,,,
それでは この番組の ルールを説明させていただきます,Let me explain the rules of the show.,,,,,,,,,,,,,,,,,,,,,,
「ラブ･イズ･ブラインド」では 外見ではなく,In Love is Blind.,,,,,,,,,,,,,,,,,,,,,,
心のつながりだけで 結婚相手を,We want you to find the man you're going to marry based solely on the connection between your hearts.,,,,,,,,,,,,,,,,,,,,,,
見つけていただきたいと思います 見つけていただきたいと思います はい,We want you to find the man you're meant to marry.,,,,,,,,,,,,,,,,,,,,,,
皆さんには これから10日間 男性は こちら側で,"So, for the next 10 days, we're going to be asking you, men, to stay on this side of the wall...",,,,,,,,,,,,,,,,,,,,,,
で 女性は 壁の向こう側で 過ごしていただきます,And the women will be on the other side of the wall.,,,,,,,,,,,,,,,,,,,,,,
女性と交流 つまり デートができるのは,"And by ""beyond the walls,"" I mean ""on the other side of the walls,",,,,,,,,,,,,,,,,,,,,,,
こちらにあるですね “ＰＯＤＳ”と呼ばれる 個室のみになります,"The only place where you can interact with women, in other words, date women, is in these private rooms called ""PODS.""",,,,,,,,,,,,,,,,,,,,,,
壁で隔たれまして 相手の姿を⸺ 見ることは 皆さん できません,"You will be separated by a wall, so you will not be able to see the person you are dating.",,,,,,,,,,,,,,,,,,,,,,
壁の向こうから 聞こえる声を頼りに 心のつながりを 深めていただきたいと 思っています,We hope that you will be able to deepen your connection with the voices coming from behind the walls.,,,,,,,,,,,,,,,,,,,,,,
そして ＰＯＤＳでの デートを重ねて,And after a few more dates at PODS.,,,,,,,,,,,,,,,,,,,,,,
一生の伴侶だと 思える方が 決まりましたら,"And after a series of dates at PODS, if you decide on the person you think will be your partner for life...",,,,,,,,,,,,,,,,,,,,,,
プロポーズを していただきます,I'd like you to propose.,,,,,,,,,,,,,,,,,,,,,,
どうします？ どうします？,What are you going to do? What do we do?,,,,,,,,,,,,,,,,,,,,,,
いや つらつらと ルール説明してますけど これ,"Well, I'm explaining the rules to you, but...",,,,,,,,,,,,,,,,,,,,,,
すごいことですからね すごいことですよ,It's a big deal. It's a big deal.,,,,,,,,,,,,,,,,,,,,,,
一生のことだからね,It's a lifetime commitment.,,,,,,,,,,,,,,,,,,,,,,
ええ 見事 婚約がですね 成立すれば,"Yes, if the engagement is successful.",,,,,,,,,,,,,,,,,,,,,,
そのパートナーと,You'll meet your partner,,,,,,,,,,,,,,,,,,,,,,
初めて 会うことができると,You'll meet your partner for the first time.,,,,,,,,,,,,,,,,,,,,,,
ええ ステキな婚約者と 対面を果たしましたら,"Yes, once you've met your wonderful fiancée.",,,,,,,,,,,,,,,,,,,,,,
そのあと ３週間の 同棲生活を経て,After three weeks of cohabitation.,,,,,,,,,,,,,,,,,,,,,,
いよいよ 結婚式を 迎えることになります,"Then, after three weeks of cohabitation, the wedding will finally take place.",,,,,,,,,,,,,,,,,,,,,,
ちょっともう 辞退しますって方 いらっしゃいますか？,Is there anyone out there who's ready to turn it down for a minute?,,,,,,,,,,,,,,,,,,,,,,
大丈夫ですか？,Are you okay with that?,,,,,,,,,,,,,,,,,,,,,,
でも 何か 妄想できて,But I'm imagining something.,,,,,,,,,,,,,,,,,,,,,,
楽しいかもしれない 前向き,It might be fun.,,,,,,,,,,,,,,,,,,,,,,
まあ こんなことでもないと,"Well, it has to be something like this.",,,,,,,,,,,,,,,,,,,,,,
結婚しないんじゃ ないかな,I don't think she'll get married unless it's like this.,,,,,,,,,,,,,,,,,,,,,,
でも 何か すごい優しい笑顔の方やから…,But she has such a kind smile...,,,,,,,,,,,,,,,,,,,,,,
でも 笑顔 見れないもん そうなんですよね,But I can't see her smile.,,,,,,,,,,,,,,,,,,,,,,
笑顔 見れない お相手がね 見れないから,"I can't see her smile, and I can't see the other person's, either.",,,,,,,,,,,,,,,,,,,,,,
どんな質問したら 分かるんだろう 私 絶対,I wonder what kind of questions I should ask her.,,,,,,,,,,,,,,,,,,,,,,
聞こうと思ってるのが バスタオルの使用頻度,I'm definitely going to ask her how often she uses the bath towels.,,,,,,,,,,,,,,,,,,,,,,
ああ,Right.,,,,,,,,,,,,,,,,,,,,,,
お金をかける価値が あるものが その人にとって 何かっていうのを知りたい,I want to know what's worth spending money on.,,,,,,,,,,,,,,,,,,,,,,
私は もう体験なんですよ 物とか物質な物よりも,"For me, it's an experience, not an object or a material thing.",,,,,,,,,,,,,,,,,,,,,,
じゃあ いくら 立派な ダイヤ買いますよって,"Then, no matter how many fine diamonds you say you'll buy...",,,,,,,,,,,,,,,,,,,,,,
言われても… それは欲しい ,I want that. ,,,,,,,,,,,,,,,,,,,,,,
そりゃそっか,That's right.,,,,,,,,,,,,,,,,,,,,,,
さあ それでは心の準備は できましたでしょうか？,"Now then, are you ready?",,,,,,,,,,,,,,,,,,,,,,
できた方から どうぞ,Let's start with those who are ready.,,,,,,,,,,,,,,,,,,,,,,
PODSのほうへ 移動していただきたいと思います,I'd like to move on to the PODS.,,,,,,,,,,,,,,,,,,,,,,
PODSは もう開いています,PODS is already open.,,,,,,,,,,,,,,,,,,,,,,
何か 意外と 人見知りだから,I'm kind of shy.,,,,,,,,,,,,,,,,,,,,,,
顔見ない方が 何でも話せて,I'm a little shy. I'd rather talk about whatever I want without seeing people.,,,,,,,,,,,,,,,,,,,,,,
向いてるかも,Maybe I'm better suited for this.,,,,,,,,,,,,,,,,,,,,,,
 顔見て いざ その…," I mean, I've seen your face, and when the time comes...",,,,,,,,,,,,,,,,,,,,,,
考えが変わる瞬間が もし 来るとしたら,If there comes a moment when you change your mind...,,,,,,,,,,,,,,,,,,,,,,
それが 怖かったりします,That's what I'm afraid of.,,,,,,,,,,,,,,,,,,,,,,
ルックスとか じゃなくて,It's not about looks.,,,,,,,,,,,,,,,,,,,,,,
何かこう 異性として好きになれるのかなって できないんじゃ ないかって,"I'm wondering if I'll ever like him as a member of the opposite sex, or if I won't be able to.",,,,,,,,,,,,,,,,,,,,,,
まだ半信半疑,I'm still skeptical.,,,,,,,,,,,,,,,,,,,,,,
あれ？ こんにちは,What is it? Hello.,,,,,,,,,,,,,,,,,,,,,,
あっ こんにちは,Hello.,,,,,,,,,,,,,,,,,,,,,,
聞こえてますか？ 聞こえてます,"Can you hear me? Yes, I can hear you.",,,,,,,,,,,,,,,,,,,,,,
えっ でも この辺 来ても見えないんすよね だって,But you can't see me around here.,,,,,,,,,,,,,,,,,,,,,,
見えてますかね えっ 見えないです 見えないです,Can you see me? - What? I can't see you. I can't see you.,,,,,,,,,,,,,,,,,,,,,,
えっ 初対面 結構 大丈夫なほうなんすか？,What? Are you okay with meeting new people for the first time?,,,,,,,,,,,,,,,,,,,,,,
人見知りしないかって ことですか？ 人見知りしないかって ことですか？ はい,"You mean, are you shy? You mean, you're not shy? Yes, I don't at all.",,,,,,,,,,,,,,,,,,,,,,
まったくしないですね おお すごいっすね,"Not at all. Oh, great!",,,,,,,,,,,,,,,,,,,,,,
えっ されますか？,Do you get nervous?,,,,,,,,,,,,,,,,,,,,,,
