Sentence,Translation
宿題はさっさとやるよう心掛けなさい,Try to do your homework quickly
現在でも多くの国で現役である,Still in service in many countries today
僕は思いきり働きたい,I want to work to the best of my ability
考えたすえに彼との結婚は思い切ることにした,"After thinking about it, I decided not to marry him"
そのように思い切って公表するようになった,I'm now bold enough to publicize it that way
何をやらせても彼女は割り切って行動している,"No matter what I let her do, she acts divisively."
ファイルを開き直す必要がなくなります,No more need to reopen files
高齢者講習や初心者講習も行っている,There is an advanced class as well as a beginners class
素材の味を生かした料理,A dish that brings out the taste of the ingredients
一期一会の貴重な機会となることでしょう,It will be a once-in-a-lifetime opportunity
報告の前篇を記しました,I have written the first part of the report
一般モデルは後編をお楽しみに,Please enjoy the second part of the general model.
緊迫した情勢にうまく対処する,Dealing successfully with tense situations
我々が対決を見ていることは明らかです,It is clear we are looking at a showdown
鎮火には数日を要した,It took several days to extinguish the fire
地盤が10センチ沈下した,The ground has sunk 10 cm
鎮痛剤は痛いときだけ飲んでください,Take painkillers only when it hurts
新しい鎮圧がこう始まりました,The new suppression began like this
通常は鎮静効果への耐性が出現する,Tolerance to the sedative effect usually develops
喜びに溢れた密接な空間を作り出してくれた,They created a close-knit space full of joy
振動を嫌う精密機器に適しています,Suitable for precision instruments that do not tolerate vibration
過密状態を引き起こす可能性があります,May cause overcrowding
機密性とプライバシーは　非常に重要ですが,Confidentiality and privacy are very important
生活に密着した工芸作品,Craft works closely related to daily life
利用者データ収集機能を見る,View User Data Collection Functions
我々はその利益を分け合った,We shared in the profits
みんな自分を守る権利があるだろ,People have a right to protect themselves
希望がいつか勝利へと導く,Hope will one day lead to victory
もし雨なら遠足は中止です,"If it rains, the excursion will be cancelled"
彼はわが社の優秀な営業マンです,He is an excellent salesman for our company
優勝街道を突っ走る,Running on the road to victory
浅草で一番大きな商店街として観光客にも人気,Popular among tourists as the largest shopping street in Asakusa
その横には街灯が立っている,Beside it stands a street lamp
彼らは街路の雪を取り払った,They cleared the snow from the streets
金融街にも徒歩で簡単にアクセス可能です,Easy walking access to the financial district
住宅街の小さな店ですが足を運ぶ価値あり,"Small store in a residential area, but worth a visit."
そのため周囲の景色や町並みは大きく異なります,The surrounding scenery and townscape are thus very different
海岸に自生しますが公園や街路樹でも見られます,"Native to the coast, but also found in parks and along streets."
町外れの道で会った青年,Young man I met on a street outside of town.
京都最大の歓楽街の祇園,"Gion, Kyoto's largest entertainment district"
街づくりに欠かせないのがハードとソフトの融合です,Integration of hard and soft aspects is vital for urban development
廃棄物を処理する,Disposal of waste
ご一読の後この手紙はご処分願います,Please dispose of this letter after reading it
温度検出によって適切な処置が決まります,Temperature detection determines appropriate treatment
途中の見処や詳しい道筋などご案内いたします,We will guide you on the way and provide detailed information on the route
どんな処方薬を取っているか,What prescription drugs are you taking
その処罰が何か分かるな,You know what that punishment is
欲しいなら抗ウイルス薬の処方箋を書くわ,"If you want, I can write you a prescription for antivirals."
駆け引きすることを覚えている,Remember to bargain
彼は英語を自由に駆使する,He has a perfect command of English
台湾早期の油絵芸術の先駆けとなった人物です,He was a pioneer of oil painting art in early Taiwan
害虫を駆除する,Exterminate pests
早急に善処していただくよう強く要望いたします,I strongly urge you to take immediate action
行政処分の対象になる,Subject to administrative action
当該処理行為の対象となります,Subject to the relevant processing action
