Script.EP1,Meaning.EP1,Script.EP2,Meaning.EP2,Script.EP3,Meaning.EP3,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
じゃあラストスパート,"Last spurt, then.",ある春の日,One spring day,,,,,,,,,,,,,,,,,,,,
ある春の日俺は運命と出会った,"One spring day, I met my destiny.",俺は運命と出合い昔からの夢を思い出した,I met my destiny and remembered an old dream,,,,,,,,,,,,,,,,,,,,
放課後二人で過ごした教室,We spent time together after school in the classroom,笑えて萌えて感動するギャルゲーを作ること,"To create a gal game that is funny, moe, and touching",,,,,,,,,,,,,,,,,,,,
机の上夢中ではずむ君の声,"On the desk, your voice entranced",そして誰もが胸をときめかせるメインヒロインを生み出すこと,And to create a main heroine that makes everyone's heart flutter,,,,,,,,,,,,,,,,,,,,
鈍感な君のその態度が,Your insensitive attitude,そうあの時の彼女のような,Just like she did back then.,,,,,,,,,,,,,,,,,,,,
いつも私を意地悪にさせるの,You always make me feel so mean,そんな夢に目覚めた俺に最初周囲の反応は冷たかった,"When I awoke to this dream, people around me were cold to me at first",,,,,,,,,,,,,,,,,,,,
ひとりぼっちだと思う時もある,Sometimes I feel so alone,けれど諦めず夢を語り続けるうち,But as I continued to talk about my dream,,,,,,,,,,,,,,,,,,,,
涙止められない日もある,Some days I can't stop the tears,一人また一人と戻ってきてくれた仲間たち,"One by one, my friends came back to me",,,,,,,,,,,,,,,,,,,,
本当の私を見つめてほしいの,I want you to look at the real me,やがて運命の彼女とも劇的な再会を果たした俺は,"Eventually, I had a dramatic reunion with my destined girlfriend",,,,,,,,,,,,,,,,,,,,
きっと伝わると信じているよ,I'm sure you'll understand,その壮大なる夢への一歩を踏みだし…,I took the first step toward my grand dream...,,,,,,,,,,,,,,,,,,,,
君はいつだっていつだって変わらないから,Because you'll always be the same,前回の粗筋でいきなり大嘘ついてんじゃないわよ,Don't you dare lie to me like you did in the last episode.,,,,,,,,,,,,,,,,,,,,
私が何回も何回もシグナル送ってあげる,I'll send you signals over and over again,お前こそナレーションにキャラクターがツッコむとか,You're the one who's ignoring the narration.,,,,,,,,,,,,,,,,,,,,
夢見たあの丘目指して,Aiming for that hill that you've always dreamed of,アニメのセオリー無視すんなよ,Don't ignore anime theory!,,,,,,,,,,,,,,,,,,,,
くじけそうな時も頑張れそうだよ,"When I'm feeling discouraged, I know I can make it through",放課後二人で過ごした教室,"After school, we spent time together in the classroom.",,,,,,,,,,,,,,,,,,,,
君がいるから,Because you're here,机の上夢中ではずむ君の声,"Your voice, so absorbed in your desk",,,,,,,,,,,,,,,,,,,,
行ってきま～す,I'm off to work...,鈍感な君のその態度が,Your insensitive attitude,,,,,,,,,,,,,,,,,,,,
おはようおじさん,"Good morning, uncle.",いつも私を意地悪にさせるの,You always make me feel so mean,,,,,,,,,,,,,,,,,,,,
あれ倫也君今度は新聞配達かい,"Oh, Rinya, you're delivering newspapers now?",ひとりぼっちだと思う時もある,Sometimes I feel so alone,,,,,,,,,,,,,,,,,,,,
前やってたバイトどうしたの,What happened to your old job?,涙止められない日もある,Some days I can't stop the tears,,,,,,,,,,,,,,,,,,,,
レンタルショップもファミレスも続けてるよ,I'm still working at the rental store and the family restaurant.,本当の私を見つめてほしいの,I want you to look at the real me,,,,,,,,,,,,,,,,,,,,
朝のバイト増やしただけ,I just added a morning job.,きっと伝わると信じているよ,I'm sure you'll understand,,,,,,,,,,,,,,,,,,,,
ホント働き者だねえ,"You're a real hard worker, aren't you?",君はいつだっていつだって変わらないから,Because you'll always be the same,,,,,,,,,,,,,,,,,,,,
勉強と両立で大変なんじゃないかい,It must be tough balancing school and work.,私が何回も何回もシグナル送ってあげる,I'll send you signals over and over again,,,,,,,,,,,,,,,,,,,,
大丈夫だって俺でっかい目標ができたんだ,I'm fine. I've got a big goal in mind.,夢見たあの丘目指して,Aiming for that hill that you've always dreamed of,,,,,,,,,,,,,,,,,,,,
だから今は立ち止まってる暇なんかないんだよ,So I don't have time to stop now.,くじけそうな時も頑張れそうだよ,"When I'm feeling discouraged, I know I can make it through",,,,,,,,,,,,,,,,,,,,
