Kanji,K.Meaning,Words.A,Words.B,Words.C,Words.D,W.Meaning.A,W.Meaning.B,W.Meaning.C
崩,crumble,崩す。崩れる。切り崩す,雪崩。崩壊。崩落,値崩れ。型崩れ。崖崩れ,山崩れ。煮崩れ。放射性崩壊,tear down。collapse。cut through,avalanche。collapse。 crash,price collapse。losing shape。landslide
壊,break,壊す。壊れる。取り壊す,破壊。崩壊。壊滅,壊れ物。損壊。自壊,破壊的。決壊。壊滅的。倒壊。全壊,break。fall apart。tear down,destruct。collapse。annihilate,fragile article。damage。disintegrate
潰,crush,潰す。潰れる。暇潰し,崩潰。潰滅。倒潰,潰走。潰乱,潰しにする。潰し値段,smash。crushed。time wasting,collapse。annihilate。destruct,stampede。 corruption
保,keep,保つ。保証。保護,保守。保健。保険,保存。確保。保管,保育園児。火災保険。生命保険,keep。guarantee。protection,maintenance。preservation of health。insurance,preservation。securing。safekeeping
守,protect,守る。見守る。守備,留守。保守。守衛,遵守。厳守。留守番,保守的。子守唄。看守,protect。watch over。defense,absence。 maintenance。 guard,obey。strict observance。care-taking
育,bring up,育つ。育てる。子育て,教育。体育。育児,発育。飼育。育成,生育。体育館。教育的。養育,raised。raise。child rearing,education。physical education。childcare,growth。breeding。rearing
児,child,幼児 。孤児。児童,育児。小児。未熟児,乳幼児。孤児院。双生児,産児制限。小児科。園児。胎児。女児,toddler。orphan。children,childcare。infant。premature baby,infants。orphanage。twins
滑,slide,滑る。滑らか。円滑,滑稽。滑走路。滑り台,滑走。潤滑油。滑空,滑車。地滑り。滑り込む。横滑り,slide。smooth。undisturbed,funny。runway。slide,gliding。lubricant。air gliding
衝,collide,衝く。衝突。衝撃,衝動。折衝。要衝,"緩衝。緩衝材。耐衝撃

",緩衝地帯。衝動買い。正面衝突,stab。collide。impact,impulse。negotiation。key point,buffered。cushioning。shock resistance
撃,attack,撃つ。攻撃。打撃,衝撃。襲撃。反撃,目撃。射撃。砲撃,衝撃波。爆撃。進撃。直撃。出撃,shoot。attack。blow,impact。raid。counterattack,witnessing。firing。shelling
迎,welcome,迎える。歓迎。出迎える,"迎撃。大歓迎。迎賓館
",,送迎。迎合。歓迎会,welcome。reception。meet,intercept。warm welcome。reception hall ,
耐,endure,耐える。忍耐。耐久性,耐性。耐久。耐火,耐熱。 耐水。耐圧,耐寒。耐え抜く。耐圧試験,bear。endurance。durability,resistance。endurance。fireproof,heat-resisting。water-resistant。pressure-resistant
抗,resist,抵抗。反抗。抗議,対抗。抗争。抗体,抗生物質。抗原。抗菌,抗告。抗戦。抗酸化物質,resistance。opposition。protest,opposition。rivalry。antibody,antibiotics。antigen。antibacterial
環,ring,環境。循環。環視,自然環境。悪循環,環境保護。作業環境,景気循環。環境汚染。循環器,environment。circulation。looking around,natural environment。vicious cycle,environmental protection。work environment
境,boundary,国境。環境。境界,境遇。苦境。心境,辺境。逆境。境界線,住環境。境地。境内。越境。推奨環境,national border。environment。boundary,circumstance。difficult situation。mental state,remote region。adverse circumstance。boundary line
激,violent,激しい。刺激。急激,感激。激励。激怒,過激。激突。劇的,激論。激戦。激化。激減。激痛,violent。stimulus。sudden,impression。encouragement。rage,extreme。crashing。dramatic
営,conduct,営む。営業。経営,運営。陣営。営利,"設営。経営者。営業時間
",経営管理。運営上。民営化,operate。business。management,management。camp。money-making,setting up。manager。business hours
成,become,成る。成功。賛成,成長。成績。完成,構成。成人。成立,作成。成分。達成。成果。形成,become。success。approval,growth。results。completion,composition。adult。formation
