Words,Remarks,Meaning,Sentence,Translation,Level
表現される,▸【receptive-passive】,get • got • has • have been expressed,理想は言葉によって表現される。,Ideals are expressed by words.,1
読んではいけない,▸【prohibition】,should not read,薄暗い明かりで本を読んではいけない。,Do not read a book in dim light.,2
住みたい,▸【desiderative】,want to live,京都か奈良に住みたい。,I want to live in Kyoto or Nara.,1
お訪ねください,▸【sonkeigo-honorific】,please visit,忙しくない時にいつかお訪ねください。,Please visit us sometime when you are not busy.,1
来なさい,▸【imperative】,come,明日また来なさい。,Come back again tomorrow.,1
掲示します,▸【humble】,post,全従業員ラウンジに発表を掲示します。,Announcements will be posted in all employee lounges.,1
汚染されている,▸【resultative-receptive-passive】,get • got • has • have been contaminated,この川は工場の廃棄物で汚染されている。,This river is polluted with factory waste.,1
言っていただける,▸【polite request】,could you say,今のをもう一度言っていただける。,Can you repeat what you just said.,2
来ていただく,▸【humble-receptive】,have someone to come,完成後引き取りに来ていただくだけで大丈夫ですよ。,All you need to do is come and pick it up after completion.,2
歌ってもらう,▸【receptive】,have someone to sing,友達にコーラスを歌ってもらう。,Have a friend sing the chorus.,1
対応させていただく,▸【humble-causative-receptive】,have someone to let me respond,お客様からのお問合せやご依頼内容に対応させていただくため。,To respond to inquiries and requests from customers.,3
処理させていただく,▸【humble-causative-receptive】,have someone to let me process,お客様の情報を処理させていただく場合があります。,We may process your information.,3
走らせておく,▸【causative: set a cause to do】,let it run,プログラムを走らせておくことができます。,You can keep the program running.,2
食べない,▸【negative】,does not eat,彼は魚を生で食べない。,He does not eat fish raw.,1
終了しないで,▸【negative-connective form】,without terminating,プログラムを終了しないで現在のドキュメントを閉じます,Closes the current document without exiting the program,1
変更しないでください,▸【soft-request-command】,please do not change,このスケジュールを変更しないでください。,Do not change this schedule.,1
しないほうがいい,▸【soft-suggestion-advice】,better not do,そういう風にしないほうがいいですよ。,You shouldn't do it that way.,1
戻って来なかった,▸【negative-past】,never came back,彼女は戻って来なかった。,She never came back.,1
発展しなくて,▸【negative-connective form: shows a reason】,since it is without development,発展しなくて時間が止まってるみたいだ。,There is no development and it’s like time has stopped.,1
剥ぎ取らなくても,▸【negative-conditional-conjuctive】,don't have to strip it off,剥ぎ取らなくても出来る。,It can be done without stripping.,1
入院しなくてもいい,▸【non-obligatory】,no need to be hospitalized,入院しなくてもいいです。,You do not have to be hospitalized.,1
注意しなかったら,▸【negative-conditional】,If you not paying attention,君が注意しなかったらこれが消えた。,"If you weren't paying attention, this disappeared.",1
帰らなければ,▸【negative-conditional】,if you don’t go home,明日帰らなければ届を出して。,"If I don't return tomorrow, I'll file a report.",1
食べなくてだめ,▸【obligatory-compulsion】,you have to eat,それを食べなくてだめですよ。,You have to eat it.,2
調べなくてはいけません,▸【obligatory-compulsion】,have to look into it,さあ君はこの問題を調べなくてはいけません。,Now you have to look into this issue.,2
判断しなくてはなりません,▸【obligatory-compulsion】,have to make a decision,そのような事をすぐに判断しなくてはなりません。,We must make a decision on such matters immediately.,2
食べなければいけません,▸【obligatory-compulsion】,have to eat,体力を維持するにはちゃんと食べなければいけません。,You must eat properly to maintain your strength.,2
改めなければなりません,▸【obligatory-compulsion】,must be changed,我々はきっぱり改めなければなりません。,We must change once and for all.,2
行かないとだめです,▸【obligatory-compulsion】,have to go,毎日学校に行かないとだめです。,You have to go to school every day.,2
作らないといけません,▸【obligatory-compulsion】,have to make,面白い役者を作らないといけません。,We must create interesting actors.,2
乗り越えなきゃいけません,▸【obligatory-compulsion】,have to get over it,自分の場所に行く前に乗り越えなきゃいけません。,You have to get over it before you can get to your place.,2
買わなきゃ,▸【obligatory-compulsion】,have to buy ,あなたの子供たちにおみやげ買わなきゃ。,I have to buy souvenirs for your children.,2
演じ続けなくちゃ,▸【obligatory-compulsion】,have to keep playing,その役を演じ続けなくちゃ。,I have to keep playing that role.,2
失敗は許されないと,▸【obligatory-compulsion】,have not permitted to fail,我々はこの試練に対して決して失敗は許されないと語った。,"We must not fail these tests, she said.",2
認証を行わずに,▸【negative-connective form】,without authentication,認証を行わずに通信できるデバイスもあります。,Some devices can communicate without authentication.,3
作成せずに,▸【negative-connective form】,without creating,新規フォームを作成せずにダイアログを閉じる。,Close the dialog without creating a new form.,3
使わずに済む,▸【non-obligatory: came to an end without doing】,need not be used,お前が使わずに済むのはいいことじゃないかい。,Wouldn't it be nice if you didn't have to use it.,3
考え過ぎなくて済む,▸【non-obligatory: came to an end without doing】,need not to overthink ,考え過ぎなくて済むからね。,I don't have to overthink it.,3
同情せずにはいられない,▸【spontaneous feeling: unbearable】,can't help but feel sorry,彼のことを同情せずにはいられない。,I can't help but feel sorry for him.,3
感心しないではいられない,▸【spontaneous feeling: unbearable】,can't help but feel admiration,あなたの新車に感心しないではいられない。,I can't help but admire your new car.,3
敗れるわけにはいきません,▸【spontaneous feeling: unavoidable due to some reason】,can't afford to lose,ここで敗れるわけにはいきません。,We cannot afford to lose here.,3
出席しないわけにはいかない,▸【spontaneous feeling: unavoidable due to some reason】,can't afford not to attend,弟の結婚式なので出席しないわけにはいかない。,It is my brother's wedding and I cannot afford not to attend.,3
受けざるを得ない,▸【spontaneous feeling: cannot avoid】,have no choice but to accept,彼の招待は受けざるを得ない。,I have no choice but to accept his invitation,3
機能するわけだ,▸【conclusion from reasoning】,it functions as,つまりフィルタとして機能するわけだ。,"In other words, it functions as a filter.",3
逆を持つわけではない,▸【negative-conclusion from reasoning】,it doesn't mean that it has the inverse,すべての関数が逆を持つわけではない。,Not all functions have inverses.,3
傷つけるわけがない,▸【impossible or no reason to occur】,there is no reason to hurt,君が僕を傷つけるわけがない。,You would never hurt me.,3
