Script.EP1,Meaning.EP1,Script.EP2,Meaning.EP2,Script.EP3,Meaning.EP3,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
行くか バイバイ,-We should go. -Goodbye.,,,,,,,,,,,,,,,,,,,,,,
よし！ 泣くな もう,No more crying.,,,,,,,,,,,,,,,,,,,,,,
またな,I'll see you.,,,,,,,,,,,,,,,,,,,,,,
行くか,We should go.,,,,,,,,,,,,,,,,,,,,,,
バイバイ,Goodbye. THIS IS THE MYSTERIOUS FUTURE DIARY OF TWO PEOPLE FALLING IN LOVE,,,,,,,,,,,,,,,,,,,,,,
頑張って！,You can do it!,,,,,,,,,,,,,,,,,,,,,,
ヤベえから,This is serious.,,,,,,,,,,,,,,,,,,,,,,
怖い,So scary.,,,,,,,,,,,,,,,,,,,,,,
疲れた,I'm exhausted.,,,,,,,,,,,,,,,,,,,,,,
ヘヘヘッ…,SHE KISSED HIM AT THE SEA IN OKINAWA,,,,,,,,,,,,,,,,,,,,,,
あと １キロくらいじゃねえ？,"One kilometer to go, probably.",,,,,,,,,,,,,,,,,,,,,,
 いや まだだと思う まだ？ うん,"-No, I think it's more. -You think?",,,,,,,,,,,,,,,,,,,,,,
おいしょ…,Yeah.,,,,,,,,,,,,,,,,,,,,,,
パスタです,…on pasta.,,,,,,,,,,,,,,,,,,,,,,
もう真愛スペシャルで,"It's the ""Maai Special.""",,,,,,,,,,,,,,,,,,,,,,
これ 使って,Please use this.,,,,,,,,,,,,,,,,,,,,,,
ヤバい,Damn it. HE RAN AFTER HER BEFORE SHE DISAPPEARED,,,,,,,,,,,,,,,,,,,,,,
まさか これで,"At the time,",,,,,,,,,,,,,,,,,,,,,,
もう二度と 会えなくなるって,there was no way I could guess,,,,,,,,,,,,,,,,,,,,,,
全く予想も してなかったから…,that it would be the last time we would meet.,,,,,,,,,,,,,,,,,,,,,,
イエーイ,Yay.,,,,,,,,,,,,,,,,,,,,,,
もうちょい急ぎます,I'm going to hurry a little.,,,,,,,,,,,,,,,,,,,,,,
どういうこと？ ダルい！ ウザい ほんとに,What is happening? It's really annoying.,,,,,,,,,,,,,,,,,,,,,,
来た？ うん,-Did it light? -Yes.,,,,,,,,,,,,,,,,,,,,,,
早く食べれ,Eat it already.,,,,,,,,,,,,,,,,,,,,,,
え？ あっ 動画？,What? It's a video?,,,,,,,,,,,,,,,,,,,,,,
真愛も楽しかったよ,I had a great time.,,,,,,,,,,,,,,,,,,,,,,
拓斗のこと大好き,"I like you a lot, Takuto. THE 2 PART WAYS FOREVER",,,,,,,,,,,,,,,,,,,,,,
こんにちは こんにちは,-Hello. -Hi.,,,,,,,,,,,,,,,,,,,,,,
こんにちは,Hi.,,,,,,,,,,,,,,,,,,,,,,
未来日記をお持ちしました,I brought you The Future Diary.,,,,,,,,,,,,,,,,,,,,,,
ありがとうございます,Thank you.,,,,,,,,,,,,,,,,,,,,,,
仲宗根真愛 19歳です,"I'm Maai Nakasone, 19 years old.",,,,,,,,,,,,,,,,,,,,,,
沖縄県の那覇市出身,"I'm from Naha City, Okinawa.",,,,,,,,,,,,,,,,,,,,,,
大学生で アパレルの バイトをしています,I'm a college student working part-time in apparel.,,,,,,,,,,,,,,,,,,,,,,
お疲れっす,Hello.,,,,,,,,,,,,,,,,,,,,,,
若松拓斗 24歳 北海道 小樽出身です,"I'm Takuto Wakamatsu. I'm 24 years old, and I'm from Otaru, Hokkaido.",,,,,,,,,,,,,,,,,,,,,,
職業が料理人で ４年目です,It's my fourth year being a cook.,,,,,,,,,,,,,,,,,,,,,,
未来日記です,It's The Future Diary.,,,,,,,,,,,,,,,,,,,,,,
この未来日記には,This first diary…,,,,,,,,,,,,,,,,,,,,,,
明日の 一番 最初の日記と,has the first and last entries,,,,,,,,,,,,,,,,,,,,,,
一番 最後の日記が 書かれてます,of what happens tomorrow written in there.,,,,,,,,,,,,,,,,,,,,,,
読んじゃって いいですか？,-Can I read it now? -Yes.,,,,,,,,,,,,,,,,,,,,,,
７月１日,July 1.,,,,,,,,,,,,,,,,,,,,,,
横浜を訪ねた あなたは 運命の相手と 突然出逢う,"""On a visit to Yokohama, you meet your soul mate out of the blue.""",,,,,,,,,,,,,,,,,,,,,,
運命の相手…,My soul mate?,,,,,,,,,,,,,,,,,,,,,,
えっ？,Wow.,,,,,,,,,,,,,,,,,,,,,,
運命の相手と突然…,…meet your soul mate out of the blue.,,,,,,,,,,,,,,,,,,,,,,
もう いきなりですよね,This happens right away?,,,,,,,,,,,,,,,,,,,,,,
いきなりか…,Right away…,,,,,,,,,,,,,,,,,,,,,,
じゃあ 次 めくっていただいて…,Go on reading.,,,,,,,,,,,,,,,,,,,,,,
はい,Okay.,,,,,,,,,,,,,,,,,,,,,,
初めての 共同作業を終えた ２人の前には １輪のひまわり,"After your joint project, there appears before you a single sunflower.",,,,,,,,,,,,,,,,,,,,,,
ひまわりの 花言葉は“一目惚(ぼ)れ”,The symbolism of a sunflower is 'love at first sight.,,,,,,,,,,,,,,,,,,,,,,
一目惚れ”とか したことないです,Love at first sight? I've never experienced that.,,,,,,,,,,,,,,,,,,,,,,
えっ…,What?,,,,,,,,,,,,,,,,,,,,,,
一目惚れ”するんですね,It's going to be love at first sight?,,,,,,,,,,,,,,,,,,,,,,
まず どんな人なんだろうって いうのが やっぱ 気になりますし…,"Of course, I wonder what kind of person she is.",,,,,,,,,,,,,,,,,,,,,,
今 ひげ あるじゃないですか （スタッフ）はい,"You see, I have a beard now.",,,,,,,,,,,,,,,,,,,,,,
だから これって そったほうが いいのかなと思って,So I'm wondering if I should shave my beard off.,,,,,,,,,,,,,,,,,,,,,,
相手の印象的にも たぶん ひげって そんな よくないっすよね,Her first impression might be better that way. Some people have bad impressions of beards.,,,,,,,,,,,,,,,,,,,,,,
男の人のひげって,bad impressions of beards.,,,,,,,,,,,,,,,,,,,,,,
そっちゃおうかな,Maybe I should.,,,,,,,,,,,,,,,,,,,,,,
ここに １冊の特別な日記があります,I have a special diary in my hand.,,,,,,,,,,,,,,,,,,,,,,
世界で たった一つ,It's the only one in the world.,,,,,,,,,,,,,,,,,,,,,,
過去ではなく 未来の出来事が記された日記,"What's written inside is not what's occurred in the past, but what occurs in the future.",,,,,,,,,,,,,,,,,,,,,,
それこそが 未来日記なのです,That's why this is The Future Diary.,,,,,,,,,,,,,,,,,,,,,,
それでは 皆さん,"Now, everyone,",,,,,,,,,,,,,,,,,,,,,,
ステージ中央のモニターに ご注目ください,please turn your attention to the screen.,,,,,,,,,,,,,,,,,,,,,,
全く知らない男女へ届けられる 未来日記には,The Future Diary will be delivered to two complete strangers.,,,,,,,,,,,,,,,,,,,,,,
２人の未来が書かれています,Their future is written in the diary.,,,,,,,,,,,,,,,,,,,,,,
信じられない出逢い,"After an extraordinary encounter,",,,,,,,,,,,,,,,,,,,,,,
２人を襲う 非日常的な試練の数々,unbelievable challenges await this couple.,,,,,,,,,,,,,,,,,,,,,,
どんな内容であっても,"Regardless of the contents,",,,,,,,,,,,,,,,,,,,,,,
日記に書かれた指示には 従わなくてはいけません,they must follow instructions written in the diary.,,,,,,,,,,,,,,,,,,,,,,
また お互いに 連絡先を交換したり,They cannot exchange contacts,,,,,,,,,,,,,,,,,,,,,,
撮影以外で逢うことは できません,or meet outside of the filming process.,,,,,,,,,,,,,,,,,,,,,,
