Expression,Translation
 目に入る情報しか入ってこないんですよね, You only get the information that you see.
ときどき訪れるようになるという話です,I'm talking about the occasional visit.
やっぱりただその街を訪れるだけで,"After all, just visiting that city."
そういうことも経験としてはしてきました,I've had some experience with that sort of thing.
旅をしながら,While traveling
もう一つやっていたのが,Another thing I was doing.
彼らの活動をレポートしながら,While reporting on their activities.
それってすごく表面的な情報でしかなくて,That's just very superficial information.
その国が今どう動いているかとか,Or how that country is operating right now.
その国の人たちが何を考えているかとか,Or what the people in that country are thinking.
あと福祉ですとか教育ですとか,And welfare and education.
 経済とか政治とか, Economics and politics.
そういった仕組みの話って,"You know, that kind of mechanics."
やっぱりわからないんですよね,We still don't understand.
それはやはり現地の人に出会って初めて,It is still only when you meet the locals
僕らはその情報を手に入れることができる,We can get that information.
その情報を知らなかったら,If I didn't know that information.
僕らは只々昔の町並みを見に旅をしているわけではなくて,We are not just traveling to see the old town.
今その土地がどうなっているのか知りたくて 旅をしていたので,I was traveling because I wanted to know what the land was like now.
現地の人に出会わないと,You have to meet the locals.
僕の旅は成立しなかったんですね,So my trip wouldn't have been completed.
早速なんですけれども,Let me get right to the point.
皆さん 英語好きな方 どれくらいいらっしゃいますか,How many of you like English?
さすがですね,Actually.
僕はですね 英語が実は非常に嫌いでした,I actually disliked English very much.
嫌いだけど できるやつとか たまにいるじゃないですか,"You know, there are guys you don't like but can do it."
僕はほんとに英語ができなくて,I really couldn't speak English.
高校３年生の時の英語の偏差値が39で,I was a senior in high school with an English standard score of 39.
100点満点の穴埋め式のテストがあってですね,It was a 100-point fill-in-the-blanks test.
一応全部がんばって埋めきったんですけど,I did my best to fill in all the blanks.
もう英語一生使わないで生きていこうって,I'm going to live without using English for the rest of my life.
いうふうに ほんとにそう思ってました,I really thought so.
ほんとにそういう意味で言うと,That's really what I mean.
僕自身は非常に世界とか,I myself am very much interested in the world.
そんな僕がですね,That's what I am.
なんでいきなり,Why all of a sudden.
世界っていうものを意識し始めたのか,You're starting to conscious of the world?
それはですね 大学で上京して,That's right. I moved to Tokyo for college.
大学２年の時に友人と一緒に会社を起業してですね,"In my sophomore year of college, I started a company with a friend."
ビジネスをやっていました,I was doing business.
そのビジネスをやって1年くらいである程度ですね,"I've been in that business for about a year, to some extent."
軌道に乗ってきたなぁって時だったんですね,It was time to get back on track.
その時にたまたま 外資系の戦略コンサルで働いてるですね,I happen to work for a foreign strategic consulting firm at the time.
すごい大先輩の方がいて,There were some great senior people there.
その方と出会ったのが 僕の大きなきっかけになりました,"I met this person, and it was a great opportunity for me."
その方がですね 勉強会で４時間くらい いろんな問答をされてですね,It’s about four hours at a study session where he asked and answered various questions.
すごい勉強会だったんですけども,It was an amazing workshop.
その中でひとつ印象的だった話があります,One of the stories that struck me was this one
その方が僕らに投げかけました,That person threw down to us.
その時ですね 僕は元気よく手を挙げて,That's when I raised my hand in the air.
まずいいアイデアがあったら それを東京でやって,"If you have a good idea, do it in Tokyo."
うまくいったらそれを大阪とか関西でやって 名古屋でやって,"If it works, do it in Osaka or Kansai, and then in Nagoya."
東名阪でうまくいけば それを北海道や九州でやって,"If we do well in Tokyo, Nagoya, and Osaka, we can do it in Hokkaido and Kyushu."
それがグローバルにビジネスを展開していくことなんじゃないでしょうかと,I think that's what it means to do business on a global scale.
非常に自信を持ってですね 答えたつもりだったんですけれども,I was very confident in my answer.
その方にはですね,For that person.
全然ダメだね,It's not good at all.
何言ってんだこのやろう,What the hell are you saying
もしかしたらみなさんの中にも僕と同じように 今思った方もいるかもしれないです,Perhaps some of you may be thinking the same way I am right now.
その方がじゃあ何が言いたかったかと言うと,What did that person want to say then?
本当にグローバルにやる人っていうのは,People who really do it globally.
例えば何かいいアイデアがあったら,"For example, if you have any good ideas."
それは日本で必要とされないかもしれないけど,That may not be needed in Japan.
メキシコだったら必要とする人が いるんじゃないかとか,"I was thinking that if we were in Mexico, there might be people who need it."
例えばメキシコで流行っているサービス,"For example, services that are popular in Mexico."
エジプトに持っていっても流行るんじゃないかとか,I wonder if it will be popular even if I bring it to Egypt.
それは別に対「国境」の話だけではなくて,"It's not just about “borders""."
例えば じゃあ豚肉を使わない料理を新しく作りました,"For example, let's say I made a new pork-free dish."
そう考えるとグローバルっていうのは,"When you think about it, what does global means"
ほんとにこの世界で どこで誰が何を必要としているのか,Who really needs what in this world?
それをちゃんと考えることができて,I'm able to think about that properly.
実際にそれをアクションに落とし込んでいける人だと,Someone who can actually put it into action.
そういうようなスピード感を持って,With that sort of speed.
世界を舞台に彼らは活動していると,That they operate on the world stage.
そんな話をされたのが 僕が大学４年生の時でした,He told me this story when I was in my fourth year of college.
