Sentence,Translation
・夏休みの間、ずっと実家にいるつもりです。,I am going to stay at my parents' house for the whole summer vacation.
・彼女が髪を切っている間、私は雑誌を読んで待ちました。,"While she was cutting my hair, I read a magazine and waited."
・両親が旅行している間、私は家で留守番をしました。,I stayed at home while my parents were traveling.
・電車乗っている間、音楽を聞いていました。,I listened to music while riding the train.
・昼休みの間はゲームをしてもいいです。,I can play games during my lunch break.
・旅行の間、ずっと雨が降っていました。,It rained during the whole trip.
・講義の間、彼はずっと寝ていました。,He slept during the whole lecture.
・飛行機に乗っている間、ずっと映画を見ていました。,He watched a movie the whole time he was on the plane.
・学校にいる間は、スマホを使っていけません。,You are not allowed to use your phone while you are at school.
・妻が晩ご飯の準備をしている間、私はテレビを見ていました。,"While my wife was preparing dinner, I was watching TV."
・僕が病気の間、彼女がそばで看病してくれました。,"While I was sick, my girlfriend was by my side to take care of me."
・若い間は、失敗を恐れずどんどんチャレンジしてほしい。,I want you to challenge yourself without being afraid of failure while you are young.
・シャワーを浴びている間に電話がありました。,I got a phone call while I was in the shower.
・料理をしている間に、誰かきました。,Someone called me while I was cooking.
・昨日、寝ている間に大きな地震がありました。,"Yesterday, there was a big earthquake while I was sleeping."
・日本にいる間に、相撲を見てみたいです。,I want to watch sumo wrestling while I am in Japan.
・両親が出かけている間に、ゲームをします。,I will play games while my parents are out.
・休みの間に、日本語を復習するつもりです。,I will review my Japanese during my vacation.
・私が留守の間に、冷蔵庫の物を勝手に食べないでくださいね。,Please don't eat anything in the refrigerator while I am away.
・旅行している間に、泥棒に家に入られて大切な物を盗まれました。,"While I was on vacation, a thief entered my house and stole my valuable things."
・子供が外で遊んでいる間に、晩御飯を作ります。,I will cook dinner while my children are playing outside.
・知らない間に、こんな時間になっていた。,It's late at this time of the day without my knowledge.
・暇な間に、宿題をちゃちゃっと終わらせよう。,"While I'm free, I'll finish my homework quickly."
・勉強している間に、疲れて寝てしまった。,I fell asleep while I was studying.
・妻と子供が寝ている間に、勉強します。,I will study while my wife and children are sleeping.
・野菜を茹でている間に、ソースを作りましょう。,"While vegetables are boiling, I'll make sauce."
・学生の間に、一度でいいから海外へ行ってみたい。,"While I am a student, I would like to go abroad just once."
・留守の間に、泥棒に入られました。,I was robbed while I was away.
