Phrase,Translation
おっ こんにちは あれ？,"Oh, hello. What's that?"
どうも ありがとうございました,Thank you very much.
しかし 勇気を持ってくぐった者は 気づくだろう,But those who dare to pass through will notice.
うまい酒とおいしい料理,"Good sake, good food."
いらっしゃい,Welcome.
あっ じゃあ カウンターどうぞ,Have a seat at the counter.
はい コート お預かりしますね,I'll take your coat.
どこの家庭でも 出てくるような料理で,We serve food that can be found in any household.
一つ一つ丁寧に心込めて作んだ,Made one by one with care and attention.
料理食べた人が 思わず笑みを浮かべるような一皿,A dish that will make anyone who eats it smile.
それができて初めて,Only then can it be done.
払った金 惜しくねえって 客が思ってくれるようになんだ,Our customers will not regret the money they spend.
いらっしゃい カウンターどうぞ,Welcome. Have a seat at the counter.
殴り込みじゃねえんだからさ 現場で何かあったのかい？,Don't come in throwing fists. Did something happen at work?
と言いたいところですが,Is what I would like to say but..
今日のおすすめには 違うお酒のほうが合いそうなんです,I believe a different drink will pair better with today's special.
今日は寒の戻りって 感じだから いいかもね,"It's like the cold weather is back, so maybe it's a good thing."
うん 熱いおでんを 頂こうじゃねえの,"Yes, I'll have the hot oden please."
はい じゃあ お酒はどうします？,Yes. What are you drinking?
お任せだ,I'll leave it up to you.
分かりました,Okay.
来ましたよっと,Here it is.
おでんもどうぞ,Here is your oden.
おお これ… うまそうじゃねえかよ え？,"Oh wow, it looks so good. Wow."
はいはい じゃあ はい いただきやす,"Okay then, let's dig in."
一口だけ お先,Let me have one bite.
ありがとうございました,Thank you very much.
飲みやがった この野郎,This bastard took a sip.
人が せっかく待ってんのに,And here I was waiting for you!
しょうがねえな このおやじ,This old man can't be helped.
この酒は..,This sake is..
分かりますか？,Do you know what it is?
ちゃんと米の香りが残っているのに 重さがないね,It has a proper aroma of rice but the taste is light.
で この熟成のうまみと 後切れもさっぱり,And it has a mature flavor as well as a refreshing aftertaste.
まだ分かりませんってば,We don't know yet.
あれこれ知ってて当然ですよ,Of course I know a lot of things.
そりゃあ そうでしょうけど..,"That may be true, but.."
まあ 年寄りに花持たしてやりなよ,Let the old man have his glory.
今日の酒は？,What's the drink of the day?
優しい口当たりで 料理を引き立てるところを見ると..,I see where it's gentle on the palate and complements the food..
どうだ？,How did I do?
正解,You got it right.
ほら さすがですね,You're amazing.
鳥取県にある 諏訪酒造のお酒です,It is from the Suwa sake brewer in Tottori Prefecture.
そのお酒 今日 初めて出すんだよ,Hm? -It's our first time serving it.
そうだよ まあ 大概 その.. 色だよ,"I know, but you can generally tell by the color."
ね？　味 香り この３つ そろえば 見当はつくんだよ,"Flavor, aroma and color are the three things to go by."
これこれ ああ.. この色だよ これ 変わってますよね,"First of all, look here. At this color. It is different."
おお 黄色いな この酒,"Oh, it's yellow."
これが酒本来の色なんだよ,This is the true color of sake.
お酒の場合は やまぶき色って言うんですって,"In the case of sake, it's called yamabuki-iro."
へえ やまぶき色？,Really? Yamabuki-iro?
やまぶき色って もっとすごく黄色くない？,Isn't that a stronger yellow tone?
うん 私もそう思って調べてみたの,Yeah. I thought the same thing so I looked it up.
一番近い色は 密陀僧って色だったんだけど,The closest color was called mitsudasou.
密陀僧？ そんな色 聞いたこともないわ,Mitsudasou? I've never heard of it.
だから 分かりやすく やまぶき色って 言われてるんだと思うわよ,"That's probably why by it's called by the recognized color, yamabuki-iro."
わざわざ色見本 調べるところとか お姉ちゃんらしいというか めんどくさいというか…,It's just like you to do something as tedious as look up color charts--
うるさいわね 気になったら調べるでしょ,Shut it. It's normal to look things up if you're interested in them.
はいはい 私も勉強させていただいてます,"Yeah, sure. I learned something thanks to you."
ラベルがちょこっと 見えちゃったんだよ,I got a glimpse of the label.
ずるい 反則じゃないですか,How sneaky of you. That's cheating.
引き分けってことだね,It's a draw then.
それにしても このおでん うめえな,"Either way, this oden is delicious."
目ざといなあ,You have a sharp eye.
明日のおすすめにしようと 思ってたのに,I was planning on making it tomorrow's special.
明日か.. でも明日は予定があって 来られねえんだよ,"Tomorrow, huh? But I have plans and can't come tomorrow."
今日のうち 食わせてくれよ な？ 元気をつけときたいからさ,Come on and let me have it today. I want to get some energy.
いいじゃん 今日 トクさん 嫌なことあったみたいだし ねえ,"What's the big deal? It seems Toku had a rough day, right?"
うん 出してあげれば？,Let him have it.
まだ 食べ頃じゃないかもしれないけど,It might not be ready yet…
分かった 特別にお出しします,Fine. I'll treat you to it.
おお やった！,That's the spirit.
お待ちください はい,Please wait. I will.
卵黄のみそ漬けね,This is it. Egg yolk misozuke.
うまそうだな,That looks good.
何だよ 自分だって そのザマかい,"What? You can't resist it, either?"
はーい フライング お二人目！,And another one jumps the gun!
すまねえ,Sorry.
酒 もう１杯頼むよ 美音坊,I'll order another drink as thanks. -Oh!
じゃあ 今度は 軽く燗にしましょうか,Shall we go for a hot sake next?
いいねえ おでんには冷や,That will be nice. Chilled sake for oden and hot sake for this.
これには燗 うん,Chilled sake for oden and hot sake for this.
文句～ あるか,You gotta problem?
ちょっと早いけど コクがあってうまい,"It may be a bit soon, but it's rich and delicious."
憂さ晴らしって 何があったの？,Why do you need to blow off steam?
ああ 今日の現場,"Ah, today's scene."
いろいろあって終わんなくてな,A lot happened at work today and we couldn't finish the job.
下働きする助手のことだ,It's what we call an apprentice.
資材を運んだり 道具をそろえたりか？,You mean like hauling materials or getting all the tools together?
新しく入った弟子が 無断で休みやがった,The new apprentice skipped work without permission.
具合が悪かったとか？,Was he sick?
だったら まだよかったんだがな,I wish that had been the case.
嫌んなったって言いやがるんだよ え？,He said he was fed up. What?
朝起きて 今日も一日中― 足場の柱や板 運んだりすんのが,"Said he woke up, and just felt fed up with carrying poles and wood all day long."
もう 急に嫌になったってよ,It came out of nowhere.
それで現場 空けたのかい,So he skipped work? Yeah.
ありかよ そんなの,"Hey now, that's not acceptable."
そんなやつには 見えなかったんだがなあ..,He didn't seem like that kind of kid..
今日 大変だったんじゃ？,You must have had a hard day.
ああ 現場監督 カンカンだよ,Yeah. The site supervisor was furious.
いつもの２倍は働いたね,I did double my usual workload.
