Sentence,Translation,Word,Reading,Meaning
宿題はさっさとやるよう心掛けなさい,Try to do your homework quickly,心掛ける,こころがける,"bear in mind, aim to do, try to do"
現在でも多くの国で現役である,Still in service in many countries today,現役,げんえき,"active duty, active service"
僕は思いきり働きたい,I want to work to the best of my ability,思い切り,おもいきり,"to heart's content, to one’s best ability"
考えたすえに彼との結婚は思い切ることにした,"After thinking about it, I decided not to marry him",思い切る,おもいきる,"give up all thoughts, make up one's mind "
そのように思い切って公表するようになった,I'm now bold enough to publicize it that way,思い切って,おもいきって,"resolutely, boldly, daringly"
何をやらせても彼女は割り切って行動している,"No matter what I let her do, she acts divisively.",割り切る,わりきる,"clear cut, clean decision, clear solution"
ファイルを開き直す必要がなくなります,No more need to reopen files,開き直す,ひらきなおす,to reopen
高齢者講習や初心者講習も行っている,There is an advanced class as well as a beginners class,講習,こうしゅう,"short course, training"
素材の味を生かした料理,A dish that brings out the taste of the ingredients,素材,そざい,"ingredient, material, resource"
一期一会の貴重な機会となることでしょう,It will be a once-in-a-lifetime opportunity,一期一会,いちごいちえ,once-in-a-lifetime encounter
報告の前篇を記しました,I have written the first part of the report,前篇,ぜんぺん,"first part, prequel"
一般モデルは後編をお楽しみに,Please enjoy the second part of the general model.,後編,こうへん,"latter part, sequel, concluding part"
緊迫した情勢にうまく対処する,Dealing successfully with tense situations,対処,たいしょ,"dealing with, coping with"
我々が対決を見ていることは明らかです,It is clear we are looking at a showdown,対決,たいけつ,"confrontation, showdown​"
