Number,Questions
1,ろうか＿＿絵をかきます。
2,近所＿＿家事がありました。
3,毎日自転車＿＿会社に行きます。
4,紙＿＿にんぎょうを作りました。
5,日本＿＿一番高い山は富士山です。
6,父は今仕事＿＿忙しです。
7,かぜ＿＿学校へ行けませんでした。
8,あそこ＿＿いけがあるでしょうか。
9,あの池＿＿魚がたくさんいます。
10,毎朝バス＿＿乗ります。
11,この応答をホスト＿＿返します。
12,授業は９時＿＿始まります。
13,子供の部屋＿＿大きい窓を作りました。
14,子供の部屋＿＿一緒に紙の飛行機を作りました。
15,じこ＿＿電車が止まっています。
16,東京駅＿＿地下鉄＿＿乗り換えます。
17,風＿＿外の洗濯物が飛びろうです。
18,中＿＿入れてください。
19,この紙＿＿黒いペン＿＿名前を書いてください。
20,こちらのへや＿＿、このいす＿＿すわって少し休んでください。
21,公園で a. 池が b. コンサートが あります。
22,ここに a. 荷物をおいて b. 料理を作って ください。
23,台風で a. はしが壊れました b. はしを渡りました。
24,駅の前に a. 花屋ができました b. 花を買いました。
25,動物園にいろいろな a. 動物がいます b. 動物を見ましょう。
26,いつも a. 8時間に b. ８時に 寝ます。
27,このみかんで a. むしが食べました b. ジュースを作りましょう。
28,世界で a. いろいろな国があります b. いちばん広い国はどこですか。
29,
30,
