Sentence,Translation
本を読む<b>時</b>,When reading a book.
彼女は音楽を聴き<b>ながら</b>,While she listens to music.
食事の<b>前に</b>,Before a meal.
日本へ行く<b>前に</b>,Before going to Japan.
作成された<b>後で</b>発生します,Occurs after it is created.
先に風呂に入っ<b>てから</b>,After taking a bath.
日本に来<b>てから</b>,Since I came to Japan.
会場の用意をしている<b>ところ</b>,The venue is being prepared.
手紙を書き終え<b>たところ</b>,Just finished writing a letter.
ここを出る<b>ところ</b>です,About to leave here.
さっき着い<b>たばかり</b>です,I just got here.
制限時間５時間の<b>間に</b>,During the five-hour time limit.
レポートが生成される<b>間</b>,While the report is generated.
暗くならない<b>うちに</b>,Before it gets dark.
昼寝をしている<b>間</b>,While taking a nap.
増え<b>てからでないと</b>うまく回りません,It will not turn out well until there is an increase.
認証が完了し<b>てからでなければ</b>,Only after authentication is complete.
おっしゃる<b>とおりに</b>いたしましょう,I will do as you say.
ご存じの<b>とおり</b>,As you know.
先ほど言った<b>とおり</b>,As I mentioned earlier.
指定した<b>とおりに</b>説明は変更されます,Description will be changed as specified.
示されている<b>とおりに</b>入力する情報,Information to be entered as indicated.
会議は計画<b>どおりに</b>運んだ,The meeting went as planned.
セレモニーは発表<b>どおり</b>開催します,Ceremony will be held as announced.
つまり広告<b>どおり</b>よね,So it's exactly as advertised.
接続する機器<b>によって</b>異なります,Varies depending on the device to be connected.
素材<b>によって</b>発色が異なります,Colors vary depending on the material.
物質は温度<b>によって</b>形を変える,Matter changes its form according to temperature.
背景色は好み<b>によって</b>変更することができます,Background color can be changed according to preference.
改修工事<b>によって</b>もう見る事はありません,"Due to renovation work, it will no longer be seen."
いろいろな理由<b>によって</b>起きています,It happens due to a variety of reasons.
雨が降り続いた<b>せいで</b>,Because of the constant rain.
指導してくれた父の<b>おかげ</b>だ,Thanks to my father for his guidance.
お腹空いてるんだ<b>もん</b>,I'm starving.
体調が悪い<b>ため</b>,Due to poor health.
 疲れている<b>のですから</b>,Since you’re tired.
留学したこと<b>がきっかけで </b>,Studying abroad was a great opportunity for me. 
友達ができたの<b>がきっかけで</b>,It was a chance to make friends.
パソコンを買ったの<b>をきっかけに</b>,when I bought a personal computer
英語が上手な<b>わけだ</b>,No wonder he speaks English so well.
だからかみの毛の色が素敵な<b>わけだ</b>,That's why his hair color is so nice.
つまり明日から一週間休みたいという<b>わけだ</b>,So you want to take a week off starting tomorrow.
彼女とは高校で出会って<b>以来</b>,I've known her since high school.
あなたは私のことを好きな<b>わけだ</b>ね,So you like me.
引っ越して<b>以来</b>,Since moving in.
交通事故<b>によって</b>,Due to a traffic accident. 
 値上げ<b>により</b>,Due to price increase
彼は病気だった<b>わけだ</b>,So he was sick.
犬が逃げたのはあなたの<b>せいだ</b>,The dog ran away because of you.
彼は自分の失敗を私の<b>せいにした</b>,He blamed me for his failure.
雨の<b>せいで</b>ピクニックが中止になった,The picnic was canceled because of the rain.
疲れた<b>せいか</b>頭が痛い,"Maybe it’s because I’m tired, but my head hurts."
ウィルスや微生物の<b>せいか</b>わからないけど,Don't know if it's a virus or a microbe.
登り<b>始めた</b>,I started climbing.
朝ご飯を食べ<b>終わって</b>から,After finishing breakfast.
振り返り<b>続ける</b>,Keep looking back.
忘れない<b>ように注意された</b>,I was warned not to forget.
飲まない<b>ように言われた</b>,I was told not to drink.
背が伸びる<b>という</b>ことは,Growing taller means that.
難し<b>という</b>話を聞きました,I have heard that it is difficult
花粉症<b>って</b>病気,Hay fever is a disease.
飯の上に乗せたカキフライ丼<b>という</b>料理,A dish called oyster bowl on top of rice.
大丈夫<b>だろうと思う</b>,I think it’s fine.
今日は晴れ<b>そうもない</b>,It doesn't look like it will clear up today.
買え<b>そうにない</b>,I can't seem to buy it.
実現し<b>そうにもない</b>,Unlikely to happen.
あまり辛く<b>なさそう</b>ですね,Doesn't look too spicy.
考えていた<b>ほど</b>時間はない,Not as much time as I thought.
果てしなく続い<b>ていく</b>,It goes on endlessly.
部屋に入っ<b>てくる</b>,He comes into my room.
少し質問<b>させてもらう</b>,Let me ask you a few questions.
その許可証を再確認<b>させてくれる</b>？,Can you let me double check that permit?
今度は濡れた床を掃除まで<b>させられる</b>,Now they even make me clean the wet floor.
青信号が出<b>たとたん</b>に動き出す,"As soon as there is a green light, it starts moving."
彼女はとても痩せた<b>がっている</b>,She wants to lose so much weight.
屋上に上がっ<b>たら</b>東京タワーが見えた,"When I went up to the rooftop, I could see Tokyo Tower."
やりたい<b>なら</b>方法を見つける,"If you want to do it, find a way."
押せ<b>ば</b>ドアが開きます,Push to open the door.
急に泣き<b>出す</b>かもしれないし,You might start crying all of a sudden.
拠出し<b>ようとする</b>基金の額,Planned amount of contribution to the funds.
わかり合<b>おうとする</b>,Try to understand each other
この映画は小説<b>を基にして</b>作られた,This film is based on the novel
建設計画<b>をめぐって</b>言い争っている,Arguing over construction plans.
明日の会議には社長<b>をはじめ</b>,Tomorrow's meeting will include the president.
貧富や性別<b>を問わず</b>,Regardless of wealth or gender.
取材の申し込みは事務所<b>を通して</b>,Requests for interviews should be made through the office.
僕は４年の大学生活<b>を通して</b>,Throughout my four years of college.
今度のテストは敬語の問題<b>を中心に</b>出します,The upcoming test will focus on honorifics.
野菜<b>を中心とした</b>食事,Vegetable-based meals.
字幕<b>を頼りに</b>日本の映画を見る,Watching Japanese movies with subtitles.
あらゆるツテ<b>を頼って</b>,Relying on all kinds of contacts.
感謝の気持ち<b>を込めて</b>寄せ書きをしました,We wrote a collection of thank-you notes.
家族への感謝を<b>込めて</b>,In appreciation of the family.
これらの対話<b>を契機に</b>,These dialogues are an opportunity to.
この事件<b>を契機に</b>,This incident was the catalyst for.
今回の留学フェア<b>を契機として</b>,This study abroad fair is an opportunity to.
韓国ドラマが<b>きっかけで</b>韓国語を習い始めました,I started learning Korean because of Korean dramas.
入院したの<b>をきっかけに</b>タバコとお酒はやめました。,I quit smoking and drinking when I was hospitalized.
これ<b>をきっかけに</b>新城壁が建てられた,This led to the building of new city walls.
絵画という共通の趣味<b>をきっかけに</b>寵愛を増す,Their shared hobby of painting led to increased favoritism.
今日は日曜日<b>のわりには</b>人が少ないね,Not many people here today for a Sunday.
彼女は年齢<b>のわりに</b>若く見えます,She looks young for her age.
この映画は人気がある<b>わりに</b>あまり面白くなかった,"This movie wasn't very interesting, despite its popularity."
彼は年<b>のわりには</b>立派な判断力がある,He has admirable judgment for his age.
何か恐れる<b>ものがある</b>,There's something to be afraid of.
素晴らしい<b>ものがあるなと思います,There's something really wonderful about it.
スキルには様々な<b>ものがある</b>,Skills include a variety of things.
彼女の歌には感動する<b>ものがある</b>, There's something inspiring about her singing.
人の話を聞かないで判断する<b>ものではない</b>,One should not judge without listening to people's stories. 
電車が遅れた<b>ものだから</b>,Because the train was delayed.
行ける<b>ものなら</b>月に行ってみたい,"If possible, I would like to go to the moon."
彼は年の<b>わりに</b>元気だ,He is in good shape for his age.
このカメラは高い<b>わりに</b>よく売れる,This camera sells unexpectedly well considering the high price.
中古の<b>わりに</b>高くないですか,Isn't it expensive for a used one?
