Script.EP1,Meaning.EP1,Script.EP2,Meaning.EP2,Script.EP3,Meaning.EP3,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
くそっ！,Shit!,,,,,,,,,,,,,,,,,,,,,,
その傷で よくやるもんだ,"You fought quite well, considering your wounds.",,,,,,,,,,,,,,,,,,,,,,
きっと彼らは,They must've realized it,,,,,,,,,,,,,,,,,,,,,,
一目 見て 分かったはずだ,the moment they saw each other.,,,,,,,,,,,,,,,,,,,,,,
２人は 初めて出会うより 以前から…,"That long before they had ever met,",,,,,,,,,,,,,,,,,,,,,,
ああなる運命だったんだろう,this destiny awaited them.,,,,,,,,,,,,,,,,,,,,,,
すれ違っていたわけでもない,They were not like ships passing in the night.,,,,,,,,,,,,,,,,,,,,,,
彼らは 誰よりも深く お互いを理解し,"They understood each other better than anyone else,",,,,,,,,,,,,,,,,,,,,,,
相手のことだけを 見詰めていた,and each was focused solely on the other.,,,,,,,,,,,,,,,,,,,,,,
お前は 狡噛 慎也(しんや)だ,You are Shinya Kogami.,,,,,,,,,,,,,,,,,,,,,,
お前は 槙島 聖護(しょうご)だ,You are Shogo Makishima!,,,,,,,,,,,,,,,,,,,,,,
こちらは 公安局刑事課です,"This is the Criminal Investigation Department, part of the Public Safety Bureau.",,,,,,,,,,,,,,,,,,,,,,
現在 この区画は 安全のために 立ち入りが制限されています,Access to this block is currently restricted to ensure safety.,,,,,,,,,,,,,,,,,,,,,,
近隣住民の皆さんは 速やかに 退去してください,Neighborhood residents are expected to evacuate immediately.,,,,,,,,,,,,,,,,,,,,,,
繰り返し お伝えします,I repeat.,,,,,,,,,,,,,,,,,,,,,,
こちらは 公安局刑事課です,"This is the Criminal Investigation Department, part of the Public Safety Bureau.",,,,,,,,,,,,,,,,,,,,,,
現在 この区画は 安全のために 立ち入りが制限されています,Access to this block is currently restricted to ensure safety.,,,,,,,,,,,,,,,,,,,,,,
す… すいません！,I-I'm sorry! Neighborhood residents are expected to evacuate immediately.,,,,,,,,,,,,,,,,,,,,,,
あの 監視官の宜野座(ぎのざ)さんでしょうか？,Excuse me! Are you Inspector Ginoza?!,,,,,,,,,,,,,,,,,,,,,,
俺だ,That's me.,,,,,,,,,,,,,,,,,,,,,,
配属早々に事件とは 災難だったな,What bad luck that you have to deal with an incident right after you got posted.,,,,,,,,,,,,,,,,,,,,,,
本日付けで 刑事課に 配属になりました,I've been assigned to the Criminal Investigation Department as of today!,,,,,,,,,,,,,,,,,,,,,,
