Script,Transcipt
（女性） ご利用ありがとうございまーす,Thanks for contacting us!
ぷるるん天然娘 特急便でございまーす,This is Supple 'n' Natural Gals Delivery Service.
（男性）あの デリバリーを お願いしたいんですけど,I'd like to order a delivery.
なるべく 急ぎで,As soon as possible.
（女性）ありがとうございまーす 女の子のご指名は？,Certainly. PAY-PER-HOUR HOTEL Who would you like?
（男性）何でも やれる子で！,A girl who'll do anything.
場所は…,The location is…
（ケイ）お待たせしました,Thanks for waiting.
（ケイ）ぷるるん天然娘特急便の ケイです,I'm Kei from Supple 'n' Natural Gals Delivery Service.
（横山）はあ？,What?
おい 誰か デリヘル呼んだか？,"Hey, did someone hire a call girl?"
（男）呼ぶわけねぇだろ バカ,"As if, dumbass."
お前 来る部屋 間違えてんぞ,You got the wrong room.
（男）何だ てめぇ！,Who the hell?!
（男）ガキ！,There!
てめえっ,Take this!
（ケイ）大丈夫です,You're fine.
安心して,Don't worry.
それじゃあ 帰りましょうか マネージャーさん待ってます,Let's go. Your manager's waiting.
あ それと,"Oh, also…"
これ （希海）何ですか？,-Here. -What is it?
（ケイ）まあ お守りみたいなもんです,"A keepsake, I guess."
ちょっと待っててくださいね,"Wait a sec, okay?"
アイドルも大変ですね,"It's tough having fans, huh?"
本当にありがとうございます,Thank you so much.
お疲れさまでした,Nice working with you.
（ヅラ）お疲れさま ケイちゃん,"Nice work, Kei."
はー 疲れた アイス アイス,I'm exhausted. Popsicle time.
（ヅラ）はい シカト いつものやつ！,"Yes, ma'am, the usual!"
ケイちゃん ケイちゃん,"Hey, Kei?"
（ケイ）ヅラさん 閉めて,"Close the door, Zura."
（ヅラ）今夜も月がキレイやなぁ 痛い！,"Boy, the moon's pretty tonight."
早く出して （ヅラ）あーはい,"-Hurry up and drive. -Yes, ma'am."
（ヅラ）そりゃあ あの子のエロ動画 撮られたら,Guess they had to call us with raunchy vids of Nozomi floating about.
うちに頼むしかないわなぁ,with raunchy vids of Nozomi floating about.
本物の希海ちゃん かわいいかった？,Was she super cute in person?
普通,Nothing special.
そうか～ 普通にかわいいかぁ,Really? Just ordinarily cute?
そうや！,Wait.
あの子 確か 明日 生配信あるで 顔にケガとか大丈夫なんか？,"She's livestreaming tomorrow. No harm done to her face, right?"
うん （ヅラ）あ せやせや ケイちゃん ケガ言うたらな,"-No. -Hey, speaking of injuries…"
この指 見て,Look at my finger.
さっき車のドアで バチコーン挟んでん,I caught it in the car door just now.
この先っぽ 痛…,It hurt so much.
うるさい このヅラ！,"Shut up, Zura!"
コラっ！ おしゃべりハゲ野郎！,-Hey! -Bald blabbermouth!
そのまんまやないか！ シンプルに口悪いで,Pretty uninventive insult!
返して！ ポンポンしたらあかん （ケイ）ハハハ （ヅラ）形 崩れる （ケイ）ほらほらほら （ヅラ）返せって,Give it back. Don't play with it! You'll ruin the shape.
前 前見て （ヅラ）返してえな お願い！ （ケイ）ハハハ,"-Eyes front. -Please, give it back."
ハハハやないねん 返せ！ （ケイ）はい,"I'm not joking, give it back."
髪の毛のことを いじられても耐え忍び,Endure insults about your hair.
スキンシップを図る,Establish physical contact.
すべては壊れやすい 少女たちのためや,It's all to help vulnerable girls.
私は大丈夫,"I'm fine, actually."
だって 希望を持ってる,"See, I've got a dream."
小さくても それを持つのは いいことだ,"It's good to have a dream, no matter how small."
そしたら ケイちゃんの 今の希望は何やの？,"So, what's your dream now?"
（ケイ）それは もちろん,"Why, of course…"
日商簿記検定２級 合格,to pass Level 2 of the Bookkeeping Proficiency Test.
（講師）資産と負債の 差額を資本と言いますが⸺,Assets minus liabilities equal capital.
会社法などでは 貸借対照表の,"But in corporate law and such, the difference is referred to on the balance sheet"
資産と負債の差額を,the difference is referred to on the balance sheet
純資産と呼びます,"as ""net worth."""
（りっか）ねえねえ ケイちゃん ケイちゃん,"Hey, Kei? -Liabilities are called… -Kei?"
もー りっかちゃん 集中してよ,"Come on. Focus, Rikka."
ちょっと,Hey! Stop!
ちょっ… ハハハ ちょっと待って,Hey! Stop! Come on.
