Words,Meaning,Sentences,Translation
来る,come,雨天の後には晴天が来る。,After rain comes fair weather.
見る,see,映画でも見ていこうか。,Let's stop off and see a movie.
居る,exist,彼は昨年北海道にいましたか。,Was he in Hokkaido last year?
くれる,give,彼女は私たちに食べるものをくれた。,She gave us something to eat.
要る,needed-wanted,この家は家賃がいらない。,This house is free of rent.
それ,that,誰がそれを知ろうか。,Who'd know that?
時,time-hour,私の家に来れる時は、まず電話をして下さい。,"When you can come to my house, please call me first."
される,be doing,奨学金が交付された。,I got a grant for my tuition.
から,from,ここから歩いて２時間もの距離だ。,It is no less than two hours' walk from here.
僕,i-me,僕の声は届いていますか。,Can you hear I'm calling?
板,board-plank,私はその板をインチで計った。,I measured the board in inches.
前,ago-before-in front,駅に着く前に列車は発車していた。,The train started before we got to the station.
ではない,is not,能力がすべてではない。,Ability alone is not enough.
よう,appearing-like,こういう機器では買いたくなるような値段です。,"It's an attractive price, for this sort of device."
中,inside,なぜ森の中で道に迷ったのか。,Why did you get lost in the woods?
言う,say,私に一回だけ言わせてくれ。,Let me say it once for all.
先生,teacher,彼は駅で英語の先生にばったり会った。,He met his English teacher at the station by accident.
見える,be seen,あちらに富士山が見えます。,We can see Mt. Fuji over there.
私,i-me,正確に言うと私は大学講師です。,"Specifically, I'm a university lecturer."
べき,should,君は彼に本当のことを言うべきだった。,You should have told him the truth.
積もり,intention-plan,私は外国へ行くつもりだったが。,I intended to have gone abroad.
年,year,私がここへ来てから二年になる。,It is two years since I came here.
という,called-named-said,それは何という動物だ。,What an animal it is!
有る,exist,私たちの学校には１０の学級がある。,Our school has ten classes.
男,man-male,農場で一人の男が働いている。,There is a man working on the farm.
この,this,このスカーフはすべすべする。,This scarf feels soft.
行けない,wrong-must not do,あなたはこの部屋で眠ったらいけません。,You are not to sleep in this room.
思う,think,彼は彼女をとても魅力的だと思います。,He thought her very charming.
には,for-in regard to,この国には外国人の観光客が大勢いる。,Foreign tourists in this country are numerous.
んです,it is that,あの、本当は、ちょっと具合が悪いんです。,"Well... actually, I'm sick."
させる,make do-let do,医者は少女に抗生物質を服用させた。,The doctor dosed the girl with antibiotics.
方,direction-way-side,どっちの方に行くとよいかな。,Which way shall we go now?
悪い,bad-poor,彼女はいつも体の具合が悪いと不平を言っている。,She is always complaining of her poor health.
にも,also-too-as well,この規則はいくとおりにも解釈できる。,This rule reads several ways.
ので,because-since,私は非常に早く起きたのでその列車に間に合った。,"Because I got up so early, I caught the train."
鳴る,sound-ring,突然ベルが鳴った。,The bell rang suddenly.
学生,student,ここの本は学生が誰でも利用できます。,These books are accessible to all students.
立つ,stand-rise-stand up,あの建物の前に立っている人は誰ですか。,Who is the man standing in front of the building?
よりも,in comparison to-rather than-than,彼女は彼よりも優れた指導者だ。,She is a more proficient leader than he is.
や,and,賃金や給料は定期的に受け取る給与のことです。,Wages and salary are pay received at regular times.
考え,thought-idea,彼の考えは私の考えと一致しない。,His ideas do not fit in with mine.
自分,oneself,自分のすらっとした姿を得意に思っています。,She is vain about her slender figure.
って,says that-as for,楽しい時って、あっと言う間に時間過ぎちゃうんだよね。,"When you're enjoying yourself, the time seems to fly by."
