Script.Archi,Meaning.Archi,Script.Sushi,Meaning.Sushi,Script.Vision,Meaning.Vision,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
つくらない建築というテーマで,On the theme of architecture not to be built,僕がこの場でスピーカーとして 話をさせていただくことは とても光栄です,I am very honored to be able to speak to you at this very location today.,こんにちは,Good afternoon.,,,,,,,,,,,,,,,,,,
みなさんにメッセージを送るとともに,I thought it would be good to send a message to everyone,なぜならば 僕の人生の中で,The reason for this is that this is the place,網膜再生医療を作っている高橋です,I am Dr. Takahashi. I work on retinal regeneration therapy.,,,,,,,,,,,,,,,,,,
世界にも流れたらいいかなと思って,I would like to send a message to you and to the world,初めて夢破れた場所だからです,The reason for this is that this is the place where my very first dream was torn apart.,今日は公益法人NEXT VISIONの 理事として来ました,"I am here as the director of NEXT VISION, a public interest association.",,,,,,,,,,,,,,,,,,
話をさせていただきます,I would like to talk about it.,というのは 僕が中学校三年生のとき,"When I was in my third year in junior high school,",多分 皆さんが聞きたい話じゃなくて,"I will be talking about what I want to talk about,",,,,,,,,,,,,,,,,,,
建築家という言葉から イメージされるものは,"What do you think of when you hear the word ""architect""?",両親に初めて 正座をしてお願いをしました,I sat my parents down and spoke to them seriously for the very first time:,自分で話したい話をさせて頂きます,rather than what you probably are expecting to hear.,,,,,,,,,,,,,,,,,,
みなさん どんなものがありますか？,"What do you think of when you hear the word ""architect""?",高校は 京都外大付属西高校にいき,"""I want to go to Kyoto University of Foreign Studies High School,",早速ですけど この後ろの写真,"This picture behind me,",,,,,,,,,,,,,,,,,,
一般的には 「建築家」と言ったら,"Generally speaking, when I say ""architect,""",京都外大に行きたい と,"Kyoto University of Foreign Studies, and then I want to go abroad.",これ普通の風景ですよね？,"this is a kind of sight you would normally see with your eyes, right?",,,,,,,,,,,,,,,,,,
こんなイメージですね,I imagine something like this.,京都外大に行き 海外にいきたい と,This is what I told them. I wanted to go abroad because I'd enjoyed my homestay experience in America,人間の目ってすごく不思議なところが いっぱいあるんですけども,"Human eyes are full of mysteries,",,,,,,,,,,,,,,,,,,
バルセロナのサクラダファミリア のガウディ,Gaudi of the Sacrada Familia in Barcelona.,中学二年のときアメリカに ホームステイした経験もあり,I wanted to go abroad because I'd enjoyed my homestay experience in America,実はこの写真 間違ってるんです,so this photo is not exactly correct.,,,,,,,,,,,,,,,,,,
それから東京都庁舎ですね あの上[の画像]はね,And then there's the Tokyo Metropolitan Government Building.,海外に行きたかったのです,during my second year in junior high.,何かっていうと,"That is because,",,,,,,,,,,,,,,,,,,
