Script,Translation
"１。リサさんはみどりさんの仕事仲間です。きのう、リサさんはみどりさんの家を訪問しました。 <br>２。リサさんは、まずみどりさんのお母さんにあいさつをして、手土産を渡しました。それから、お茶を飲んで、仕事や家族の話をしました。 <br>３。リサさんは、香港から日本に来て、今CTBという旅行会社に勤めています。そこで中国語のガイドをしています。家族は５人家族で、両親とお兄さんが２人いますが、みんな香港に住んでいます。 <br>４。リサさんはみどりさんたちに家族の写真を見せました。２人お兄さんは双子なので、そっくりです。でも、上のお兄さんは右の目の下にほくろがあるのですが、下のお兄さんは口に横にほくろがあります。２人はお父さんによく似ています。でも、お父さんにほくろも髪の毛もありません。","1. Lisa is a business associate of Midori's. Yesterday, Lisa visited Midori's house. <br>2. Lisa first greeted Midori's mother and gave her a gift. Then, she had a cup of tea and talked about her work and family. <br>3. Lisa came to Japan from Hong Kong and now works for a travel agency called CTB. Their she works as a Chinese language guide. Her family of five includes her parents and two older brothers, all of whom live in Hong Kong. <br>4. Lisa showed Midori and her family photo: The two older brothers are twins, so they look exactly alike. They look a lot like their father. They both look like their father, but their father does not have a mole or hair. "
"１。みどりさんはきのう大阪支社に出張しました。きのう、東京はとても暑かったですが、大阪はそんなに暑くありませんでした。日帰りの出張でしたから、忙しかったです。でも、仕事は、まあまあうまくいきました。 <br>２。夜、死者の人たちといっしょに食事をしました。みんなでお酒を飲んで、とても賑やかでした。大阪は、食べ物もお酒もとてもおいしいです。それで、みどりさんはお酒をちょっと飲みすぎました。 <br>３。今朝、みどりさんはふつかよいで頭が痛かったのですが、本社へ行きました。同僚の高橋さんは、みどりさんに出張のことをいろいろ聞きました。高橋さんは、はじめは、みどりさんが仕事で疲れていると思いました。でも、後で、二日酔いだとわかりました。","1. Midori-san went on a business trip to the Osaka branch office yesterday. It was very hot in Tokyo yesterday, but not so hot in Osaka. It was a one-day business trip, so I was very busy. But the work went fairly well. <br>2. At night, I had dinner with the dead. We all drank together and had a very lively time. Food and drinks are very good in Osaka. So Midori drank a little too much. <br>3. This morning, Midori had a headache from the cold, but she went to the head office. Her colleague, Mr. Takahashi, asked Midori about her business trip. At first, Mr. Takahashi thought Midori was tired from work. But later, he found out that she was hungover."
"高校生の部屋です。最近の日本の家では畳の部屋が少なくなり、ふとんではなくベッドで寝ることが多くなりました。 <br>日本的な物がかざられています。浮世絵は、江戸時代の絵の種類です。ここにあるおまもりは「湯島天神」のもので、学問の神様です。 <br>コアラのぬいぐるみはオーストラリアのおみやげです。ディズニーのキャラクターは、日本の若者に人気があります。 <br>一週間の予定をホワイトボードに書きます。日本の高校は、ふつう土曜日と日曜日が休みです。 <br>目覚まし時計を使って自分で起きます。学校のある日は7時に起きます。 <br>上坂彩さんは、埼玉県立春日部女子高校に通う、高校3年生です。17歳です。 <br>洗面所はトイレや風呂場の近くにあるのが普通です。朝、洗面所でシャンプーする人もいます。 <br>朝と夜に歯をみがきます。歯みがき粉をつけてみがきます。 <br>出かけるじゅんびをします。制服に着替えてから、髪をととのえます。 <br>ねている間に友達から来ていたメールをチェックします。ほとんどの高校生が携帯電話を持っています。友だち同士のコミュニケーションには、携帯メールがとても大切です。 <br>メールには、文字だけでなく、絵文字も使われます。ハートマーク、汗、なみだなどの記号や、笑った顔、怒った顔、おどろいた顔などの顔のマークもあります。","This is the room of a high school student. Recently, the number of tatami rooms in Japanese houses has been decreasing and people usually sleep on a bed instead of a futon.
<br>The room is decorated with Japanese things. Ukiyoe is a type of painting created during the Edo era. This lucky charm is from Yushima Tenjin,a shrine to a god of learning. 
<br>This stuffed koala is a souvenir from Australia. Disney character goods are popular among Japanese young people. 
<br>The week's schedule is written on a dry-erase board. There is usually no school on Saturdays and Sundays at high schools in Japan. 
<br>She uses an alarm clock to wake up. She gets up at seven o'clock on days she goes to school.
<br>Aya Kamisaka is a third-year high school student at Saitama Prefectural Kasukabe Girls High School. She is 17 years old.
<br>The washroom is usually close to a lavatory or a bathroom. Some people shampoo their hair in the washroom in the morning.  
<br>She brushes her teeth in the morning and at night. She brushes with toothpaste.
<br>She gets ready to go to school. After changing into the school uniform, she styles her hair.
<br>She checks e-mails that she got from friends while she was sleeping. Most high school students have a cell phone. E-mails using cell phones are very important for communicating with friends.
<br>Pictograms are used in an e-mail as well as characters. Pictograms include a heart shape, and there are symbols expressing sweat or tears. There are also symbols for a smiling, angry, or surprised face."
"学校へ行く前に、家で朝ごはんを食べます。
<br>朝食は、パンにサラダ、フルーツジュースなどが一般的です。ご飯とみそ汁のような、伝統的な和食の朝食は、だんだん少なくなっています。
<br>上坂さんは、１人で朝ご飯を食べます。家族全員で朝食をとる家庭は少ないです。高校生の60%以上は1人で朝食をとっています。
<br>高校では給食がないのが普通です。昼食にはお弁当を持って行ったり、売店で買ったりします。お弁当箱には、ご飯とおかずが入っています。
<br>お弁当はお母さんが作ります。料理をするときは、かざりのない長い木のはし（さいばし）を使います。
<br>お弁当をわたします。弁当箱は、布につつんで持って行きます。
<br>8時に家を出ます。玄関で靴をはきます。家を出る人が言うあいさつは「いってきます」、家を出る人にむかって言うあいさつは「いってらっしゃい」です。
<br>上坂さんは、自転車で学校に行きます。日本の高校生は、学校には、自転車を使ったり、歩いて行きます。遠い場合は、電車やバスです。車を運転して行く人はいません（運転免許は18歳以上です）。
<br>高校3年生、上坂彩さんの高校生活です。上坂さんは、自転車で学校に行きます。日本の高校生は、学校に行くときは、自転車を使ったり、歩いて行ったりします。家から遠い場合は、電車やバスを使います。","Before leaving for school, she eats breakfast at home.
<br>Bread, salad, and fruit juice are common for breakfast. Fewer people now eat a traditional breakfast of rice and miso soup. 
<br>Aya eats breakfast alone. Few families eat breakfast together. More than 60 percent of high school students eat breakfast alone.
<br>High schools usually don't serve lunch. Students bring a box lunch or buy something at a school stall. Rice and side dishes are in the lunch box.
<br>Aya's mother makes a box lunch for her. When cooking, she uses long, plain cooking chopsticks.  
<br>Her mother hands the lunch box to Aya. She wraps it in a cloth and carries it to school. 
<br>She leaves her home at eight. She puts on her shoes at the entry. When you leave home, you say Ittekimasu.When you see someone going out, you say Itterasshai.
<br>Aya goes to school by bicycle. High school students usually go to school by bicycle or on foot in Japan. If the school is far, they use a train or bus. Nobody drives to school. (Persons 18 and older can obtain a driver's license in Japan.)
<br>This is the high school life of Aya Kamisaka, a third-year student. She goes to school by bicycle. High school students normally go to school by bicycle or on foot in Japan. If the school is far, they use a train or bus. "
"まず、学校に着いたら、くつをはきかえます。日本では、建物の中に入るとき、くつをぬぐことも多いです。
<br>ぬいだくつは、「げた箱」にしまいます。学校では、自分のくつを入れる場所が、ひとりひとり決まっています。
<br>学校の中ではくくつを、「上ばき」と言います。上ばきは、げた箱の中に入っています。くつから上ばきにはきかえてから、建物の中に入ります。
<br>上ばきにはきかえたら、教室に向かいます。
<br>教室に入ったら、クラスのともだちに「おはよう」とあいさつします。教室では、自分の席が決まっています。教室に入ったら、教科書などを自分の机にしまいます。
<br>上坂さんの学校は女子校です。日本の高校は、男子だけの男子校、女子だけの女子校があります。男子と女子がいっしょの高校を、共学といいます。
<br>女子高生はファッションやメイクにとても興味があります。雑誌を持って来て、みんなで見ます。
授業が始まる前は、友だちとおしゃべりをします。勉強をする人もいます。","When she arrives at school, first she changes her shoes. When you enter buildings, you often take off your shoes in Japan.
<br>You put your shoes in a shoe box. A space for your shoes is assigned at school.
<br>Shoes you wear when you are in the school are called indoor shoes. Indoor shoes are kept in the shoe box. She changes into her indoor shoes and enters the building.
<br>Having changed into her indoor shoes, she goes to the classroom. 
<br>When she enters the classroom, she says Good morning to her classmates. In the classroom, students have assigned seats. When entering the classroom, she puts her textbooks in her desk.
<br>Aya's school is a girls' school. There are boys' schools where only boys go and girls' schools where only girls go in Japan. Schools for both boys and girls are called coed schools. 
<br>Female high school students are very interested in fashion and makeup. They bring magazines and look at them together. 
<br>Before the class starts, she chats with her friends. Some students study."
"8時50分に、授業が始まります。
<br>国語の授業です。先生の話を聞いて、まじめにノートを取ります。高校では、先生は教科によって変わります。
昼食の時間です。教室でお弁当を食べます。高校では給食がないのが普通です。昼食にはお弁当を持って行ったり、売店で買ったりします。
<br>上坂さんは、お母さんがつくったお弁当を食べます。自分でお弁当をつくる高校生もいます。
<br>にんじんが、星の形です。お弁当は、野菜をいろいろな形に切ったり、かざりを入れたりして、見て楽しめるようにすることも多いです。
<br>上坂さんは、教室で友だちといっしょにお弁当を食べます。
<br>昼休み、上坂さんは図書室へ行きます。
<br>図書室には、本がたくさんあります。図書室では、好きな本を借りることができます。本を読んだり、勉強したりすることもできます。
<br>休み時間も勉強します。3年生は、もうすぐ大学受験です。
<br>上坂さんは外国語大学を受けるので、英語をいっしょうけんめい勉強しています。
<br>授業が終わるのは4時すぎ。そうじをしてから帰ります。日本の学校では、そうじは生徒たちの仕事です。自分たちの教室を、自分たちできれいにします。
<br>「ほうき」と「ちりとり」で、床のごみを集めます。
<br>夕方、家に帰りました。家に帰った人が言うあいさつは「ただいま」です。むかえる人のあいさつは「おかえり」です。","Lessons start at 8:50.
<br>This is a Japanese class. She pays attention to the teacher and seriously takes notes. Different teachers teach different subjects in high school. 
<br>It is lunchtime. Students eat box lunches in the classroom. Lunch isn't usually served at high school. Students bring a box lunch or buy something at a school stall. 
<br>Aya eats her box lunch, which her mother made for her. Some students make their box lunch by themselves. 
<br>The carrot is shaped like a star. Box lunches are often made to be pleasant to the eye, with vegetables cut into various shapes and decorations used.
<br>She eats her box lunch with her friends in the classroom.
<br>During lunch break, Aya goes to the library.
<br>There are many books in the library. You can borrow books you like from the library. You can also read books and study there.
<br>She studies even during lunch break. Third-year students will take university entrance examinations soon. 
<br>Because Aya will take the entrance exam of a foreign studies university, she studies English very hard.
<br>The classes finish after four. She does some cleaning before going back home. In Japanese schools, cleaning is the students' task. They clean the classroom themselves.
<br>She collects any trash on the floor using a broom and dustpan.
<br>She comes back home in the early evening. When you return home, you say Tadaima. People at home welcome your return, saying Okaeri."
"上坂さんのお父さんと弟さんです。上坂さんの家では、家族そろって夕食を食べます。最近は、部活動や塾、習いごとなどで帰りが遅くなり、家族とは別に食べる高校生も多いです。
<br>お母さんと上坂さんです。お母さんは、ビールを飲んでいます。夕食は、ご飯、みそ汁、肉料理などです。ご飯の入った茶碗を左手に持ち、右手のはしでご飯や別の皿のおかずをとって口に運びます。
<br>夜は、友だちとメールのやりとりをします。ほとんどの高校生が携帯電話を持っています。電話で話すこともありますが、メールのやりとりを楽しむことが多いです。
<br>上坂さんは、メールのほかに、音楽を聞いてすごすのも好きです。でももうすぐ受験なので、勉強もしなければなりません。
<br>上坂さんは受験生なので、夜も勉強します。机の前にはり紙をして、自分を勇気づけます。はり紙には、「なんとかはならない」「幸か不幸か、受験生である期間は短い」と書いてあります。
<br>現在、日本の高校生のほとんどは、電子辞書で勉強します。電子辞書には、英語の辞書のほかにも、百科事典や漢字辞典もあって、とても便利です。紙の辞書を使う人は、少なくなりました。
<br>夜の1時ごろ寝ます。高校生の平均すいみん時間は6～7時間といわれています。","They are Aya's father and younger brother. At her house, the family eats dinner together. Recently, many students don't eat dinner with their family because they come home late due to school club activities, cram schools and other after-school lessons.
<br>Here are Aya and her mother. Her mother is drinking beer. The dinner is rice, miso soup, meat dishes and other things. In your left hand you hold the rice bowl. With chopsticks held in your right hand you take rice and side dishes and carry them to your mouth.
<br>She enjoys exchanging e-mails with friends in the evening. Most high school students have a cell phone. They talk on the phone but more frequently use cell phones to enjoy exchanging e-mails.
<br>Besides e-mailing, Aya also likes listening to music. But because she has an entrance exam coming up, she has to study, too.
<br>Since Aya is a student preparing for an exam, she studies even at night. She posted a sign on her desk to encourage herself. On the sign, the words read  You have to prepare to achieve the goal and <br>Fortunately or unfortunately, you won't be preparing for exams forever.
<br>Nowadays, most high school students in Japan use an electronic dictionary. It contains an encyclopedia and a Chinese character dictionary as well as an English dictionary, and it is very convenient. Very few people use a printed dictionary these days.
<br>She goes to bed around 1 am. High school students are said to sleep 6-7 hours a night on average. "
"家の門です。大きな家は、まわりが塀で囲まれているので、入るときは、まず門から塀の中に入ります。門にインターホンがついていることも多いです。これを押すと家の中にいる人と話ができます。
<br>玄関のドアを開けて、家に入ります。ドアにはいろいろなタイプがあります。
<br>玄関です。絵や花、置物などがきれいにかざってあります。げた箱があります。玄関マットがしかれています。かさ立てもあります。
<br>家にはいるときは、玄関でくつをぬぎます。くつをはいたまま、家に入ってはいけません。ぬいだくつは、外の方向に向けて、きれいにそろえてならべます。
<br>げた箱です。はかないくつは、げた箱にしまいます。
<br>リビングルームは、家族が集まる部屋です。「居間」と呼ぶこともあります。和室の場合は「茶の間」といいます。
<br>リビングルームにはソファがある家が多いです。ソファにすわって、くつろいだり、テレビを見たりします。
<br>リビングルームには、テレビやDVDプレイヤーもあります。
<br>日本の伝統的な部屋は、和室です。和室には、たたみがしかれています。和室は、お客さんが来たときに使うことが多いです。最近の日本の家では、和室はだんだん少なくなってきています。
<br>たたみは、イグサという植物でつくられています。和室では、いすではなく、さぶとんに座ります。
<br>障子です。障子は、木のわくに和紙がはられています。カーテンと同じような役割です。風は通しませんが、光は通します。
<br>でんとう的な和室には、「床の間」があります。床の間は、和室のいちばん奥にあります。飾りのためのスペースです。
床の間には、かけじくや花などをかざります。季節にあわせて、かけじくや花を選びます。","This is the gate of a house. Because a large house is usually surrounded by a fence or wall, you go through the gate to enter the property. Most houses have an intercom near the gate and visitors can talk with persons in the house through it.
<br>You open the entrance door and enter the house. There are various types of doors.
<br>This is the entrance. It is decorated with a painting, flowers, and ornaments. There is a shoe cupboard, mat, and umbrella stand.
<br>When you enter the house, you take off your shoes at the entrance. You shouldn't enter the house wearing your shoes. After taking them off, you neatly line up your shoes with other shoes on the entrance floor so that their toes face the entrance door.
<br>This is a shoe cupboard. Shoes you don't wear are kept in it.
<br>Family members gather in the living room. The living room is sometimes called an ima. If it is a <br>Japanese-style room, it is called cha no ma.
<br>Many homes have a sofa in the living room. Sitting on the sofa, people relax or watch television.  
<br>There are also a TV set and DVD player in the living room.
<br>This is a traditional Japanese room with tatami mats. It is usually used when guests come to the house. Fewer and fewer houses have a Japanese-style room these days.
<br>Tatami is made of igusa, or rush. In Japanese rooms, you sit on zabuton cushions, not a chair. 
<br>his is shoji, a screen or sliding door of wooden frames and paper. Shoji's role is similar to that of curtains. Wind can't pass through but the light can.  
<br>There is a tokonoma, or elevated alcove where something is displayed, in a traditional Japanese room. It is at the far end of the room. 
<br>A hanging scroll or flowers are displayed in the tokonoma. The scroll or flowers are chosen according to the season."
"洋式トイレです。日本には和式トイレと洋式トイレがあります。最近は和式トイレは少なくなりました。
<br><br>洋式トイレには、お湯でおしりを洗うきのうがついているものもあります。かべのパネルのボタンを押して、操作します。
<br><br>おしりを洗うときには、「おしり」、お湯を強くするときは「パワフル」、弱くするときは「マイルド」のボタンを押します。「ビデ」は、女性が使います。「乾燥」は、風でお尻をかわかします。
<br><br>ボタンを押すと、おしりを洗うためのお湯が出ます。止めるときは、「止」のボタンを押します。
<br><br>風呂場です。日本のお風呂は、体を洗うための場所と、お湯で温まるための湯船が分かれています。
<br><br>はじめに、湯船の外で体や頭を洗います。シャワーを使ったり、湯船のお湯を洗面器に入れたりして、洗い流します。日本のシャワーは、手に持って自由に動かせるタイプが多いです。
<br><br>体を洗った後、湯船に入ってお湯で体を温めます。湯船の中では、体や頭は洗いません。家族で同じお湯を使います。
<br><br>最近のお風呂は、自動的にお湯をためることができます。お湯の温度や量をセットして、壁のパネルの「自動」のボタンを押します。「追いだき」のボタンは、お湯をもう一度あたためます。
<br><br>湯船にお湯がたまると、自動的に止まります。
<br><br>湯船にお湯がたまると、「おふろがわきました」と声で教えてくれるきのうもあります。","This is a Western-style toilet. There are both Japanese-style toilets and Western-style toilets in Japan. <br><br>Recently, Japanese-style toilets have been decreasing in number. 
<br><br>Some Western-style toilet seats have a function to clean the buttocks with warm water. You operate it by pressing buttons on the panel. 
<br><br>When you clean your buttocks, you press the oshiri [buttocks]button. Press the powerful　button for a strong water flow or the mild button for a gentle water flow. The bidet　button is for women. If you press the kanso [dry] button, you can dry your buttocks with warm air.
<br><br>When you press the button, warm water gushes out, cleaning the buttocks. When you want to stop the water, press the tomeru [stop] button.
<br><br>This is an ofuro bathroom. It has two areas for different functions: there is a place where you wash your body, and the bathtub where you can soak in the hot water and warm yourself. 
<br><br>You first wash your body and hair outside the bathtub. You wash  using a wash bowl with water taken from the tub, or showering. Showers in Japan usually come with a hose, and you can move it freely with your hands. Few showers are fixed to the wall in Japan. 
<br><br>After washing your body, you soak in the bath to warm yourself. In the bath, you mustn't wash your body and hair. You don't drain the tub after taking a bath, because family members use the same water.  
<br><br>Currently, some baths have a system that automatically fills the tub with hot water. You set the water temperature and quantity, and press the jido [automatic] button on the panel on the wall. If you press the oidaki [heat up] button, water that has cooled is heated up again.
<br><br>When the bathtub is full, the system automatically stops the water. 
<br><br>Some baths have a voice function that tells you the bathwater is ready when the tub is filled with enough hot water. "
"日本には、全国で4万けん以上の「コンビニ」があります。
<br><br>ほとんどのコンビニは24時間営業です。また「年中無休」で、１年中、休みがありません。
<br><br>コンビニの商品は、2500種類以上。いろいろなものがあります。スーパーやデパートに比べて、照明がとても明るくなっています。
<br><br>入口に近いところにレジがあります。
<br><br>かべには、冷蔵庫のたなが並んでいます。その中には、ジュースやお酒などの飲み物がおかれています。
<br><br>たくさんの種類のカップめんが並んでいます。店の中にはお湯が入ったポットもあり、カップめんにお湯を入れて作ることもできます。
<br><br>アイスクリームも一年中売られています。
<br><br>店の窓側は、雑誌のコーナーです。いろいろな雑誌が売られています。買わないで「立ち読み」をしている人もいます。
<br><br>化粧品も売っています。デパートで売られているものより、安いものが多いです。
<br><br>ペン、定規、セロテープ、のりなど、よく使う文房具もそろっています。
<br><br>お菓子もたくさんの種類があります。最近は、かばんに入れて持ち歩きやすい、小さいパッケージのものが人気です。
<br><br>コンビニで一番人気があるのは、おにぎりやお弁当です。
<br><br>おにぎりもお弁当も、たくさんの種類があります。すしやうどん、スパゲッティ、サンドイッチなどもあります。
<br><br>お弁当のラベルには、ねだんや材料のほかに、カロリーが書かれていることもあります。
<br><br>お昼になると、たくさんの会社員や学生がお弁当などを買いにやって来ます。レジには、列になってならびます。","There are more than 40,000 convenience stores in Japan.
<br><br>Most of them are open 24 hours a day all year around.
<br><br>They sell more than 2,500 kinds of items. There are various kinds of goods. Compared to supermarkets and department stores, the lighting in convenience stores is brighter.  
<br><br>There is a cashier counter near the entrance. 
<br><br>There are refrigerated shelves along the wall. Soft drinks, alcoholic beverages and other drinks line the shelves.
<br><br>Many kinds of cup noodles are on the shelves. A thermos pot with hot water is placed in the store and you can prepare the noodles, pouring hot water into the cup. 
<br><br>Ice cream is also sold all year around.
<br><br>There is a magazine section near the window. Various types of magazines are carried. Some people are only reading them, without buying.
<br><br>Cosmetics are also available. Most of them are cheaper than those sold at department stores. 
<br><br>You can also buy commonly used stationery items such as pens, rulers, scotch tape, and glue.
<br><br>There are many kinds of snacks. Recently, small packaged snacks are popular because they are convenient to carry in your bag.  
<br><br>Among goods sold at convenience stores, rice balls and box lunches are the most popular.
<br><br>There are many kinds of rice balls and box lunches. Sushi, udon noodles, pasta, and sandwiches are also sold.
<br><br>The label of box lunches sometimes has the number of calories in addition to the price and ingredients. 
<br><br>At lunchtime, many office workers and students come to buy a box lunch. They wait in line at the cashier counter."
