Kanji,K.Meaning,Words.A,Words.B,Words.C,Words.D,W.Meaning.A,W.Meaning.B,W.Meaning.C,Level,S1,T1,S2,T2
崩,crumble,崩す。崩れる。切り崩す,雪崩。崩壊。崩落,値崩れ。型崩れ。崖崩れ,山崩れ。煮崩れ。放射性崩壊,tear down。collapse。cut through,avalanche。collapse。 crash,price collapse。losing shape。landslide,1,雪崩に巻き込まれた登山者は奇跡的に崩れた雪の下から救出された。,The climber who was caught in an avalanche was miraculously rescued from under the collapsed snow.,放射性崩壊によって生成された放射線は人体に深刻な影響を与えることがある。,The radiation produced by radioactive decay can have serious effects on the human body.
壊,break,壊す。壊れる。取り壊す,破壊。崩壊。壊滅,壊れ物。損壊。自壊,破壊的。決壊。壊滅的。倒壊。全壊,break。fall apart。tear down,destruct。collapse。annihilate,fragile article。damage。disintegrate,1,破壊的な地震が起きた後彼らは自分たちの家を取り壊すことを決めた。,"After the destructive earthquake, they decided to demolish their house.",彼は壊れ物を扱うのが下手でよく皿やコップを壊してしまった。,He was clumsy with fragile things and often broke plates and cups.
潰,crush・smash,潰す。潰れる。暇潰し,崩潰。潰滅。倒潰,潰走。潰乱,潰しにする。潰し値段,smash。crushed。time wasting,collapse。annihilate。destruct,stampede。corruption,1,彼は暇潰しにゲームをしていたが突然の停電でデータが潰れてしまった。,"He was playing games to kill time, but his data was corrupted by a sudden power outage.",敵の大軍に潰走した兵士たちは森の中で潰乱していた。,The soldiers who fled from the enemy’s large army were in confusion in the forest.
保,keep,保つ。保証。保護,保守。保健。保険,保存。確保。保管,保育園児。火災保険。生命保険,keep。guarantee。protection,maintenance。preservation of health。insurance,preservation。securing。safekeeping,1,彼は保守的な考え方を保つ人であり社会の変化に対応できなかった。,He was a person who kept a conservative way of thinking and could not adapt to the changes in society.,彼は保護された動物に興味があり保健所にボランティアとして働いていた。,He was interested in protected animals and worked as a volunteer at the health center.
守,protect,守る。見守る。守備,留守。保守。守衛,遵守。厳守。留守番,保守的。子守唄。看守,protect。watch over。defense,absence。 maintenance。 guard,obey。strict observance。care-taking,3,彼女は子守唄を歌いながら赤ちゃんを見守っていた。,She watched over the baby while singing a lullaby.,彼は法律を遵守する市民として交通ルールを厳守していた。,He was a law-abiding citizen and strictly observed the traffic rules.
育,bring up,育つ。育てる。子育て,教育。体育。育児,発育。飼育。育成,生育。体育館。教育的。養育,raised。raise。child rearing,education。physical education。childcare,growth。breeding。rearing,3,彼は子育てに熱心で育児の本をたくさん読んでいた。,He was enthusiastic about child-rearing and read a lot of books on childcare.,彼は動物を飼育するのが好きで育成に力を入れていた。,He liked to breed animals and put effort into their development.
児,child,幼児 。孤児。児童,育児。小児。未熟児,乳幼児。孤児院。双生児,産児制限。小児科。園児。胎児。女児,toddler。orphan。children,childcare。infant。premature baby,infants。orphanage。twins,2,彼は小児科の医師であり未熟児の治療に専門知識を持っていた。,He was a pediatrician and had specialized knowledge in the treatment of premature infants.,彼女は産児制限の政策に反対であり女児を二人も産んでしまった。,She was opposed to the birth control policy and gave birth to two girls.
滑,slide,滑る。滑らか。円滑,滑稽。滑走路。滑り台,滑走。潤滑油。滑空,滑車。地滑り。滑り込む。横滑り,slide。smooth。undisturbed,funny。runway。slide,gliding。lubricant。air gliding,1,滑稽な話を聞いて彼は椅子から滑り落ちそうになった。,He almost slipped off his chair when he heard the funny story.,彼は滑るように話すので円滑な交渉ができると言われている。,He is said to be able to negotiate smoothly because he speaks fluently.
衝,collide,衝く。衝突。衝撃,衝動。折衝。要衝,"緩衝。緩衝材。耐衝撃

",緩衝地帯。衝動買い。正面衝突,stab。collide。impact,impulse。negotiation。key point,buffered。cushioning。shock resistance,1,要衝にある国は折衝を通じて緩衝地帯を設けることに合意した。,The countries at the strategic point agreed to establish a buffer zone through negotiations.,緩衝材に包まれた荷物は耐衝撃性が高くて衝撃による破損を防ぐことができる。,The package wrapped in cushioning material has high impact resistance and can prevent damage caused by impact.
撃,attack,撃つ。攻撃。打撃,衝撃。襲撃。反撃,目撃。射撃。砲撃,衝撃波。爆撃。進撃。直撃。出撃,shoot。attack。blow,impact。raid。counterattack,witnessing。firing。shelling,1,爆撃によって発生した衝撃波は周辺の建物に大きな打撃を与えた。,The shock wave caused by the bombing inflicted a great blow to the surrounding buildings.,進撃中の部隊は突然の襲撃に遭って直撃を受けた。,The advancing troops were hit directly by a sudden attack.
